"k","n_eval","coverage","mean_success_draws","mean_success_rate","mean_train_n","mafe","rmsfe","mafe_nc","rmsfe_nc"
2,161,1,275.807453416149,0.551614906832298,25.0072274987008,1.3784835408361,2.1890117100966,1.31852854115905,2.06146482756021
3,161,1,182.844720496894,0.365689440993789,18.8472048958473,1.34275155042901,2.17101811399069,1.28524570461139,2.04732945663427
4,156,0.968944099378882,117.397435897436,0.234794871794872,15.7667758503661,1.33490793093533,2.22652696039325,1.27802931270735,2.10608771342096
5,150,0.93167701863354,72.2866666666666,0.144573333333333,14.0542017147105,1.40437884691325,2.38122647353105,1.35005081997948,2.27062849647694
6,142,0.881987577639752,44.6197183098591,0.0892394366197183,13.1097940054405,1.49793387300542,2.56710425688124,1.44238145940818,2.46027402369214
7,124,0.770186335403727,28.8870967741935,0.0577741935483871,12.4812773876167,1.74737799978073,3.07992324489106,1.70102136573322,2.99293621116298
8,89,0.552795031055901,24,0.048,12.0816568609763,1.89741726347504,3.60958712941157,1.830525827859,3.51653554201438
9,65,0.403726708074534,9.49230769230769,0.0189846153846154,12.9425868206705,2.10028845288876,4.12771456962623,2.00280525109831,4.01463248812383
10,43,0.267080745341615,4.81395348837209,0.00962790697674419,13.7288191782378,3.02562740414959,5.26830456131812,2.84555988506665,5.14338884714546
11,21,0.130434782608696,2.23809523809524,0.00447619047619048,14.4063492063492,4.28891999199312,6.22585354724287,4.14197544817367,6.17148705854976
12,6,0.0372670807453416,2.33333333333333,0.00466666666666667,16.0083333333333,14.5375078954847,27.1063161388972,14.5375078954847,27.1063161388972
13,4,0.0248447204968944,1,0.002,16,10.070190819668,12.0332059926599,10.070190819668,12.0332059926599
14,0,0,NA,NA,NA,NA,NA,NA,NA
15,0,0,NA,NA,NA,NA,NA,NA,NA
16,0,0,NA,NA,NA,NA,NA,NA,NA
17,0,0,NA,NA,NA,NA,NA,NA,NA
18,0,0,NA,NA,NA,NA,NA,NA,NA
19,0,0,NA,NA,NA,NA,NA,NA,NA
20,0,0,NA,NA,NA,NA,NA,NA,NA
