"k","rmsfe","mafe","rmsfe_nc","mafe_nc"
2,1.47348850669059,0.988731608275526,1.47562092228656,0.986064405344903
3,1.47005233727189,0.98739128582274,1.47222754685355,0.984786935736457
4,1.47146139592269,0.988101645287761,1.47367815436841,0.985559027663541
5,1.47093521614077,0.987595006769242,1.47313442885874,0.985016865819791
6,1.47081358666744,0.987677501769242,1.47305396386287,0.985131217194791
7,1.47198708551939,0.988529050755133,1.4741631242168,0.985934904784076
8,1.47220408089185,0.9874805452106,1.47434806213354,0.984817449069791
9,1.47229273562176,0.988155878621094,1.47450352216155,0.985608394069791
10,1.47538028802796,0.989488063521069,1.47766139828665,0.986940371832965
11,1.47440940430996,0.989248325941044,1.47666247576183,0.986668046541813
12,1.47498742780272,0.98999634442401,1.47727501354946,0.987472785483113
13,1.47585472522814,0.990313827478636,1.47815592807269,0.987788451282983
14,1.48298608806434,0.997809626755403,1.48540521650229,0.995380982739407
15,1.49332745324762,1.00304736245552,1.49589017474209,1.00059963249531
16,1.48810242199825,0.996271154275039,1.49058431196316,0.993670389025688
17,1.49317131860426,1.00143367383934,1.49576885202075,0.998938077654306
18,1.50722670729995,1.01588552723783,1.51002534926814,1.01352591274955
19,1.51177457529914,1.02033682852948,1.51461364253495,1.01797622236324
20,1.51222445711718,1.02060756482772,1.51505744181257,1.01824844468721
21,1.52104793700271,1.02840146700704,1.52405587928447,1.02614048759407
22,1.5258342417391,1.03270480238341,1.52890368168434,1.03048122257932
23,1.52559316416216,1.03200920257566,1.52867507734299,1.02979500529024
24,1.51972250918259,1.02289489614746,1.52276554611504,1.02050603107294
25,1.50707062127776,1.00469157522015,1.51004165548089,1.00200941171293
26,1.50668609277914,1.00463060171744,1.50964530869657,1.00194275767008
27,1.50676788294317,1.00472599427492,1.50971810116337,1.00203268479971
28,1.5171876255583,1.01660991082422,1.52032874226034,1.01405773991675
29,1.55618577443039,1.04784628860428,1.56002527125152,1.04562151538438
30,1.54758246712376,1.03379513619796,1.55139139789837,1.03128622599018
31,1.56242934449393,1.04009632851516,1.56655675025773,1.03759853541759
32,1.58299868743441,1.05697757891826,1.58756126324507,1.05469287621773
33,1.60913070499919,1.06806075997971,1.61459904439522,1.06572071569729
34,1.68214481713945,1.1080713126798,1.68231363598836,1.10226102891736
35,1.71774013325596,1.13685022708521,1.71832690140848,1.13091944710052
36,1.59886274556693,1.08271592372909,1.59798283182749,1.07506250687432
37,1.42396349241232,1.00975586203332,1.42006181878044,0.999980985856539
38,1.50642437707315,1.0593066974396,1.50344327342358,1.04849309372563
39,1.3316297164688,0.994585915933407,1.3316297164688,0.994585915933407
40,1.39262808342654,1.05468569078262,1.39262808342654,1.05468569078262
41,1.38608654076,1.01725019887562,1.38608654076,1.01725019887562
42,1.47800338338052,1.10934191446384,1.47800338338052,1.10934191446384
43,1.53931509041865,1.14307912847409,1.53931509041865,1.14307912847409
44,1.66249923022065,1.25372973753076,1.66249923022065,1.25372973753076
45,1.65897478796462,1.2097466825684,1.65897478796462,1.2097466825684
46,1.5472515902624,1.16351497745355,1.5472515902624,1.16351497745355
47,1.0767850752462,0.860185564147983,1.0767850752462,0.860185564147983
48,0.986392620986361,0.774942755555782,0.986392620986361,0.774942755555782
49,0.74081129378291,0.629976427304689,0.74081129378291,0.629976427304689
50,0.525920180378185,0.464731961977831,0.525920180378185,0.464731961977831
51,0.629009760734085,0.541336842142346,0.629009760734085,0.541336842142346
52,0.790614774089021,0.790614774089021,0.790614774089021,0.790614774089021
53,0.790171897093375,0.790171897093375,0.790171897093375,0.790171897093375
