"k","rmsfe","mafe","rmsfe_nc","mafe_nc"
2,2.21183741260962,1.38987005791422,2.07913174087303,1.32706639274288
3,2.20715123106571,1.39153613339222,2.07429881688876,1.32880210966212
4,2.20823533667251,1.38960076254029,2.075252836551,1.32680912925109
5,2.20728505602399,1.39042943595116,2.0741498905128,1.32763901733822
6,2.20874949963242,1.39122987260031,2.07571452290058,1.32841247569096
7,2.20757025745795,1.39093801404843,2.07455737297035,1.32816627922381
8,2.20558623481618,1.39141256465239,2.07276022171085,1.32869159883253
9,2.20505047867824,1.39001041936707,2.07185352612861,1.32721675492528
10,2.20619159157608,1.38199758252508,2.07201737055788,1.31864720454752
11,2.2055966729934,1.38237721430703,2.07169031625385,1.31910876031686
12,2.20509593707463,1.38304311993764,2.0710836323994,1.31976223852948
13,2.20487020025275,1.38217314566559,2.07092800686409,1.31889718512879
14,2.20668854286782,1.38208097805198,2.07200980566948,1.31842184164052
15,2.21033033039725,1.3810302501907,2.07417052982578,1.31654329202782
16,2.22047034644821,1.38952377034461,2.08330515486142,1.32431743734628
17,2.23968049292122,1.39727213483253,2.10114735719478,1.33083524786863
18,2.24350619698132,1.39442812369083,2.10326711895403,1.32702874834192
19,2.24233058738606,1.39416818913316,2.10212600542428,1.32681024342158
20,2.24629697262611,1.39200062296975,2.10519172482675,1.32409930394042
21,2.2550444976729,1.3908161248055,2.11293076265297,1.32202368102252
22,2.25411629157637,1.3909354785886,2.11184557884623,1.32211523848267
23,2.26542759275992,1.39633887641595,2.12199420039504,1.32662991490562
24,2.28114166548971,1.40988083221672,2.1369376645582,1.33939969353302
25,2.28742609846952,1.4183467368477,2.14261063358822,1.34744998043601
26,2.28752805330956,1.41816832217154,2.14281434437424,1.34729254490805
27,2.30560152859255,1.43122152514174,2.15920926784587,1.3590038739514
28,2.30616255795632,1.43109008104274,2.15963762524489,1.3588225794475
29,2.32209595055752,1.43818280084525,2.17353437547566,1.36441537449315
30,2.34808365695917,1.46375599284127,2.19822483657782,1.38868136757578
31,2.37904153801749,1.4852859557997,2.22573525362156,1.40758189406416
32,2.40418890254112,1.49392990954998,2.24653964364885,1.41315205649002
33,2.41122290401173,1.49312735926893,2.25149031822339,1.41099280388235
34,2.49012845207269,1.52863318649415,2.32104568243585,1.43878658753623
35,2.58171276846101,1.55434611171639,2.39989838078361,1.45379213063548
36,2.70142951670614,1.61058143182067,2.51431578792287,1.5172714136347
37,2.85592363899504,1.67724828443457,2.65136781806125,1.56931890635412
38,2.95064334019329,1.67032739303697,2.7289501140078,1.54877997128744
39,3.09226044938647,1.69314101623673,2.84824685062831,1.55212104513389
40,2.96475971479329,1.6105562943258,2.96475971479329,1.6105562943258
41,1.94498681324948,1.41710680671994,1.94498681324948,1.41710680671994
42,2.09308840153846,1.57924182871541,2.09308840153846,1.57924182871541
43,2.14247719870734,1.61310657213825,2.14247719870734,1.61310657213825
44,2.28767366511344,1.73420625853438,2.28767366511344,1.73420625853438
45,2.45784209147096,1.87926843378679,2.45784209147096,1.87926843378679
46,2.68423460494973,2.12578507032827,2.68423460494973,2.12578507032827
47,2.68415096644161,2.12564411641129,2.68415096644161,2.12564411641129
48,2.30989732556666,1.79523461000636,2.30989732556666,1.79523461000636
49,1.90586989742987,1.53757911729888,1.90586989742987,1.53757911729888
50,1.29011189299039,1.16114256390274,1.29011189299039,1.16114256390274
51,1.13513043077633,1.02142824469868,1.13513043077633,1.02142824469868
52,1.4747328395862,1.44406916604983,1.4747328395862,1.44406916604983
53,1.55032624840526,1.51841141148444,1.55032624840526,1.51841141148444
