"","Var","Selected","Mean_OLS","Prediction","Hist_mean","Shapley"
"1","AAA",0.085,0.175438880667733,0.715403127121284,0.815639155198429,-0.00149475020831687
"2","AAAFFM",0.098,-0.440114418821292,0.81015913570941,0.926196220348171,0.00500482021861554
"3","AMBSL",0.083,-0.344046522592301,0.837572841036516,0.861935058803255,0.000695684113338498
"4","AMDMNOx",0.077,0.0623622535974177,-2.11108289703947,0.806782938939327,-0.0140112810704444
"5","AMDMUOx",0.085,0.137989045814305,0.490144908944368,0.674661267141737,-0.00216420507740677
"6","ANDENOx",0.081,-0.0208718418189357,0.241191120003781,0.603272366065937,0.00061214150196641
"7","AWHMAN",0.086,0.401749431487973,1.69422592598492,1.49123663336984,0.00701337162993785
"8","AWOTMAN",0.076,0.228325277292086,-0.04697000107593,0.882330583686193,-0.0161258938414667
"9","BAA",0.058,-0.0148752649751952,0.682589197241068,0.771261413343598,7.65033172068482e-05
"10","BAAFFM",0.088,-3.84045209430158,0.82977161932043,0.87230132211149,0.0143733291815477
"11","BUSINVx",0.089,0.00215794601485036,0.679608447776792,0.746353661371731,-1.28188985241906e-05
"12","BUSLOANS",0.071,-0.286641439280655,0.716402319117515,0.551751540063194,-0.00335089727636363
"13","CE16OV",0.076,0.313650692701591,-0.208410834031847,0.726672941615933,-0.0222900152214118
"14","CES0600000007",0.07,0.514529414095664,1.69342309728422,1.47817359793469,0.00775265391492873
"15","CES0600000008",0.087,-0.146571031866074,0.867039961572291,0.855891732785876,-0.000142158643513247
"16","CES1021000001",0.072,0.63831974774676,0.887271570798731,0.786844325854953,0.00461553794347785
"17","CES2000000008",0.076,-1.05007596284167,0.897075658429114,0.852937388088963,-0.00352248879114559
"18","CES3000000008",0.081,-0.212006914171902,1.13713545191101,0.850940128586694,-0.00491470637522185
"19","CLAIMSx",0.091,0.0928193567980299,0.448630577633757,0.894461201226319,-0.00376573576676808
"20","CLF16OV",0.083,-0.318737056516078,0.985583135812407,0.894110294352083,-0.00241993009177272
"21","COMPAPFFx",0.092,0.393396353402453,0.772166544484443,0.719354137733369,0.00191141115718571
"22","CONSPI",0.078,-0.790368065418206,1.00592042922432,0.83049754577176,-0.0108145943119095
"23","CP3Mx",0.085,0.380853437086793,0.781645500077355,0.863440481687057,-0.00264791149001303
"24","CPIAPPSL",0.088,-1.4093948447427,0.971290023788951,0.855103980042847,-0.0144101769756392
"25","CPIAUCSL",0.074,0.0813204962577994,0.050058598937408,0.852443087955714,-0.00482852255790318
"26","CPIMEDSL",0.073,-1.56886200136099,0.900825459241972,0.85211751124673,-0.0055783715605022
"27","CPITRNSL",0.094,-1.77508690720112,0.569356913016206,0.865083009297071,0.049344315032831
"28","CPIULFSL",0.089,0.389085982439368,-0.0445701154266676,0.855405749331701,-0.0311649514224994
"29","CUMFNS",0.087,0.48772446216581,0.386436600051976,0.835579356665349,-0.0190580381182286
"30","CUSR0000SA0L2",0.074,-0.807938621073866,0.169198425626083,0.854040999909273,0.0409449966188088
"31","CUSR0000SA0L5",0.065,-0.117301036116579,0.237289741494151,0.855947555200013,0.00471699816570548
"32","CUSR0000SAC",0.071,-0.770808503154454,0.225487340990393,0.854086798817479,0.0344016163091692
