"label","T_len","k_L","k_RF","diff_k","corr","L_min","RF2_min","ratio"
"factor_m_50_T_200_R2_0.3_r_2_load_rand",200,29,14,15,-0.0093,0.93742,1.05037,0.8925
"factor_m_50_T_200_R2_0.3_r_2_load_rand",200,29,15,14,0.0406,0.93066,1.04425,0.8912
"toeplitz_m_50_T_200_R2_0.3_rho_0.8_bet",200,31,11,20,-0.1792,0.93083,1.04071,0.8944
"toeplitz_m_50_T_200_R2_0.3_rho_0.8_bet",200,26,11,15,0.2325,0.94282,1.02552,0.9194
"factor_T_100_m_50_R2_0.3_beta_B4",100,29,12,17,0.2033,0.86474,1.07309,0.8058
"factor_T_150_m_50_R2_0.3_beta_B4",150,28,13,15,-0.0155,0.90475,1.07262,0.8435
"factor_T_200_m_50_R2_0.3_beta_B4",200,30,16,14,0.019,0.95152,1.04386,0.9115
"factor_T_300_m_50_R2_0.3_beta_B4",300,32,20,12,0.0962,0.97264,1.03814,0.9369
"factor_T_500_m_50_R2_0.3_beta_B4",500,36,27,9,0.7253,1.00503,1.17071,0.8585
"factor_T_800_m_50_R2_0.3_beta_B4",800,39,32,7,0.949,1.03481,1.05973,0.9765
"toeplitz_T_100_m_50_R2_0.3_beta_B4",100,31,10,21,0.2575,0.89926,1.0403,0.8644
"toeplitz_T_150_m_50_R2_0.3_beta_B4",150,27,11,16,0.1759,0.93672,1.04223,0.8988
"toeplitz_T_200_m_50_R2_0.3_beta_B4",200,24,12,12,0.2784,0.97005,1.00354,0.9666
"toeplitz_T_300_m_50_R2_0.3_beta_B4",300,25,13,12,0.4775,0.97421,0.98381,0.9902
"toeplitz_T_500_m_50_R2_0.3_beta_B4",500,29,18,11,0.9262,0.9814,1.0774,0.9109
"toeplitz_T_800_m_50_R2_0.3_beta_B4",800,30,21,9,0.9782,0.98721,0.97666,1.0108
