"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","Q_opt","Q_ave","R_weight_exact_mc","R_bag_inf_mc","R_weight_identity_gap","w_l2_mc","w_max_abs_mc","L_pop_bag_inf","L_pop_opt"
2,0.493397182976398,0.0130490307637944,0.0154507715248574,0.00450235535820994,0.012690418147514,0.00854667540558443,0.00854667540558444,3.46944695195361e-18,0.100793713514654,0.0607225244117982,1.01861523422953,1.37182038082502
3,0.27444766239275,0.0100592081507142,0.0113811504219244,0.00450235535820994,0.012690418147514,0.00555685279250428,0.00555685279250428,0,0.0980591721742366,0.061702248191664,1.0212200833789,1.37182038082502
4,0.175755146648794,0.00815571952771352,0.00899371666331892,0.00450235535820994,0.012690418147514,0.00365336416950358,0.00365336416950358,7.37257477290143e-18,0.0896318356933262,0.055628036880959,1.02495831485318,1.37182038082502
5,0.117923976019114,0.00667155896293602,0.00722782104821691,0.00450235535820994,0.012690418147514,0.00216920360472609,0.00216920360472609,-4.33680868994202e-19,0.0827597617547298,0.0528821675033613,1.02916701279451,1.37182038082502
6,0.0816865871850278,0.00576658335999275,0.00614618337911792,0.00450235535820994,0.012690418147514,0.00126422800178281,0.00126422800178281,3.46944695195361e-18,0.0712198412635236,0.04838683894571,1.03401845367909,1.37182038082502
7,0.0624850345698389,0.00560146411076024,0.00588588196305563,0.00450235535820994,0.012690418147514,0.0010991087525503,0.0010991087525503,2.60208521396521e-18,0.0660700239151795,0.0469600949404062,1.03968964933485,1.37182038082502
8,0.0492164773249649,0.0053128329898143,0.00553235121149005,0.00450235535820994,0.012690418147514,0.000810477631604359,0.000810477631604361,2.49366499671666e-18,0.0599837178593279,0.0426878340459252,1.04529686612009,1.37182038082502
9,0.0409197699617209,0.00509109282006425,0.00527023620577253,0.00450235535820994,0.012690418147514,0.000588737461854306,0.000588737461854311,4.87890977618477e-18,0.0549930953845226,0.0411112858647105,1.05103811420612,1.37182038082502
10,0.0345691993496526,0.00496334071668847,0.00511137000985329,0.00450235535820994,0.012690418147514,0.000460985358478528,0.000460985358478531,3.08997619158369e-18,0.0500426479896935,0.0381630712020973,1.05694420316755,1.37182038082502
11,0.0293162633089448,0.0048539913016964,0.00497630266173264,0.00450235535820994,0.012690418147514,0.000351635943486453,0.000351635943486458,4.28259858131774e-18,0.0472898345131476,0.0383132422927516,1.06293803704168,1.37182038082502
12,0.0257817647740798,0.00476128229471107,0.00486638470710792,0.00450235535820994,0.012690418147514,0.000258926936501132,0.000258926936501134,2.49366499671666e-18,0.0420499950598062,0.033082351322013,1.06901927127868,1.37182038082502
13,0.0228373763066182,0.00471771316104567,0.00480831147677354,0.00450235535820994,0.012690418147514,0.00021535780283573,0.000215357802835736,6.07153216591882e-18,0.0383934516586124,0.0308668492213782,1.07522421934779,1.37182038082502
14,0.0210546626978822,0.00472242209374366,0.00480408329676435,0.00450235535820994,0.012690418147514,0.000220066735533719,0.000220066735533722,3.6049722235143e-18,0.0391080651390903,0.0321002560446164,1.08155413672444,1.37182038082502
15,0.0188941998635624,0.00466386573217601,0.00473501740283294,0.00450235535820994,0.012690418147514,0.000161510373966071,0.000161510373966073,1.65340831304039e-18,0.0345248680909033,0.028803000393146,1.08789045815969,1.37182038082502
16,0.0174172171319249,0.00465708844988449,0.00472088909329469,0.00450235535820994,0.012690418147514,0.000154733091674545,0.000154733091674551,6.47810798060089e-18,0.0354019599719613,0.0290286672158069,1.09435861420434,1.37182038082502
17,0.015975773903416,0.00461118273148144,0.00466800568734111,0.00450235535820994,0.012690418147514,0.0001088273732715,0.000108827373271503,3.27971157176865e-18,0.0283816655023905,0.0228581894361102,1.10086135592731,1.37182038082502
18,0.0148747080295765,0.00459844209122062,0.0046498234209124,0.00450235535820994,0.012690418147514,9.60867330106785e-05,9.60867330106795e-05,9.62229428080885e-19,0.0275706341794469,0.0227035031273665,1.10747900543791,1.37182038082502
19,0.0138811170917513,0.00459402410571273,0.00464045957064292,0.00450235535820994,0.012690418147514,9.16687475027863e-05,9.1668747502791e-05,4.70272692315588e-18,0.0276613211277418,0.0229539952998165,1.1141860994627,1.37182038082502
20,0.0130539518200571,0.00457807325313378,0.0046204526459684,0.00450235535820994,0.012690418147514,7.57178949238405e-05,7.57178949238411e-05,6.23416249179165e-19,0.0253235434491054,0.0210844944240152,1.12096211832514,1.37182038082502
21,0.0122664720958099,0.00457385106431621,0.00461231416947368,0.00450235535820994,0.012690418147514,7.14957061062775e-05,7.14957061062763e-05,-1.24683249835833e-18,0.0258479342913123,0.0226784074649522,1.12783444628693,1.37182038082502
22,0.0115382732190928,0.00454867005616936,0.00458361807198397,0.00450235535820994,0.012690418147514,4.63146979594124e-05,4.6314697959419e-05,6.62040951573961e-18,0.0192362828795015,0.0157311065184009,1.13476794210049,1.37182038082502
23,0.0109133225931085,0.00454737104072984,0.00457920079849173,0.00450235535820994,0.012690418147514,4.50156825198995e-05,4.50156825199041e-05,4.66206934168767e-18,0.0199989044021272,0.0163603915201086,1.14181471366741,1.37182038082502
24,0.0103582053895287,0.00454163429505049,0.00457071715052288,0.00450235535820994,0.012690418147514,3.92789368405456e-05,3.92789368405481e-05,2.45300741524845e-18,0.0191076138771833,0.0164004898414419,1.14894449422496,1.37182038082502
25,0.00985175212268707,0.004535285161284,0.00456186749609102,0.00450235535820994,0.012690418147514,3.29298030740626e-05,3.29298030740674e-05,4.83825219471656e-18,0.0173065384561749,0.0146868496704262,1.1561632527328,1.37182038082502
26,0.00941766855440727,0.00452942979558297,0.00455387098937709,0.00450235535820994,0.012690418147514,2.70744373730253e-05,2.7074437373033e-05,7.65378971138986e-18,0.0152900661911933,0.0127020154545228,1.16347395982653,1.37182038082502
27,0.00903397900772711,0.00453014604619481,0.00455266521100247,0.00450235535820994,0.012690418147514,2.77906879848689e-05,2.77906879848728e-05,3.90990408452585e-18,0.0160602997381275,0.0139275618164397,1.17088545685639,1.37182038082502
