"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","Q_opt","Q_ave","R_weight_exact_mc","R_bag_inf_mc","R_weight_identity_gap","w_l2_mc","w_max_abs_mc","L_pop_bag_inf","L_pop_opt"
2,0.573276035859101,0.164490397433329,0.166534325625458,0.155172413793103,0.164000228359631,0.00931798364022592,0.00931798364022599,6.59194920871187e-17,0.0980155179844246,0.0669568965517243,1.17088869632033,1.57758620689655
3,0.421894097183009,0.163044223262389,0.164338472631992,0.155172413793103,0.164000228359631,0.00787180946928516,0.00787180946928526,9.8879238130678e-17,0.0924484518750464,0.0637449207588019,1.1758955406465,1.57758620689655
4,0.347357106709198,0.163123438435525,0.164044606776894,0.155172413793103,0.164000228359631,0.00795102464242181,0.00795102464242184,2.77555756156289e-17,0.0923821916370258,0.0642521777336861,1.18250882907612,1.57758620689655
5,0.30037569870157,0.162290109403028,0.162980537349521,0.155172413793103,0.164000228359631,0.00711769560992478,0.00711769560992484,6.07153216591882e-17,0.0915334058194204,0.0662723885534724,1.18826307274164,1.57758620689655
6,0.269034715531968,0.161294365480801,0.161833067231057,0.155172413793103,0.164000228359631,0.00612195168769792,0.00612195168769797,4.42354486374086e-17,0.0872017847877083,0.0613786122796383,1.19391499372464,1.57758620689655
7,0.248399239341383,0.160830712936803,0.161268555568826,0.155172413793103,0.164000228359631,0.00565829914369914,0.0056582991436992,5.8113236445223e-17,0.0881854915475879,0.0611593957584734,1.20018090659568,1.57758620689655
8,0.233062279916601,0.160119346382244,0.160484061049915,0.155172413793103,0.164000228359631,0.00494693258914016,0.00494693258914028,1.23165366794353e-16,0.0843215426167793,0.0583174844719535,1.20626045674972,1.57758620689655
9,0.220626942961103,0.160250445022609,0.160552327512301,0.155172413793103,0.164000228359631,0.00507803122950523,0.00507803122950523,2.60208521396521e-18,0.086801053115836,0.0605905994777819,1.2132904653665,1.57758620689655
10,0.21172827275928,0.159691712883324,0.159951895682703,0.155172413793103,0.164000228359631,0.00451929909022025,0.00451929909022025,6.93889390390723e-18,0.0829411083739597,0.0576082298535363,1.21967576699798,1.57758620689655
11,0.203721849757816,0.159116210394215,0.159339238591033,0.155172413793103,0.164000228359631,0.00394379660111192,0.00394379660111205,1.2490009027033e-16,0.0806885482903165,0.0549510778251415,1.22611714741122,1.57758620689655
12,0.197918936527378,0.159219733249642,0.159413229266031,0.155172413793103,0.164000228359631,0.00404731945653881,0.00404731945653888,7.11236625150491e-17,0.0838445193096845,0.0574475027372822,1.23335587898072,1.57758620689655
13,0.193015668360768,0.158817275038457,0.158988267005069,0.155172413793103,0.164000228359631,0.00364486124535346,0.00364486124535354,7.97972798949331e-17,0.0811271253402472,0.0558554938131228,1.24013778556747,1.57758620689655
14,0.188554375888818,0.158497305076147,0.15864759043021,0.155172413793103,0.164000228359631,0.00332489128304304,0.00332489128304317,1.32272665043232e-16,0.0770422656556201,0.0536465327011299,1.24708827546432,1.57758620689655
15,0.184383260545574,0.157980052850683,0.158112068889157,0.155172413793103,0.164000228359631,0.00280763905757944,0.00280763905757944,3.46944695195361e-18,0.0749622235464309,0.0502041495273252,1.25390739450695,1.57758620689655
16,0.181464889331461,0.157907553176931,0.158025339857703,0.155172413793103,0.164000228359631,0.00273513938382724,0.00273513938382733,8.84708972748172e-17,0.0733189743560875,0.0499746431266108,1.26129215613916,1.57758620689655
17,0.178670667444115,0.157660906282111,0.157765955087921,0.155172413793103,0.164000228359631,0.0024884924890078,0.00248849248900787,7.41594285980085e-17,0.0705995468155993,0.0474984086201879,1.26857452604567,1.57758620689655
18,0.176580084481698,0.157559772377564,0.157654873938085,0.155172413793103,0.164000228359631,0.00238735858446067,0.00238735858446068,1.12757025938492e-17,0.0717530798426182,0.0479998603353098,1.27610505027165,1.57758620689655
19,0.173974762988632,0.157241292907944,0.157324960258348,0.155172413793103,0.164000228359631,0.00206887911484088,0.00206887911484097,8.76035355368288e-17,0.0681602632448468,0.0449764741493698,1.28348579758881,1.57758620689655
20,0.172439254734627,0.157031921459744,0.157108958126118,0.155172413793103,0.164000228359631,0.00185950766663988,0.00185950766664009,2.03179487123784e-16,0.0642740648382846,0.0431026136002669,1.29107830260447,1.57758620689655
21,0.170617217490925,0.156916737626908,0.156985240026228,0.155172413793103,0.164000228359631,0.0017443238338044,0.00174432383380443,3.64291929955129e-17,0.0644778157939574,0.0422459575820115,1.29886971156886,1.57758620689655
22,0.169171129431877,0.156754182120435,0.156816266856993,0.155172413793103,0.164000228359631,0.00158176832733199,0.00158176832733206,7.50267903359969e-17,0.0627696836522612,0.0415155126915855,1.30670379832123,1.57758620689655
23,0.168241690894502,0.156694472852466,0.156752208942676,0.155172413793103,0.164000228359631,0.00152205905936223,0.0015220590593622,-2.73218947466347e-17,0.0606355086236082,0.0398987457683588,1.31475210268324,1.57758620689655
24,0.167058171459066,0.156546597270139,0.156599155141083,0.155172413793103,0.164000228359631,0.00137418347703485,0.00137418347703513,2.87313575708659e-16,0.0585091304346325,0.0380538886120886,1.32280017062772,1.57758620689655
25,0.16579628991767,0.156405265499017,0.156452220621111,0.155172413793103,0.164000228359631,0.0012328517059139,0.00123285170591389,-1.40946282423116e-17,0.0573326241170054,0.0370652053988487,1.33095700368755,1.57758620689655
26,0.164825773748832,0.15627752248004,0.156320263736384,0.155172413793103,0.164000228359631,0.00110510868693639,0.00110510868693647,8.825405684032e-17,0.0557919961695456,0.0362576821167015,1.33923282666992,1.57758620689655
27,0.163864666991873,0.156135394460364,0.156174040823021,0.155172413793103,0.164000228359631,0.000962980667260122,0.00096298066726011,-1.1817803680092e-17,0.0519067154723011,0.0333587509178516,1.34759730691877,1.57758620689655
28,0.163274840520647,0.156106861008866,0.156142700906425,0.155172413793103,0.164000228359631,0.000934447215762128,0.000934447215762496,3.67652956689835e-16,0.0518969410330985,0.0334994559985262,1.3562022792604,1.57758620689655
29,0.162472928009798,0.155996650221534,0.156029031610475,0.155172413793103,0.164000228359631,0.000824236428430754,0.000824236428430658,-9.59518922649671e-17,0.0490126679224749,0.0309398295431232,1.36482185155188,1.57758620689655
30,0.161902470117398,0.155946139820353,0.155975921471838,0.155172413793103,0.164000228359631,0.000773726027249249,0.000773726027249233,-1.59377719355369e-17,0.0486980625438746,0.0306833660969665,1.3736243090073,1.57758620689655
31,0.161129611805692,0.155794911503706,0.155821585005215,0.155172413793103,0.164000228359631,0.000622497710602015,0.000622497710602132,1.17635935714677e-16,0.0446121433421814,0.0280628635134721,1.38242136473973,1.57758620689655
32,0.160652929827827,0.155760532545934,0.155784994532344,0.155172413793103,0.164000228359631,0.000588118752831045,0.000588118752831018,-2.69966340948891e-17,0.0430051483061602,0.0269217019088976,1.39147485168359,1.57758620689655
33,0.160163655931192,0.155679151374632,0.155701573897415,0.155172413793103,0.164000228359631,0.000506737581529107,0.000506737581528832,-2.7527893159407e-16,0.0406911792933412,0.0258970612215074,1.40059128941429,1.57758620689655
34,0.159691986146861,0.155609189738915,0.155629603720955,0.155172413793103,0.164000228359631,0.000436775945811514,0.000436775945811513,-1.02999206386123e-18,0.0381772346118808,0.023546261319843,1.40984321148148,1.57758620689655
35,0.159236406354922,0.155565349632327,0.15558370491594,0.155172413793103,0.164000228359631,0.000392935839223578,0.000392935839224007,4.29073009761138e-16,0.0365213415863651,0.0221558500966578,1.41925140256856,1.57758620689655
36,0.158725695234292,0.15548967089823,0.15550585101991,0.155172413793103,0.164000228359631,0.00031725710512514,0.000317257105126145,1.00521804421994e-15,0.0337856113931914,0.0202372014581092,1.42874736334038,1.57758620689655
37,0.158456698092887,0.155478154944048,0.155493047659792,0.155172413793103,0.164000228359631,0.000305741150944199,0.000305741150944228,2.85145171363688e-17,0.0335199800754068,0.0199865031727861,1.43845239697116,1.57758620689655
38,0.158179707447968,0.155460597332723,0.1554741928833,0.155172413793103,0.164000228359631,0.000288183539619539,0.00028818353962004,5.01280874448673e-16,0.032611716097138,0.0192679501161952,1.44828280350608,1.57758620689655
