"tag","label","sigma","T_len","beta","m","k_star","n_k","n_Q","C_Q_nls","a_Q_nls","R2_Q_nls","a_Q_ols","R2_Q_log","n_R","a_R_nls","R2_R_nls","a_R_ols","R2_R_log"
"K_BY=3","factor_T200_B2","factor",200,"B2",50,14,17,16,0.6537,0.498,0.9425,0.928,0.9157,4,1.02,0.9663,1.494,0.872
"K_BY=3","factor_T200_B4","factor",200,"B4",50,14,17,16,0.6668,0.506,0.9559,0.914,0.916,4,1.106,0.9713,1.664,0.8764
"K_BY=3","toeplitz_T200_B2","toeplitz",200,"B2",50,11,17,16,0.6089,0.468,0.9404,0.877,0.9035,NA,NA,NA,NA,NA
"K_BY=3","toeplitz_T200_B4","toeplitz",200,"B4",50,11,17,16,0.699,0.546,0.9844,0.88,0.9238,NA,NA,NA,NA,NA
"K_BY=3","factor_T100_B4","factor",100,"B4",50,14,13,12,0.9988,0.436,0.9427,0.768,0.8966,NA,NA,NA,NA,NA
"K_BY=3","factor_T150_B4","factor",150,"B4",50,14,13,12,0.7761,0.482,0.9513,0.844,0.9126,NA,NA,NA,NA,NA
"K_BY=3","factor_T200_B4","factor",200,"B4",50,14,13,12,0.6601,0.493,0.9477,0.878,0.9161,NA,NA,NA,NA,NA
"K_BY=3","factor_T300_B4","factor",300,"B4",50,18,13,12,0.5256,0.505,0.9365,0.948,0.9159,4,0.835,0.9573,1.221,0.8676
"K_BY=3","factor_T500_B4","factor",500,"B4",50,26,13,12,0.4288,0.498,0.9263,0.977,0.9096,6,0.647,0.9104,1.109,0.8372
"K_BY=3","factor_T800_B4","factor",800,"B4",50,26,13,12,0.3352,0.49,0.9238,0.981,0.9038,6,0.607,0.9361,0.907,0.8649
"K_BY=3","toeplitz_T100_B4","toeplitz",100,"B4",50,10,13,12,1.0083,0.43,0.9548,0.736,0.8905,NA,NA,NA,NA,NA
"K_BY=3","toeplitz_T150_B4","toeplitz",150,"B4",50,10,13,12,0.7847,0.493,0.9769,0.799,0.9115,NA,NA,NA,NA,NA
"K_BY=3","toeplitz_T200_B4","toeplitz",200,"B4",50,14,13,12,0.6808,0.542,0.9869,0.832,0.9279,NA,NA,NA,NA,NA
"K_BY=3","toeplitz_T300_B4","toeplitz",300,"B4",50,14,13,12,0.6023,0.633,0.9936,0.919,0.948,NA,NA,NA,NA,NA
"K_BY=3","toeplitz_T500_B4","toeplitz",500,"B4",50,18,13,12,0.5707,0.716,0.9957,1.001,0.9613,4,1.153,0.9883,1.638,0.9175
"K_BY=3","toeplitz_T800_B4","toeplitz",800,"B4",50,22,13,12,0.5338,0.791,0.9961,1.076,0.9721,5,1.115,0.9867,1.918,0.8538
"K_BY=1","factor_T200_B2","factor",200,"B2",50,14,49,48,0.7269,0.531,0.9471,1.037,0.922,12,1.067,0.9431,1.785,0.8743
"K_BY=1","factor_T200_B4","factor",200,"B4",50,15,49,48,0.7307,0.535,0.9579,1.021,0.9199,13,1.136,0.9491,2.114,0.8528
"K_BY=1","toeplitz_T200_B2","toeplitz",200,"B2",50,11,49,48,0.6727,0.499,0.9451,0.989,0.909,9,1.349,0.9406,2.423,0.8945
"K_BY=1","toeplitz_T200_B4","toeplitz",200,"B4",50,11,49,48,0.7382,0.563,0.9829,0.981,0.9197,9,1.341,0.9622,2.091,0.919
"K_BY=1","factor_T100_B4","factor",100,"B4",50,12,49,48,1.1306,0.473,0.9464,0.921,0.9013,10,1.12,0.9193,2.085,0.8273
"K_BY=1","factor_T150_B4","factor",150,"B4",50,13,49,48,0.886,0.522,0.9537,0.996,0.9185,11,1.126,0.9221,2.274,0.8182
"K_BY=1","factor_T200_B4","factor",200,"B4",50,16,49,48,0.7568,0.535,0.9501,1.03,0.9238,14,0.992,0.9143,1.801,0.8659
"K_BY=1","factor_T300_B4","factor",300,"B4",50,20,49,48,0.6104,0.551,0.9394,1.102,0.9308,18,0.908,0.9229,1.808,0.7982
"K_BY=1","factor_T500_B4","factor",500,"B4",50,27,49,48,0.5003,0.545,0.9301,1.134,0.929,25,0.72,0.8897,1.37,0.8788
"K_BY=1","factor_T800_B4","factor",800,"B4",50,32,49,48,0.3887,0.536,0.927,1.14,0.9249,30,0.697,0.9142,1.445,0.8089
"K_BY=1","toeplitz_T100_B4","toeplitz",100,"B4",50,10,49,48,1.1036,0.457,0.9525,0.888,0.8898,8,1.426,0.9575,2.177,0.9363
"K_BY=1","toeplitz_T150_B4","toeplitz",150,"B4",50,11,49,48,0.8464,0.517,0.9736,0.945,0.9071,9,1.423,0.9652,2.238,0.8987
"K_BY=1","toeplitz_T200_B4","toeplitz",200,"B4",50,12,49,48,0.7268,0.563,0.9838,0.97,0.92,10,1.369,0.9627,2.318,0.9028
"K_BY=1","toeplitz_T300_B4","toeplitz",300,"B4",50,13,49,48,0.6436,0.655,0.991,1.048,0.9409,11,1.292,0.9618,2.097,0.92
"K_BY=1","toeplitz_T500_B4","toeplitz",500,"B4",50,18,49,48,0.612,0.738,0.9927,1.121,0.9556,16,1.146,0.9609,2.025,0.8811
"K_BY=1","toeplitz_T800_B4","toeplitz",800,"B4",50,21,49,48,0.5754,0.814,0.9918,1.187,0.968,19,1.125,0.9581,2.388,0.8086
