"label","sigma","T_len","beta","m","k_star","sqrt_T","n_Q","C_Q_nls","alpha_Q_nls","R2_Q_nls","alpha_Q_ols","R2_Q_log","R2_Q_lin","n_R","alpha_R_nls","R2_R_nls","alpha_R_ols","R2_R_log"
"factor_T200_B2","factor",200,"B2",50,14,14,48,0.7269,0.531,0.9471,1.037,0.922,-2.0173,12,1.067,0.9431,1.785,0.8743
"factor_T200_B4","factor",200,"B4",50,15,14,48,0.7307,0.535,0.9579,1.021,0.9199,-1.7898,13,1.136,0.9491,2.114,0.8528
"toeplitz_T200_B2","toeplitz",200,"B2",50,11,14,48,0.6727,0.499,0.9451,0.989,0.909,-1.9887,9,1.349,0.9406,2.423,0.8945
"toeplitz_T200_B4","toeplitz",200,"B4",50,11,14,48,0.7382,0.563,0.9829,0.981,0.9197,-0.9423,9,1.341,0.9622,2.091,0.919
"factor_T100_B4","factor",100,"B4",50,12,10,48,1.1306,0.473,0.9464,0.921,0.9013,-1.4921,10,1.12,0.9193,2.085,0.8273
"factor_T150_B4","factor",150,"B4",50,13,12,48,0.886,0.522,0.9537,0.996,0.9185,-1.6191,11,1.126,0.9221,2.274,0.8182
"factor_T200_B4","factor",200,"B4",50,16,14,48,0.7568,0.535,0.9501,1.03,0.9238,-1.8314,14,0.992,0.9143,1.801,0.8659
"factor_T300_B4","factor",300,"B4",50,20,17,48,0.6104,0.551,0.9394,1.102,0.9308,-2.5392,18,0.908,0.9229,1.808,0.7982
"factor_T500_B4","factor",500,"B4",50,27,22,48,0.5003,0.545,0.9301,1.134,0.929,-3.2547,25,0.72,0.8897,1.37,0.8788
"factor_T800_B4","factor",800,"B4",50,32,28,48,0.3887,0.536,0.927,1.14,0.9249,-3.6683,30,0.697,0.9142,1.445,0.8089
"toeplitz_T100_B4","toeplitz",100,"B4",50,10,10,48,1.1036,0.457,0.9525,0.888,0.8898,-1.376,8,1.426,0.9575,2.177,0.9363
"toeplitz_T150_B4","toeplitz",150,"B4",50,11,12,48,0.8464,0.517,0.9736,0.945,0.9071,-1.1837,9,1.423,0.9652,2.238,0.8987
"toeplitz_T200_B4","toeplitz",200,"B4",50,12,14,48,0.7268,0.563,0.9838,0.97,0.92,-0.827,10,1.369,0.9627,2.318,0.9028
"toeplitz_T300_B4","toeplitz",300,"B4",50,13,17,48,0.6436,0.655,0.991,1.048,0.9409,-0.5086,11,1.292,0.9618,2.097,0.92
"toeplitz_T500_B4","toeplitz",500,"B4",50,18,22,48,0.612,0.738,0.9927,1.121,0.9556,-0.2828,16,1.146,0.9609,2.025,0.8811
"toeplitz_T800_B4","toeplitz",800,"B4",50,21,28,48,0.5754,0.814,0.9918,1.187,0.968,-0.044,19,1.125,0.9581,2.388,0.8086
