"sigma_type","T_len","m","R2_target","beta_design","N_REP_scale","K_RS_scale","best_z_rmsfe","best_z_L_bag","min_rmsfe_rs","rmsfe_base","rel_rmsfe_best","min_L_rs_bag"
"toeplitz",100,50,0.3,"B4",120,150,10,31,1.01995052503236,1.13809605069884,0.896190198011901,0.89926249559
"toeplitz",150,50,0.3,"B4",120,150,11,27,1.02089689492744,1.13681922924335,0.898029228100694,0.936717622229624
"toeplitz",200,50,0.3,"B4",120,150,12,24,1.00176764909992,1.11355543700152,0.899611834142169,0.970047260154052
"toeplitz",300,50,0.3,"B4",120,150,13,25,0.9918714000614,1.11587915272151,0.888869908217509,0.974207133662075
"toeplitz",500,50,0.3,"B4",120,150,18,29,1.03797652450918,1.18768065210015,0.87395254159756,0.981404665558562
"toeplitz",800,50,0.3,"B4",120,150,21,30,0.988261508418615,1.14395631322546,0.863897945221483,0.987206138077256
"factor",100,50,0.3,"B4",120,150,12,29,1.03589963385063,1.09525255913147,0.945808914312959,0.86473878941166
"factor",150,50,0.3,"B4",120,150,13,28,1.03567203747124,1.08505580573502,0.954487347099785,0.904745156071813
"factor",200,50,0.3,"B4",120,150,16,30,1.02169273597721,1.08392568577824,0.94258559362735,0.951515441811886
"factor",300,50,0.3,"B4",120,150,20,32,1.01889247624125,1.07610997331296,0.9468293218252,0.972639733973394
"factor",500,50,0.3,"B4",120,150,27,36,1.08199470600951,1.13354131451948,0.954526043427161,1.00502932281404
"factor",800,50,0.3,"B4",120,150,32,39,1.02942965290101,1.09450377725418,0.940544632457613,1.03480669911225
