"sigma_type","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"toeplitz",100,2,1.13809605069884,1.10504826585671,0.970962218152111,1.15626387657489,1.16960424951262
"toeplitz",100,3,1.13809605069884,1.0790762921409,0.948141671766891,1.08052953204398,1.10575419351155
"toeplitz",100,4,1.13809605069884,1.05764778661696,0.929313291235409,1.02273150306091,1.05896802094173
"toeplitz",100,5,1.13809605069884,1.0437051555948,0.917062452640899,0.978980814737504,1.02578224528528
"toeplitz",100,6,1.13809605069884,1.03395989986737,0.908499681755747,0.944641579969536,1.00177420328516
"toeplitz",100,7,1.13809605069884,1.0271552766387,0.90252072837612,0.916399680569926,0.983723319344151
"toeplitz",100,8,1.13809605069884,1.02413001163262,0.899862547632739,0.892066908399907,0.969475120624509
"toeplitz",100,9,1.13809605069884,1.02247199369002,0.898405712823777,0.871573096284945,0.959093205013339
"toeplitz",100,10,1.13809605069884,1.01995052503236,0.896190198011901,0.852847672506236,0.95041489520499
"toeplitz",100,11,1.13809605069884,1.02127759932146,0.89735624571788,0.835980253467666,0.943613779216842
"toeplitz",100,12,1.13809605069884,1.02126742232551,0.897347303593936,0.820266478338393,0.937950531981103
"toeplitz",100,13,1.13809605069884,1.02399166092178,0.899740984333441,0.805572332419654,0.933321161064235
"toeplitz",100,14,1.13809605069884,1.02587598109422,0.901396661963889,0.791465153527712,0.92925778802679
"toeplitz",100,15,1.13809605069884,1.02934193210258,0.904442056072962,0.777567849214987,0.925327471447532
"toeplitz",100,16,1.13809605069884,1.03211356502428,0.90687738033228,0.76450486665559,0.922304628532125
"toeplitz",100,17,1.13809605069884,1.03469212190367,0.909143056307351,0.751551698889018,0.919322537231158
"toeplitz",100,18,1.13809605069884,1.03867629682288,0.912643793276578,0.739020274700866,0.916783779270946
"toeplitz",100,19,1.13809605069884,1.04492261778019,0.918132188525351,0.726622131786244,0.914333993764139
"toeplitz",100,20,1.13809605069884,1.04809319425138,0.920918048707578,0.714284669543345,0.911896679483159
"toeplitz",100,21,1.13809605069884,1.05453754545367,0.92658044530261,0.702584257305933,0.910204815610097
"toeplitz",100,22,1.13809605069884,1.06023915705775,0.931590225980236,0.690763793303946,0.908309180212791
"toeplitz",100,23,1.13809605069884,1.06824404079214,0.938623800808542,0.678979167158172,0.906399885763217
"toeplitz",100,24,1.13809605069884,1.07298594298295,0.942790322771164,0.667425787267646,0.90474575247829
"toeplitz",100,25,1.13809605069884,1.07976987214279,0.948751093090746,0.656352015632023,0.903697823524236
"toeplitz",100,26,1.13809605069884,1.08861953416346,0.956526941197093,0.645037301453402,0.90227591368537
"toeplitz",100,27,1.13809605069884,1.09701611613575,0.963904685779495,0.63408507915864,0.901323076758245
"toeplitz",100,28,1.13809605069884,1.10565949155379,0.971499278004577,0.623202772803316,0.900442444923666
"toeplitz",100,29,1.13809605069884,1.11296861876373,0.977921519084717,0.612501857273492,0.89979342424562
"toeplitz",100,30,1.13809605069884,1.1247506042793,0.988273883903428,0.602055270927574,0.899512717678577
"toeplitz",100,31,1.13809605069884,1.13801544074662,0.999929171222258,0.591641931284678,0.89926249559
"toeplitz",100,32,1.13809605069884,1.14807989592574,1.00877241004463,0.581525603557422,0.899462856345138
"toeplitz",100,33,1.13809605069884,1.16158454610423,1.02063841218934,0.571793878315392,0.900279759294807
"toeplitz",100,34,1.13809605069884,1.17679424000072,1.0340025688325,0.562112566922965,0.90120340925147
"toeplitz",100,35,1.13809605069884,1.18908343237342,1.04480059626186,0.552739773367009,0.902664615213832
"toeplitz",100,36,1.13809605069884,1.20916852091236,1.06244856940667,0.543542255090387,0.904478060305702
"toeplitz",100,37,1.13809605069884,1.22251874831553,1.07417888636451,0.534872287428342,0.907259380067376
"toeplitz",100,38,1.13809605069884,1.24194704580073,1.09124976317958,0.526451558182815,0.910586289526225
"toeplitz",100,39,1.13809605069884,1.25962966755624,1.10678678375412,0.518357400919873,0.914626971337993
"toeplitz",100,40,1.13809605069884,1.28235039275736,1.12675058662222,0.510531860914009,0.919321571121539
"toeplitz",100,41,1.13809605069884,1.30513295694645,1.14676872496397,0.503291609676942,0.925293244505562
"toeplitz",100,42,1.13809605069884,1.3279541689647,1.16682082162509,0.496438414760114,0.932252828259227
"toeplitz",100,43,1.13809605069884,1.35527618288378,1.19082759495702,0.490127627516705,0.940574801668528
"toeplitz",100,44,1.13809605069884,1.38447229614235,1.2164810652776,0.48429172062371,0.950216646712889
"toeplitz",100,45,1.13809605069884,1.41844851988108,1.24633462967391,0.479094582189752,0.961600288487767
"toeplitz",100,46,1.13809605069884,1.44868146626346,1.27289912426451,0.474546489843314,0.974874998087783
"toeplitz",100,47,1.13809605069884,1.48725146797581,1.30678905973056,0.47076617272363,0.990428431428317
"toeplitz",100,48,1.13809605069884,1.52814356535454,1.34271932884417,0.467846162631062,1.0086511019935
"toeplitz",100,49,1.13809605069884,1.57431348305322,1.38328700999052,0.465932007404398,1.03006488340173
"toeplitz",100,50,1.13809605069884,1.62479304280249,1.42764140320564,0.465199251081328,1.05533932125142
