"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","Q_opt","Q_ave","R_weight_exact_mc","R_bag_inf_mc","R_weight_identity_gap","w_l2_mc","w_max_abs_mc","L_pop_bag_inf","L_pop_opt"
2,0.486057907108793,0.00777451977555433,NA,0.0038589777078994,0.00682059715646099,0.00391554206765493,0.00391554206765493,8.67361737988404e-19,0.102435885199861,0.0443347110869346,1.01331174241168,1.37094173821303
5,0.105477368385676,0.00515868084981947,NA,0.0038589777078994,0.00682059715646099,0.00129970314192008,0.00129970314192008,-4.33680868994202e-19,0.0789431586325636,0.0350073632551173,1.02762032734926,1.37094173821303
8,0.0425035212463684,0.00441958285421413,NA,0.0038589777078994,0.00682059715646099,0.000560605146314729,0.000560605146314729,3.25260651745651e-19,0.0601789641782436,0.029343960576324,1.04436808899046,1.37094173821303
11,0.024997204969374,0.00410914300902472,NA,0.0038589777078994,0.00682059715646099,0.000250165301125322,0.000250165301125322,-3.79470760369927e-19,0.0413012299396082,0.0210367143860318,1.0621501339344,1.37094173821303
14,0.0176337210258231,0.003992634178896,NA,0.0038589777078994,0.00682059715646099,0.000133656470996599,0.000133656470996599,-5.14996031930615e-19,0.0319106888640405,0.0167933166313849,1.08076854149846,1.37094173821303
17,0.0135834606815812,0.003939694225274,NA,0.0038589777078994,0.00682059715646099,8.07165173746039e-05,8.07165173746039e-05,-2.71050543121376e-20,0.0252354920300481,0.0138785022206795,1.10012553319297,1.37094173821303
20,0.0111406229256553,0.00391565392451791,NA,0.0038589777078994,0.00682059715646099,5.66762166185153e-05,5.6676216618509e-05,-6.32903018188413e-18,0.0206086903724443,0.0112045841880389,1.12022295529382,1.37094173821303
23,0.00930277510744765,0.00389003071865726,NA,0.0038589777078994,0.00682059715646099,3.10530107578634e-05,3.10530107578656e-05,2.14807555423691e-18,0.0158280579902155,0.00882128956815157,1.14106755044419,1.37094173821303
26,0.00806345455814411,0.00387998762840429,NA,0.0038589777078994,0.00682059715646099,2.10099205048943e-05,2.10099205048926e-05,-1.70084215808664e-18,0.01329808696798,0.00806276200415595,1.16272175782277,1.37094173821303
29,0.00708882973158416,0.00387042943196925,NA,0.0038589777078994,0.00682059715646099,1.14517240698552e-05,1.14517240698527e-05,-2.54787510534094e-18,0.00942248674433281,0.00442253541475165,1.18521476507129,1.37094173821303
32,0.00632116821604353,0.00386520123989801,NA,0.0038589777078994,0.00682059715646099,6.22353199861687e-06,6.22353199861625e-06,-6.23416249179165e-19,0.00706696994600248,0.00407279635396571,1.20860086728225,1.37094173821303
35,0.00572076742762683,0.00386328515509519,NA,0.0038589777078994,0.00682059715646099,4.30744719578909e-06,4.30744719578978e-06,6.93719983801272e-19,0.00621108863567917,0.0034906413551232,1.23293275962002,1.37094173821303
38,0.005222652216755,0.00386136432741556,NA,0.0038589777078994,0.00682059715646099,2.38661951616934e-06,2.38661951616238e-06,-6.95286994753692e-18,0.0041770615418352,0.00248938330398296,1.25826458679395,1.37094173821303
41,0.00479812067124633,0.00386034457963096,NA,0.0038589777078994,0.00682059715646099,1.36687173156319e-06,1.36687173155851e-06,-4.68303340713221e-18,0.00322026439886972,0.00173346292154004,1.28466044096554,1.37094173821303
44,0.00443315495342451,0.00385960437946199,NA,0.0038589777078994,0.00682059715646099,6.26671562594726e-07,6.26671562594262e-07,-4.64809329805797e-19,0.00228215153918199,0.00170094483892977,1.31218791143887,1.37094173821303
47,0.00412938396424053,0.00385927747059286,NA,0.0038589777078994,0.00682059715646099,2.99762693470164e-07,2.99762693462685e-07,-7.47893034734105e-18,0.00158692681868989,0.00082711252269304,1.3409215166213,1.37094173821303
50,0.0038589777078994,0.00385897770789937,NA,0.0038589777078994,0.00682059715646099,1.04696055375471e-29,-2.38524477946811e-17,-2.38524477946916e-17,4.77826031071198e-15,1.9220736113823e-15,1.37094173821303,1.37094173821303
