"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","Q_opt","Q_ave","R_weight_exact_mc","R_bag_inf_mc","R_weight_identity_gap","w_l2_mc","w_max_abs_mc","L_pop_bag_inf","L_pop_opt"
2,0.573553908154155,0.16347918255788,NA,0.155172413793103,0.164000228359631,0.00830676876477644,0.00830676876477648,3.98986399474666e-17,0.0968354828111695,0.0664568965517243,1.16987192531919,1.57758620689655
5,0.298867268727491,0.162296722773447,NA,0.155172413793103,0.164000228359631,0.00712430898034398,0.00712430898034402,4.25007251614318e-17,0.0945495454540483,0.0658524420943905,1.18826983389688,1.57758620689655
8,0.232772763413233,0.160539369466366,NA,0.155172413793103,0.164000228359631,0.00536695567326222,0.00536695567326226,4.0766001685455e-17,0.0855782623384538,0.0604420738010972,1.20669718529741,1.57758620689655
11,0.203294459645993,0.159367313604716,NA,0.155172413793103,0.164000228359631,0.0041948998116125,0.00419489981161253,2.86229373536173e-17,0.0826863772284118,0.0566995879316078,1.22638276525817,1.57758620689655
14,0.1882243452874,0.15832491299657,NA,0.155172413793103,0.164000228359631,0.00315249920346667,0.00315249920346675,7.19910242530375e-17,0.0773249688337844,0.0525028119837789,1.24690270046101,1.57758620689655
17,0.178505943668627,0.157672773863428,NA,0.155172413793103,0.164000228359631,0.00250036007032435,0.00250036007032439,4.33680868994202e-17,0.0721019920251073,0.0481978125759543,1.26858753064076,1.57758620689655
20,0.172265253836436,0.15709029842344,NA,0.155172413793103,0.164000228359631,0.00191788463033689,0.00191788463033699,9.93129189996722e-17,0.0668940814588855,0.0441664919445769,1.29114344275299,1.57758620689655
23,0.168033762671402,0.156649564360386,NA,0.155172413793103,0.164000228359631,0.0014771505672829,0.0014771505672829,2.16840434497101e-19,0.0616054255286095,0.0398624586364002,1.31470105762702,1.57758620689655
26,0.164816636523735,0.156212573331789,NA,0.155172413793103,0.164000228359631,0.00104015953868552,0.00104015953868572,2.02745806254789e-16,0.0528492407279795,0.0348094065540533,1.3391576007577,1.57758620689655
29,0.162461217523789,0.15594058888057,NA,0.155172413793103,0.164000228359631,0.000768175087466396,0.000768175087466155,-2.4080130250903e-16,0.0476954206465464,0.0303350264344038,1.36475566300093,1.57758620689655
32,0.160623503084203,0.155728291049669,NA,0.155172413793103,0.164000228359631,0.000555877256565771,0.000555877256565862,9.08561420542853e-17,0.0420351260281027,0.0262169396535074,1.39143603461901,1.57758620689655
35,0.15925874066623,0.155577884140701,NA,0.155172413793103,0.164000228359631,0.00040547034759693,0.000405470347597414,4.84367320557899e-16,0.0372524527856503,0.0230080404290244,1.41926679730032,1.57758620689655
38,0.158088645980781,0.155435018507716,NA,0.155172413793103,0.164000228359631,0.000262604714612159,0.000262604714612646,4.87023615880489e-16,0.0312409841729887,0.0188793658768143,1.44825074237611,1.57758620689655
41,0.157119585045365,0.155304786954349,NA,0.155172413793103,0.164000228359631,0.000132373161246845,0.000132373161245508,-1.33652312307719e-15,0.022763915683377,0.0136319718926501,1.4784669651234,1.57758620689655
44,0.156333511017893,0.155226684507337,NA,0.155172413793103,0.164000228359631,5.42707142359204e-05,5.4270714233251e-05,-2.6693396299772e-15,0.0149467016850053,0.00878292713858958,1.51004630903459,1.57758620689655
47,0.155739546542273,0.155190290881502,NA,0.155172413793103,0.164000228359631,1.78770884028424e-05,1.7877088398649e-05,-4.19343311702618e-15,0.00882480084415297,0.00569790080436534,1.54306440314828,1.57758620689655
50,0.155172413793104,0.155172413793104,NA,0.155172413793103,0.164000228359631,1.8273943006352e-30,5.27355936696949e-16,5.27355936696947e-16,1.23346524386271e-15,8.04911692853238e-16,1.57758620689655,1.57758620689655
