"sigma_type","T_len","m","R2_target","beta_design","N_REP_scale","K_RS_scale","best_z_rmsfe","best_z_L_bag","min_rmsfe_rs","rmsfe_base","rel_rmsfe_best","min_L_rs_bag"
"toeplitz",100,50,0.3,"B4",120,150,10,30,1.02073023233233,1.13809605069884,0.896875295987151,0.899529976648456
"toeplitz",150,50,0.3,"B4",120,150,10,26,1.02155562043565,1.13681922924335,0.898608674235376,0.936832873612778
"toeplitz",200,50,0.3,"B4",120,150,14,26,1.00195355213436,1.11355543700152,0.899778779610952,0.970182637210833
"toeplitz",300,50,0.3,"B4",120,150,14,26,0.992212001571278,1.11587915272151,0.889175139755393,0.974353038606833
"toeplitz",500,50,0.3,"B4",120,150,18,30,1.03840589639092,1.18768065210015,0.874314062921482,0.981464819329164
"toeplitz",800,50,0.3,"B4",120,150,22,30,0.988074869166336,1.14395631322546,0.863734792791516,0.987221113160073
"factor",100,50,0.3,"B4",120,150,14,30,1.03892586682056,1.09525255913147,0.948571960100624,0.864829366319163
"factor",150,50,0.3,"B4",120,150,14,30,1.03723017690007,1.08505580573502,0.955923346447097,0.905276787288356
"factor",200,50,0.3,"B4",120,150,14,30,1.02225110583743,1.08392568577824,0.943100730289892,0.951540677135664
"factor",300,50,0.3,"B4",120,150,18,30,1.01973790372983,1.07610997331296,0.947614954808398,0.97295748967969
"factor",500,50,0.3,"B4",120,150,26,34,1.08240454449432,1.13354131451948,0.954887599269517,1.00539256507101
"factor",800,50,0.3,"B4",120,150,26,38,1.02974626092232,1.09450377725418,0.940833903292392,1.03481445752009
