"sigma_type","T_len","m","R2_target","beta_design","N_REP_scale","K_RS_scale","best_z_rmsfe","best_z_L_bag","min_rmsfe_rs","rmsfe_base","rel_rmsfe_best","min_L_rs_bag"
"toeplitz",100,50,0.3,"B4",500,500,10,31,1.02488071070849,1.13112311588325,0.906073526671939,0.909173238970085
"toeplitz",150,50,0.3,"B4",500,500,11,27,1.01719473955935,1.14038245327356,0.891976842189575,0.950566488523383
"toeplitz",200,50,0.3,"B4",500,500,14,25,1.01877261799299,1.14205604976693,0.89205132988079,0.966580627674506
"toeplitz",300,50,0.3,"B4",500,500,13,25,1.00700244766882,1.13498441401998,0.887239009831097,0.979671255042932
"toeplitz",500,50,0.3,"B4",500,500,16,28,1.02049172639168,1.14589185932335,0.89056547359912,0.977864247665834
"toeplitz",800,50,0.3,"B4",500,500,19,31,1.00497107756835,1.14066074910074,0.881042920395605,0.985145483310394
"factor",100,50,0.3,"B4",500,500,10,30,1.03688989500911,1.09219665765252,0.949361900848258,0.877375797985102
"factor",150,50,0.3,"B4",500,500,14,29,1.03957061156188,1.10391218747228,0.941714951025468,0.921425333333013
"factor",200,50,0.3,"B4",500,500,18,29,1.04411659613884,1.10645193164354,0.943661957901685,0.947021476449885
"factor",300,50,0.3,"B4",500,500,17,32,1.03820744942041,1.09218317165686,0.950579972629898,0.979480417436138
"factor",500,50,0.3,"B4",500,500,22,36,1.0609044469036,1.10456457651611,0.960472994933248,1.00796396687732
"factor",800,50,0.3,"B4",500,500,27,39,1.04729363937789,1.09738680592492,0.954352315631483,1.03606295719357
