"sigma_type","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"factor",100,2,1.09219665765252,1.08058849520358,0.989371728646475,1.13436618011105,1.1474550884844
"factor",100,3,1.09219665765252,1.06877569336201,0.978556092324209,1.0838409667546,1.10914328818288
"factor",100,4,1.09219665765252,1.05870189199511,0.969332660539902,1.03758525370311,1.07434577363007
"factor",100,5,1.09219665765252,1.0511561769603,0.962423909279824,0.996692581444915,1.04433546786943
"factor",100,6,1.09219665765252,1.04571888145055,0.957445597478872,0.96077799204633,1.01887760174063
"factor",100,7,1.09219665765252,1.04175283160851,0.953814337655608,0.929301120062548,0.997560988923562
"factor",100,8,1.09219665765252,1.03877157813218,0.95108474362559,0.901604565404665,0.979823732590398
"factor",100,9,1.09219665765252,1.03723511650457,0.949677980826201,0.87693748141665,0.964976120801874
"factor",100,10,1.09219665765252,1.03688989500911,0.949361900848258,0.854720747654418,0.952480202416982
"factor",100,11,1.09219665765252,1.03714738898415,0.949597658734197,0.834588435247723,0.942016512537582
"factor",100,12,1.09219665765252,1.03819104695197,0.950553217387948,0.815967561232865,0.93300799242538
"factor",100,13,1.09219665765252,1.0402489783193,0.952437430595263,0.798638449957241,0.925257069192875
"factor",100,14,1.09219665765252,1.04248344167842,0.954483274027821,0.78244358836495,0.918630132976738
"factor",100,15,1.09219665765252,1.04527138606396,0.957035876955147,0.767045564477612,0.912770970009416
"factor",100,16,1.09219665765252,1.04888413114403,0.960343655874587,0.752345869207043,0.907593112551523
"factor",100,17,1.09219665765252,1.05247400712957,0.963630496170597,0.738318774438786,0.903092721078028
"factor",100,18,1.09219665765252,1.05703366039394,0.967805250993757,0.724745737601137,0.89902834053306
"factor",100,19,1.09219665765252,1.06182884634288,0.972195656252136,0.711667557808438,0.895468698757096
"factor",100,20,1.09219665765252,1.06755580538386,0.977439179935213,0.698919401224507,0.892226662512018
"factor",100,21,1.09219665765252,1.07273949516095,0.982185293870615,0.686528580843734,0.889350041696825
"factor",100,22,1.09219665765252,1.07922901608795,0.988127008562314,0.67450760920803,0.886874966963086
"factor",100,23,1.09219665765252,1.08582778459896,0.994168748815577,0.662700254103407,0.884606837196928
"factor",100,24,1.09219665765252,1.0929654123949,1.00070386110138,0.651174961544443,0.88264957740014
"factor",100,25,1.09219665765252,1.10053393927546,1.00763349856871,0.639919568747164,0.881003906646671
"factor",100,26,1.09219665765252,1.10867385069769,1.01508628773922,0.628940257427374,0.879690312446617
"factor",100,27,1.09219665765252,1.11743032265744,1.02310359112355,0.618135256376749,0.878581336662407
"factor",100,28,1.09219665765252,1.12765396478178,1.03246421501186,0.607623862268573,0.877861371910498
"factor",100,29,1.09219665765252,1.13735380137838,1.04134524987735,0.597301574374761,0.877392767855818
"factor",100,30,1.09219665765252,1.14852720838199,1.05157546521937,0.587292293402929,0.877375797985102
"factor",100,31,1.09219665765252,1.15951512444586,1.06163584764856,0.577423318808389,0.877572271950612
"factor",100,32,1.09219665765252,1.17189981427464,1.07297509662173,0.567877004749667,0.878277497714276
"factor",100,33,1.09219665765252,1.18528020024933,1.0852259910746,0.558620978816233,0.879461157105951
"factor",100,34,1.09219665765252,1.19929938719705,1.09806176277331,0.549540404157896,0.880969676425931
"factor",100,35,1.09219665765252,1.21371504704042,1.11126053951591,0.540774018778908,0.883052782750254
"factor",100,36,1.09219665765252,1.23054545921828,1.12667022975799,0.532316452754651,0.885730830789799
"factor",100,37,1.09219665765252,1.24773615250493,1.14240978834957,0.524143941201254,0.888997940303615
"factor",100,38,1.09219665765252,1.26649731894307,1.15958725021661,0.516306150679367,0.89297457979378
"factor",100,39,1.09219665765252,1.28621551158428,1.177640951904,0.508788197019251,0.897680330872042
"factor",100,40,1.09219665765252,1.30806699694762,1.19764786660222,0.50166095595099,0.90328823097859
"factor",100,41,1.09219665765252,1.33126040328856,1.21888342539874,0.494952726264294,0.909909984604707
"factor",100,42,1.09219665765252,1.35579499689947,1.24134695652109,0.488635941000162,0.917556847843272
"factor",100,43,1.09219665765252,1.3830412824791,1.26629327492331,0.482782378547227,0.926439540756362
"factor",100,44,1.09219665765252,1.41257507490457,1.29333400263341,0.477434419214575,0.936724070296783
"factor",100,45,1.09219665765252,1.44432353017679,1.3224024447036,0.472683315245035,0.948699296595633
"factor",100,46,1.09219665765252,1.47853650269551,1.3537273643314,0.468530171259719,0.962485773360746
"factor",100,47,1.09219665765252,1.51615474949976,1.38817010551786,0.46507949102825,0.978440425800705
"factor",100,48,1.09219665765252,1.55824777004277,1.42670988701974,0.462431865284365,0.996950733732464
"factor",100,49,1.09219665765252,1.60461370532012,1.46916188955288,0.460711181499658,1.01849797533587
"factor",100,50,1.09219665765252,1.65601683075499,1.51622587301658,0.460078548720037,1.04369792413496
