"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
1,4.10703138341358,1.0632529170319,1.06705764011488,0.00325291703189956,0.00325291703189956,-1.73472347597681e-18,0.00207417807967639,0.00207417807967639,1.06207417807968,0.00117873895222317,0.36236366948924,1.56829206892741,0.0316785211505288,0.0262943471724525,0.0112464399039197,0.011462958659816,0.00268804761862583,0.0064,0.800537682574928,1.06207417807968,1.06574658535708,0.00207417807967647,0.00574658535707684,4,4.10370890398382,2.06207417807968,2.06574658535708,5,5.10370890398382,2.06212871843815,2.06,2.59126315789474
2,2.52382700272436,1.06115305822897,1.06298140065959,0.00115305822897271,0.00115305822897272,-2.81892564846231e-18,0.000497595407702457,0.000497595407702457,1.0604975954077,0.000655462821270257,0.56845595894513,2.31726059188673,0.0198020535714997,0.0128788639212012,0.00625504795905802,0.00561451036399153,0.00218636590975278,0.00561583947935286,0.625375890850039,1.0604975954077,1.06229697341344,0.000497595407702445,0.00229697341344282,2.5,2.52539809893481,2.06915514832958,2.07096208674711,3.51470588235294,3.54021069598916,2.06212871843815,2.06,2.59126315789474
3,2.01397022002992,1.06073003807996,1.0619215883074,0.000730038079958195,0.000730038079958353,-1.58293517182884e-16,0.000212034771530619,0.000212034771530619,1.06021203477153,0.000518003308427576,0.709556559648559,3.4430111376934,0.0161560322034188,0.00840703617078415,0.00806643434159175,0.00366502759871669,0.00169914267532309,0.00581685031583867,0.689645656927646,1.06021203477153,1.06138676972807,0.000212034771530645,0.00138676972806606,2,2.0110528763883,2.07759779033922,2.07878243867092,3.0253164556962,3.03646260530297,2.06212871843815,2.06,2.59126315789474
4,1.75340181922016,1.06037683098883,1.06124311222412,0.000376830988827237,0.000376830988827399,-1.62359275329704e-16,0.000114248251160851,0.000114248251160851,1.06011424825116,0.000262582737666386,0.696818322939918,3.29835235986847,0.0115567931289579,0.0061711222955756,0.00419854565623029,0.00269028621607927,0.00161809089397634,0.00373293059383171,0.285559687531141,1.06011424825116,1.06097660544085,0.000114248251160909,0.000976605440846878,1.75,1.75608496120313,2.0863021412374,2.08717546059476,2.78495762711864,2.79111993952351,2.06212871843815,2.06,2.59126315789474
5,1.60593906323155,1.06027526664534,1.06095734639107,0.000275266645339389,0.000275266645339531,-1.41488383509358e-16,6.99743542081581e-05,6.99743542081581e-05,1.06006997435421,0.000205292291131231,0.745794285675682,3.93382187594804,0.00990876435116268,0.00482957397045047,0.00427281145672734,0.00210544138649682,0.000957436577128863,0.00286247794925006,0.790659086620731,1.06006997435421,1.06074488688627,6.997435420808e-05,0.000744886886265395,1.6,1.60380971484022,2.09513499519428,2.09582139559922,2.64425531914894,2.6481298801992,2.06212871843815,2.06,2.59126315789474
6,1.50154101283922,1.06021107303137,1.06076273545613,0.000211073031372022,0.000211073031372063,-4.07931067397671e-17,4.64575959351831e-05,4.64575959351831e-05,1.06004645759594,0.000164615435436839,0.779898001970227,4.54334812473955,0.00843381128096678,0.00393520842036705,0.00342923330528492,0.00171554483344186,0.00117485910474413,0.00331910894013917,0.265154803634026,1.06004645759594,1.06059639952394,4.64575959351343e-05,0.000596399523940416,1.5,1.50258684341003,2.1040645442967,2.10462623712061,2.5534188034188,2.55606092126067,2.06212871843815,2.06,2.59126315789474
7,1.42999498291597,1.06015973496327,1.06062202902321,0.000159734963271818,0.00015973496327189,-7.14760282211069e-17,3.25982819175823e-05,3.25982819175823e-05,1.06003259828192,0.000127136681354236,0.795922688121132,4.90010374398483,0.00737959164417345,0.00329637588459318,0.00308168332473623,0.00143704729554545,0.000979361662508934,0.00274799288622371,0.356965165591953,1.06003259828192,1.06049327181978,3.25982819175952e-05,0.000493271819779428,1.42857142857143,1.43042877254115,2.11308064802308,2.11355318439883,2.49110974862048,2.49301492119028,2.06212871843815,2.06,2.59126315789474
8,1.37598871209013,1.06013855277708,1.06053336547622,0.000138552777078971,0.000138552777079057,-8.61127575496612e-17,2.38107177513871e-05,2.38107177513871e-05,1.06002381071775,0.000114742059327584,0.828146946936937,5.818924844082,0.00683788897579843,0.00281725148276277,0.00240160709330233,0.00122817414212315,0.000932057538139033,0.00239953958323944,0.29217810308432,1.06002381071775,1.06041753095435,2.38107177514824e-05,0.000417530954354151,1.375,1.3763889585355,2.12217970155837,2.12258530128487,2.44665948275862,2.44809034952579,2.06212871843815,2.06,2.59126315789474
9,1.33468844797451,1.06011936007875,1.06046257143862,0.000119360078746578,0.000119360078746707,-1.29060716107243e-16,1.79281953092385e-05,1.79281953092385e-05,1.06001792819531,0.000101431883437339,0.849797390404683,6.65767394251171,0.0062581001048674,0.00244459917022801,0.00231175935942288,0.00106571724501691,0.000778309056332358,0.00201138633921165,0.485393590772025,1.06001792819531,1.06035957245173,1.79281953092136e-05,0.000359572451731793,1.33333333333333,1.33440465232132,2.13136054042718,2.13171401651932,2.41414141414141,2.4152498350857,2.06212871843815,2.06,2.59126315789474
10,1.3012181416101,1.06016594466844,1.06046725991462,0.000165944668439666,0.000165944668439793,-1.26960074398053e-16,1.38220946584016e-05,1.38220946584016e-05,1.06001382209466,0.000152122573781264,0.916706605952652,12.0057540149169,0.00749741426918914,0.00214647732020021,0.00241165862014955,0.000935751727331921,0.000989215915891141,0.00237355186168698,0.3694512291093,1.06001382209466,1.06031380481704,1.38220946583889e-05,0.000313804817040131,1.3,1.30084660329783,2.14062305861141,2.14093477978814,2.39,2.39087973125296,2.06212871843815,2.06,2.59126315789474
