"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
1,2.16276331977705,10.8331918626213,2.1508815161528,2.03791467630539,2.55099053890449,1.16216063453124,1.16570793373807,0.102160634531235,0.105707933738071,4,9.10803172656175,2.16216063453124,2.16570793373807,5,10.1080317265618,2.17708105860817,2.06,2.59126315789474
2,2.07227330566064,4.90232057574373,2.1508815161528,2.03791467630539,2.55099053890449,1.08450834047896,1.08627770505336,0.0245083404789634,0.0262777050533649,2.5,3.75094654528043,2.09326677888434,2.09504357776367,3.51470588235294,4.77090850555472,2.17708105860817,2.06,2.59126315789474
3,2.05597681548537,3.61471175475005,2.1508815161528,2.03791467630539,2.55099053890449,1.07044346530055,1.07160541096892,0.0104434653005461,0.0116054109689203,2,2.54439340396463,2.08791556205414,2.08908731317119,3.0253164556962,3.57430389682509,2.17708105860817,2.06,2.59126315789474
4,2.05031901855721,3.0995827917802,2.1508815161528,2.03791467630539,2.55099053890449,1.06562713199365,1.06648259807866,0.00562713199365095,0.00648259807865892,1.75,2.0497059431401,2.09188510401052,2.0927514446644,2.78495762711864,3.08847339156985,2.17708105860817,2.06,2.59126315789474
5,2.04743483521138,2.8317859385649,2.1508815161528,2.03791467630539,2.55099053890449,1.06344648537985,1.06411717727313,0.00344648537985415,0.00411717727312944,1.6,1.78764198179206,2.09856897874802,2.09925108667352,2.64425531914894,2.83509120701406,2.17708105860817,2.06,2.59126315789474
6,2.04710248966977,2.67369012945441,2.1508815161528,2.03791467630539,2.55099053890449,1.06228820154163,1.0628353412897,0.00228820154163167,0.00283534128970464,1.5,1.62741122220449,2.10635418875406,2.10691301952239,2.5534188034188,2.68355248763621,2.17708105860817,2.06,2.59126315789474
7,2.04768808587551,2.57067942004808,2.1508815161528,2.03791467630539,2.55099053890449,1.06160558112052,1.06206428842984,0.00160558112052156,0.00206428842983519,1.42857142857143,1.52005221334534,2.11469413685753,2.11516465637223,2.49110974862048,2.58494626175766,2.17708105860817,2.06,2.59126315789474
8,2.04877784938895,2.50045112237673,2.1508815161528,2.03791467630539,2.55099053890449,1.0611727623862,1.06156504643322,0.00117276238620034,0.00156504643321753,1.375,1.44341113919502,2.12336331987199,2.1237674400756,2.44665948275862,2.51713475115349,2.17708105860817,2.06,2.59126315789474
9,2.05057614919454,2.44991438632405,2.1508815161528,2.03791467630539,2.55099053890449,1.06088302727077,1.06122359015335,0.000883027270772052,0.00122359015335016,1.33333333333333,1.38609959707459,2.13225559964379,2.13260795691191,2.41414141414141,2.46873508095596,2.17708105860817,2.06,2.59126315789474
10,2.05288973340687,2.41296723225152,2.1508815161528,2.03791467630539,2.55099053890449,1.06068078723553,1.06097993625148,0.000680787235526781,0.000979936251482405,1.3,1.34169821817601,2.14131612238822,2.14162697723524,2.39,2.4333298875829,2.17708105860817,2.06,2.59126315789474
11,2.05546556332103,2.38482604647801,2.1508815161528,2.03791467630539,2.55099053890449,1.0605348540213,1.06080009454468,0.000534854021299713,0.000800094544682217,1.27272727272727,1.30632707662943,2.15051454196983,2.15079136504882,2.37197300516078,2.40704004940801,2.17708105860817,2.06,2.59126315789474
12,2.05864711583683,2.36444814427969,2.1508815161528,2.03791467630539,2.55099053890449,1.06042667394449,1.06066364060206,0.000426673944488032,0.00066364060205748,1.25,1.27750924115779,2.15983322400321,2.16008162326268,2.35855263157895,2.38738907296803,2.17708105860817,2.06,2.59126315789474
13,2.06254494892148,2.34917195926071,2.1508815161528,2.03791467630539,2.55099053890449,1.06034467371503,1.06055770441135,0.00034467371502811,0.000557704411345838,1.23076923076923,1.25359222000758,2.16926157276604,2.16948586499697,2.34869535750593,2.37272484837803,2.17708105860817,2.06,2.59126315789474
14,2.06598692121205,2.3368802367659,2.1508815161528,2.03791467630539,2.55099053890449,1.06028134574529,1.06047385120597,0.000281345745294148,0.000473851205969655,1.21428571428571,1.2334328552849,2.17879310457135,2.17899668335499,2.34165613147914,2.3619046566951,2.17708105860817,2.06,2.59126315789474
15,2.07104206175328,2.32904307687092,2.1508815161528,2.03791467630539,2.55099053890449,1.06023165676764,1.06040636719669,0.000231656767644584,0.000406367196684965,1.2,1.21621597373512,2.1884238487443,2.18860943004448,2.33688888888889,2.3541138565453,2.17708105860817,2.06,2.59126315789474
16,2.07570889887009,2.32285665023966,2.1508815161528,2.03791467630539,2.55099053890449,1.06019213624128,1.06035127107098,0.000192136241276675,0.00035127107097499,1.1875,1.20134511150375,2.19815143107886,2.19832122225876,2.333984375,2.34875661450624,2.17708105860817,2.06,2.59126315789474
17,2.08109389456745,2.31919978834534,2.1508815161528,2.03791467630539,2.55099053890449,1.06016033246096,1.06030572028068,0.000160332460962032,0.000305720280679989,1.17647058823529,1.18837405882187,2.20797452671825,2.20813034595104,2.33262991295173,2.34538744420819,2.17708105860817,2.06,2.59126315789474
18,2.08656957773078,2.31647576806932,2.1508815161528,2.03791467630539,2.55099053890449,1.06013447649097,1.06026764172869,0.000134476490968316,0.000267641728687762,1.16666666666667,1.17696252300642,2.21789252198802,2.21803588456377,2.33258258258258,2.34366686035376,2.17708105860817,2.06,2.59126315789474
19,2.09285125332839,2.31578373236027,2.1508815161528,2.03791467630539,2.55099053890449,1.06011326809788,1.06023549493381,0.000113268097877706,0.000235494933807923,1.15789473684211,1.16684657038405,2.22790529898368,2.22803748094652,2.33365086925458,2.3433318114108,2.17708105860817,2.06,2.59126315789474
20,2.09913007419633,2.31587283119177,2.1508815161528,2.03791467630539,2.55099053890449,1.060095735705,1.06020811603536,9.57357049959917e-05,0.000208116035364636,1.15,1.157818415908,2.2380130946977,2.23813518060206,2.33568181818182,2.34417546091824,2.17708105860817,2.06,2.59126315789474
21,2.10649819743361,2.31771409573132,2.1508815161528,2.03791467630539,2.55099053890449,1.06008114258292,1.06018461258326,8.11425829192469e-05,0.000184612583262078,1.14285714285714,1.14971229210377,2.24821640674574,2.24832932606119,2.3385518590998,2.34603304937352,2.17708105860817,2.06,2.59126315789474
22,2.11367731691802,2.31976143776285,2.1508815161528,2.03791467630539,2.55099053890449,1.06006892267467,1.06016429106678,6.8922674671068e-05,0.000164291066782285,1.13636363636364,1.14239437039736,2.25851592898737,2.25862048424294,2.34216013344454,2.34877180974756,2.17708105860817,2.06,2.59126315789474
23,2.12172989243759,2.32310307792614,2.1508815161528,2.03791467630539,2.55099053890449,1.06005863585712,1.06014660604056,5.86358571241785e-05,0.000146606040563713,1.1304347826087,1.13575544371811,2.26891250677351,2.26900939559306,2.34642356241234,2.35228364538539,2.17708105860817,2.06,2.59126315789474
