"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
1,9.651056985405,1.1716477017724,1.18224696337694,0.1116477017724,0.1116477017724,5.55111512312578e-17,0.102160634531235,0.102160634531235,1.16216063453124,0.00948706724116477,0.0849732425348504,1.09286421609161,0.183006044882133,0.184536025869598,0.122733841000895,0.121533841000895,0.00271764604023409,0.00640000000000001,0.994567278202633,1.16216063453124,1.16570793373807,0.102160634531235,0.105707933738071,4,9.10803172656175,2.16216063453124,2.16570793373807,5,10.1080317265618,2.17708105860817,2.06,2.59126315789474
2,3.91099739528075,1.09394897328931,1.0974702838168,0.0339489732893115,0.0339489732893116,-1.17961196366423e-16,0.0245083404789635,0.0245083404789635,1.08450834047896,0.00944063281034795,0.278083013877779,1.3852008184092,0.144492057423324,0.0903849922626603,0.103965658879372,0.0595267792657443,0.00870760924401758,0.0444388796136275,0.966938967951858,1.08450834047896,1.08627770505336,0.0245083404789634,0.0262777050533649,2.5,3.75094654528043,2.09326677888434,2.09504357776367,3.51470588235294,4.77090850555472,2.17708105860817,2.06,2.59126315789474
3,2.57065662384936,1.07645388652532,1.07832163994698,0.0164538865253239,0.0164538865253238,3.81639164714898e-17,0.010443465300546,0.010443465300546,1.07044346530055,0.00601042122477789,0.365288846226535,1.57551981567494,0.122531260158223,0.059001314393681,0.0962866105350611,0.0388577586873608,0.0101102118552684,0.0574288518477003,0.925668139169501,1.07044346530055,1.07160541096892,0.0104434653005461,0.0116054109689203,2,2.54439340396463,2.08791556205414,2.08908731317119,3.0253164556962,3.57430389682509,2.17708105860817,2.06,2.59126315789474
4,2.06562716743721,1.07042938408057,1.07167338130977,0.0104293840805709,0.0104293840805709,5.20417042793042e-17,0.00562713199365091,0.00562713199365091,1.06562713199365,0.00480225208692002,0.460454045015584,1.85341024385751,0.105860655765617,0.0433094754591914,0.0849891641863608,0.0285232483981691,0.00979180768821869,0.0564659157881916,0.90388560017892,1.06562713199365,1.06648259807866,0.00562713199365095,0.00648259807865892,1.75,2.0497059431401,2.09188510401052,2.0927514446644,2.78495762711864,3.08847339156985,2.17708105860817,2.06,2.59126315789474
5,1.83040522611738,1.06892350267365,1.06987535482796,0.00892350267365116,0.00892350267365127,-1.09287578986539e-16,0.00344648537985424,0.00344648537985424,1.06344648537985,0.00547701729379692,0.613774376957286,2.58916017047737,0.0958128566139081,0.0338943720984976,0.0721373311778982,0.0223225422246541,0.00939505917291974,0.0498147889532441,0.910784425864164,1.06344648537985,1.06411717727313,0.00344648537985415,0.00411717727312944,1.6,1.78764198179206,2.09856897874802,2.09925108667352,2.64425531914894,2.83509120701406,2.17708105860817,2.06,2.59126315789474
6,1.65120027738747,1.0663073047251,1.06703842094093,0.00630730472509744,0.00630730472509744,2.60208521396521e-18,0.00228820154163162,0.00228820154163162,1.06228820154163,0.00401910318346582,0.637214049207639,2.7564463227308,0.0838851995211328,0.0276176365247018,0.0643827331581963,0.0181887381089774,0.00857750975685317,0.0461939950492189,0.889359301416276,1.06228820154163,1.0628353412897,0.00228820154163167,0.00283534128970464,1.5,1.62741122220449,2.10635418875406,2.10691301952239,2.5534188034188,2.68355248763621,2.17708105860817,2.06,2.59126315789474
7,1.53074261131408,1.06419884670037,1.06478202640614,0.00419884670037352,0.00419884670037365,-1.34441069388203e-16,0.00160558112052167,0.00160558112052167,1.06160558112052,0.00259326557985185,0.617613779426899,2.61515699624649,0.0714009626644804,0.0231342539719904,0.0554019970492327,0.0152360208834941,0.00742618590503251,0.0401659761657386,0.870524696050812,1.06160558112052,1.06206428842984,0.00160558112052156,0.00206428842983519,1.42857142857143,1.52005221334534,2.11469413685753,2.11516465637223,2.49110974862048,2.58494626175766,2.17708105860817,2.06,2.59126315789474
8,1.44818130365386,1.06296943541878,1.06345095025408,0.00296943541878414,0.00296943541878422,-7.97972798949331e-17,0.0011727623862004,0.0011727623862004,1.0611727623862,0.00179667303258374,0.605055432833559,2.53200090122665,0.0583160140440163,0.0197717170574569,0.0454409487616375,0.0130214829643816,0.00592947725339552,0.032419465797256,0.881929588263111,1.0611727623862,1.06156504643322,0.00117276238620034,0.00156504643321753,1.375,1.44341113919502,2.12336331987199,2.1237674400756,2.44665948275862,2.51713475115349,2.17708105860817,2.06,2.59126315789474
9,1.39425628736895,1.06268929023743,1.06310374898384,0.00268929023742714,0.0026892902374272,-6.0281640790194e-17,0.000883027270771983,0.000883027270771983,1.06088302727077,0.00180626296665516,0.671650438289331,3.04553474897332,0.0573317852183688,0.0171564105683753,0.0425394537517082,0.0112990645828496,0.00614225855509548,0.0312403891688586,0.861577794372139,1.06088302727077,1.06122359015335,0.000883027270772052,0.00122359015335016,1.33333333333333,1.38609959707459,2.13225559964379,2.13260795691191,2.41414141414141,2.46873508095596,2.17708105860817,2.06,2.59126315789474
10,1.34800931445702,1.06233816272424,1.0626952516639,0.00233816272423781,0.00233816272423792,-1.02782365951626e-16,0.000680787235526764,0.000680787235526764,1.06068078723553,0.00165737548871105,0.708836673996381,3.43449847796962,0.0554664524670445,0.0150641653771101,0.0460321524774614,0.00992112987762405,0.00613117119769097,0.0361110225998373,0.852063616294837,1.06068078723553,1.06097993625148,0.000680787235526781,0.000979936251482405,1.3,1.34169821817601,2.14131612238822,2.14162697723524,2.39,2.4333298875829,2.17708105860817,2.06,2.59126315789474
