"k","i","tau","sigma2","delta","w_opt","w_bag_mc","w_bag_smallhet_approx","diff_mc","diff_smallhet_approx","diff_approx_error"
1,1,0.266319322851772,3.7548908929773,-0.201042031444683,0.0159791593711063,0.0188,0.02,0.00282084062889367,0.00402084062889367,-0.0012
1,2,0.267268762693692,3.74155209879902,-0.198193711918925,0.0160361257616215,0.0212,0.02,0.00516387423837849,0.00396387423837849,0.0012
1,3,0.366234322624733,2.73049230567246,0.0987029678741993,0.021974059357484,0.0204,0.02,-0.00157405935748399,-0.00197405935748399,4e-04
1,4,0.423503837969327,2.36125368968303,0.270511513907982,0.0254102302781596,0.0192,0.02,-0.00621023027815964,-0.00541023027815964,-0.000800000000000004
1,5,0.325553203480559,3.07169454733907,-0.0233403895583228,0.0195331922088335,0.0156,0.02,-0.00393319220883355,0.000466807791166457,-0.0044
1,6,0.3776960544224,2.64763157647826,0.133088163267202,0.022661763265344,0.0132,0.02,-0.00946176326534403,-0.00266176326534403,-0.0068
1,7,0.403809082483738,2.47641780083109,0.211427247451215,0.0242285449490243,0.0216,0.02,-0.0026285449490243,-0.0042285449490243,0.0016
1,8,0.346255317449433,2.8880422901983,0.0387659523483002,0.020775319046966,0.0204,0.02,-0.000375319046966003,-0.000775319046966003,4e-04
1,9,0.375303643617026,2.66450917012796,0.125910930851078,0.0225182186170216,0.0196,0.02,-0.00291821861702156,-0.00251821861702156,-0.000400000000000003
1,10,0.42291445666988,2.36454437588683,0.268743370009639,0.0253748674001928,0.0244,0.02,-0.000974867400192776,-0.00537486740019277,0.0044
1,11,0.283946547926868,3.5217896019555,-0.148160356219397,0.0170367928756121,0.0252,0.02,0.00816320712438795,0.00296320712438795,0.0052
1,12,0.29713027206432,3.36552715767557,-0.108609183807041,0.0178278163238592,0.0192,0.02,0.00137218367614082,0.00217218367614082,-0.000800000000000003
1,13,0.211096845115123,4.73716222265019,-0.36670946465463,0.0126658107069074,0.0148,0.02,0.00213418929309261,0.00733418929309261,-0.0052
1,14,0.321941742192731,3.10615204225784,-0.0341747734218067,0.0193165045315639,0.0184,0.02,-0.000916504531563868,0.000683495468436135,-0.0016
1,15,0.321963762941714,3.10593959662794,-0.0341087111748593,0.0193178257765028,0.0192,0.02,-0.000117825776502819,0.000682174223497185,-0.000800000000000004
1,16,0.385232863553462,2.59583253301862,0.155698590660386,0.0231139718132077,0.0276,0.02,0.00448602818679228,-0.00311397181320771,0.0076
1,17,0.35051580180209,2.8529384263384,0.0515474054062717,0.0210309481081254,0.0188,0.02,-0.00223094810812543,-0.00103094810812543,-0.0012
1,18,0.342245140079991,2.92188225015051,0.0267354202399737,0.0205347084047995,0.0204,0.02,-0.000134708404799472,-0.000534708404799473,0.000400000000000001
1,19,0.349091189815634,2.86458102975366,0.047273569446902,0.020945471388938,0.0192,0.02,-0.00174547138893804,-0.000945471388938039,-0.000800000000000004
1,20,0.271788491981129,3.6793316476013,-0.184634524056612,0.0163073095188678,0.0248,0.02,0.00849269048113224,0.00369269048113224,0.0048
1,21,0.326973507403031,3.05835175437437,-0.019079477790908,0.0196184104441818,0.022,0.02,0.00238158955581816,0.00038158955581816,0.00199999999999999
1,22,0.225892668268005,4.42688117178541,-0.322321995195984,0.0135535600960803,0.0212,0.02,0.00764643990391967,0.00644643990391968,0.0012
1,23,0.275712888188062,3.6269613893345,-0.172861335435814,0.0165427732912837,0.0216,0.02,0.00505722670871629,0.00345722670871629,0.0016
1,24,0.240857990306821,4.15182406332517,-0.277426029079537,0.0144514794184093,0.0168,0.02,0.00234852058159073,0.00554852058159073,-0.0032
1,25,0.362905488040183,2.75553837832641,0.08871646412055,0.021774329282411,0.022,0.02,0.000225670717588999,-0.001774329282411,0.002
1,26,0.234115961894478,4.27138752910289,-0.297652114316566,0.0140469577136687,0.0224,0.02,0.00835304228633132,0.00595304228633132,0.0024
1,27,0.271179788002543,3.68759046301276,-0.18646063599237,0.0162707872801526,0.0224,0.02,0.00612921271984741,0.00372921271984741,0.0024
1,28,0.276870175436392,3.61180108483639,-0.169389473690825,0.0166122105261835,0.0228,0.02,0.00618778947381649,0.00338778947381649,0.0028
1,29,0.321069483578466,3.11459061401459,-0.0367915492646022,0.019264169014708,0.0208,0.02,0.00153583098529204,0.000735830985292043,0.000799999999999998
1,30,0.344745245909585,2.90069264729546,0.0342357377287557,0.0206847147545751,0.0208,0.02,0.000115285245424881,-0.000684714754575113,0.000799999999999995
1,31,0.277802563767749,3.59967880223031,-0.166592308696753,0.0166681538260649,0.0224,0.02,0.00573184617393506,0.00333184617393506,0.0024
1,32,0.300856325962067,3.32384568216153,-0.097431022113798,0.018051379557724,0.0184,0.02,0.000348620442275956,0.00194862044227596,-0.0016
1,33,0.350444144459704,2.8535217831696,0.051332433379111,0.0210266486675822,0.0212,0.02,0.000173351332417779,-0.00102664866758222,0.0012
1,34,0.327552964551919,3.05294138115332,-0.0173411063442428,0.0196531778731151,0.0208,0.02,0.00114682212688485,0.000346822126884856,0.000799999999999996
1,35,0.384070581374028,2.60368809405412,0.152211744122085,0.0230442348824417,0.0232,0.02,0.000155765117558288,-0.00304423488244171,0.0032
1,36,0.524382644330267,1.90700438088904,0.573147932990802,0.031462958659816,0.016,0.02,-0.015462958659816,-0.011462958659816,-0.004
1,37,0.29052282099006,3.44207039086342,-0.12843153702982,0.0174313692594036,0.014,0.02,-0.0034313692594036,0.0025686307405964,-0.006
1,38,0.391462420435413,2.55452362167415,0.174387261306239,0.0234877452261248,0.0188,0.02,-0.00468774522612478,-0.00348774522612478,-0.0012
1,39,0.246252897516374,4.06086592314515,-0.261241307450877,0.0147751738509825,0.0192,0.02,0.00442482614901754,0.00522482614901754,-0.000800000000000003
1,40,0.427812896227782,2.33747044284417,0.283438688683347,0.0256687737736669,0.0188,0.02,-0.00686877377366693,-0.00566877377366693,-0.0012
1,41,0.406369888300077,2.46081225206718,0.219109664900231,0.0243821932980046,0.0216,0.02,-0.00278219329800462,-0.00438219329800462,0.0016
1,42,0.331697406776384,3.01479595429625,-0.00490777967084888,0.019901844406583,0.0228,0.02,0.00289815559341697,9.81555934169776e-05,0.0028
1,43,0.319580499441261,3.12910206269891,-0.0412585016762157,0.0191748299664757,0.0164,0.02,-0.00277482996647569,0.000825170033524314,-0.0036
1,44,0.371318885861329,2.69310298526926,0.113956657583987,0.0222791331516797,0.0204,0.02,-0.00187913315167974,-0.00227913315167974,0.000399999999999999
1,45,0.450598883611951,2.21926870298504,0.351796650835854,0.0270359330167171,0.0172,0.02,-0.00983593301671708,-0.00703593301671708,-0.0028
1,46,0.309037171498791,3.2358566937114,-0.0728884855036268,0.0185422302899275,0.0224,0.02,0.00385776971007253,0.00145776971007254,0.0024
1,47,0.363693459988134,2.74956827662677,0.0910803799644011,0.021821607599288,0.0184,0.02,-0.00342160759928803,-0.00182160759928802,-0.0016
1,48,0.302784087290481,3.30268346975788,-0.0916477381285566,0.0181670452374289,0.0168,0.02,-0.00136704523742887,0.00183295476257113,-0.00320000000000001
1,49,0.365711532899917,2.73439558241568,0.0971345986997525,0.021942691973995,0.0184,0.02,-0.00354269197399505,-0.00194269197399505,-0.0016
1,50,0.334580732619786,2.98881526192481,0.00374219785935792,0.0200748439571872,0.018,0.02,-0.00207484395718716,-7.48439571871584e-05,-0.002
3,1,0.266319322851772,3.7548908929773,-0.201042031444683,0.0159791593711063,0.0163382413694058,0.0172647342660587,0.00035908199829951,0.0012855748949524,-0.000926492896652888
3,2,0.267268762693692,3.74155209879902,-0.198193711918925,0.0160361257616215,0.0200827938217175,0.0173034869126677,0.00404666806009596,0.00126736115104618,0.00277930690904977
3,3,0.366234322624733,2.73049230567246,0.0987029678741993,0.021974059357484,0.018183249641853,0.021342897522098,-0.00379080971563102,-0.000631161835386036,-0.00315964788024499
3,4,0.423503837969327,2.36125368968303,0.270511513907982,0.0254102302781596,0.0243110010707284,0.0236804287606528,-0.00109922920743119,-0.00172980151750682,0.000630572310075633
3,5,0.325553203480559,3.07169454733907,-0.0233403895583228,0.0195331922088335,0.0203191616784744,0.0196824436794786,0.000785969469640883,0.000149251470645058,0.000636717998995825
3,6,0.3776960544224,2.64763157647826,0.133088163267202,0.022661763265344,0.0204460533391922,0.0218107233097578,-0.00221570992615181,-0.000851039955586187,-0.00136466997056563
3,7,0.403809082483738,2.47641780083109,0.211427247451215,0.0242285449490243,0.0189832978788393,0.0228765611898124,-0.005245247070185,-0.00135198375921185,-0.00389326331097315
3,8,0.346255317449433,2.8880422901983,0.0387659523483002,0.020775319046966,0.020361942733453,0.0205274279231061,-0.000413376313513035,-0.000247891123859879,-0.000165485189653156
3,9,0.375303643617026,2.66450917012796,0.125910930851078,0.0225182186170216,0.0277943344306838,0.0217130738891303,0.00527611581366221,-0.000805144727891247,0.00608126054155346
3,10,0.42291445666988,2.36454437588683,0.268743370009639,0.0253748674001928,0.025030568166583,0.0236563723810835,-0.000344299233609766,-0.00171849501910925,0.00137419578549949
3,11,0.283946547926868,3.5217896019555,-0.148160356219397,0.0170367928756121,0.0177697610986436,0.0179842128405524,0.000732968223031517,0.000947419964940364,-0.000214451741908847
3,12,0.29713027206432,3.36552715767557,-0.108609183807041,0.0178278163238592,0.0190771581394417,0.0185223240298362,0.0012493418155825,0.000694507705976997,0.000554834109605497
3,13,0.211096845115123,4.73716222265019,-0.36670946465463,0.0126658107069074,0.015040369600538,0.0150107555829302,0.00237455889363062,0.00234494487602281,2.96140176078165e-05
3,14,0.321941742192731,3.10615204225784,-0.0341747734218067,0.0193165045315639,0.0211943455765268,0.019535037096302,0.00187784104496296,0.000218532564738084,0.00165930848022488
3,15,0.321963762941714,3.10593959662794,-0.0341087111748593,0.0193178257765028,0.0212330615202336,0.0195359359023829,0.00191523574373074,0.000218110125880052,0.00169712561785069
3,16,0.385232863553462,2.59583253301862,0.155698590660386,0.0231139718132077,0.0223335909859252,0.0221183481722501,-0.000780380827282545,-0.000995623640957568,0.000215242813675023
3,17,0.35051580180209,2.8529384263384,0.0515474054062717,0.0210309481081254,0.0247417172703404,0.0207013252436227,0.00371076916221497,-0.00032962286450269,0.00404039202671766
