"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
1,19.9843611108061,1.38960286093652,1.41284630874886,0.329602860936518,0.329602860936519,-5.55111512312578e-17,0.0966508526570534,0.0966508526570534,1.15665085265705,0.232952008279465,0.706765735035084,3.41024266082835,0.17896263882676,0.179490810031278,0.0992099828879596,0.0996099828879595,0.00233786227139239,0.006,0.995750579528353
2,4.40865350149741,1.09938564462479,1.10352222944588,0.0393856446247884,0.0393856446247885,-7.63278329429795e-17,0.0231865435778687,0.0231865435778687,1.08318654357787,0.0161991010469197,0.411294551637842,1.69864233936021,0.13744007434359,0.087913866137769,0.0826702491064954,0.0487885630471638,0.00845543350783736,0.0338816860593315,0.953575980205404
3,2.7719721488505,1.07920018491315,1.08131614986808,0.0192001849131547,0.0192001849131547,-1.73472347597681e-17,0.00988022275530709,0.00988022275530709,1.06988022275531,0.00931996215784758,0.485410020789028,1.94329474027713,0.110482989598753,0.0573882181732659,0.0720572288410979,0.0318480897668986,0.00869410328101751,0.0402091390741992,0.924270273041354
4,2.14268155812345,1.07087553350982,1.07221529104058,0.0108755335098176,0.0108755335098178,-1.57859836313889e-16,0.00532364650724503,0.00532364650724503,1.06532364650725,0.0055518870025726,0.51049330109284,2.04287296217301,0.0909489529197662,0.0421253941910143,0.0601915437547299,0.023377853126766,0.00796979075816819,0.0368136906279639,0.896621705708147
5,1.8463534715012,1.06799908626671,1.06897202924825,0.00799908626671164,0.00799908626671172,-8.15320033709099e-17,0.00326060769063779,0.00326060769063779,1.06326060769064,0.00473847857607385,0.592377481387234,2.45325013790512,0.0820151185479605,0.0329676998016634,0.0547531042700489,0.0182957111426864,0.00784628606058407,0.0364573931273625,0.8756290087399
6,1.65978624495044,1.06513061552469,1.06587393506147,0.00513061552468974,0.00513061552468992,-1.74339709335669e-16,0.00216479303466212,0.00216479303466212,1.06216479303466,0.00296582249002762,0.578063679836342,2.37002588355543,0.0663476385278349,0.0268625702087627,0.0429484917143308,0.0149076164866334,0.00632776067609003,0.0280408752276974,0.875732181091568
7,1.53189969223781,1.06342081881861,1.06400641741038,0.00342081881861023,0.00342081881861033,-9.80118763926896e-17,0.00151898806248155,0.00151898806248155,1.06151898806248,0.00190183075612868,0.55595775659973,2.25203798706732,0.0554183509293174,0.0225017633566909,0.0376093936609346,0.0124875488751669,0.00536305821387499,0.0251218447857676,0.857812785368388
8,1.4588484512048,1.06315468894599,1.06364930614881,0.00315468894598747,0.00315468894598761,-1.34007388519208e-16,0.00110951233917536,0.00110951233917536,1.06110951233918,0.00204517660681211,0.648297389006744,2.84331127703563,0.0564908563273779,0.019231158217637,0.0426399443889817,0.0106724981665671,0.00594158997067825,0.0319674462224146,0.826562587879673
9,1.39970725009461,1.06247245939319,1.06289400288157,0.00247245939319107,0.00247245939319113,-5.68121938382404e-17,0.000835403372650833,0.000835403372650833,1.06083540337265,0.00163705602054024,0.662116443670841,2.95959948706655,0.048185134867337,0.016687354220595,0.0306094058852483,0.00926079205987832,0.00499066629719495,0.02134861382537,0.842536464848868
10,1.35266055549539,1.06233203155106,1.06269494220599,0.0023320315510571,0.00233203155105707,3.03576608295941e-17,0.000644070654940797,0.000644070654940797,1.06064407065494,0.0016879608961163,0.723815634205788,3.62076976053421,0.0483801002193003,0.0146523110229615,0.0342188723071924,0.00813142717452731,0.00525477857193648,0.0260874451326651,0.828552763949196
