"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated"
1,2.06278293698964,5.12168868963503,2.0608107803668,2.05903342696515,2.17057549583041
2,2.06042041072302,3.5308394158688,2.0608107803668,2.05903342696515,2.17057549583041
3,2.05963281627931,3.01662213522571,2.0608107803668,2.05903342696515,2.17057549583041
4,2.0608107968706,2.76475406188752,2.0608107803668,2.05903342696515,2.17057549583041
5,2.06061516490384,2.61357689365907,2.0608107803668,2.05903342696515,2.17057549583041
6,2.06175139555511,2.5155653371119,2.0608107803668,2.05903342696515,2.17057549583041
7,2.06188382071509,2.44503083670961,2.0608107803668,2.05903342696515,2.17057549583041
8,2.0627140328,2.3934800886109,2.0608107803668,2.05903342696515,2.17057549583041
9,2.06304828868168,2.35327846528441,2.0608107803668,2.05903342696515,2.17057549583041
10,2.06423560059669,2.32226296658454,2.0608107803668,2.05903342696515,2.17057549583041
11,2.06493428148622,2.29678948417877,2.0608107803668,2.05903342696515,2.17057549583041
12,2.06578659879914,2.2759638907182,2.0608107803668,2.05903342696515,2.17057549583041
13,2.06688920806358,2.25884929741596,2.0608107803668,2.05903342696515,2.17057549583041
14,2.06803519400598,2.2444629644444,2.0608107803668,2.05903342696515,2.17057549583041
15,2.069518779186,2.2325465633986,2.0608107803668,2.05903342696515,2.17057549583041
16,2.07082208319612,2.22215528835586,2.0608107803668,2.05903342696515,2.17057549583041
17,2.07246607385447,2.21350559541538,2.0608107803668,2.05903342696515,2.17057549583041
18,2.07376889844508,2.20548234635201,2.0608107803668,2.05903342696515,2.17057549583041
19,2.0754661149483,2.1990718988065,2.0608107803668,2.05903342696515,2.17057549583041
20,2.07713166167774,2.19338093839038,2.0608107803668,2.05903342696515,2.17057549583041
21,2.07903191521434,2.18845641863415,2.0608107803668,2.05903342696515,2.17057549583041
22,2.08082134420711,2.18412114962425,2.0608107803668,2.05903342696515,2.17057549583041
23,2.08257384680927,2.1801725460288,2.0608107803668,2.05903342696515,2.17057549583041
24,2.08491621000793,2.17723153912678,2.0608107803668,2.05903342696515,2.17057549583041
25,2.08692623205103,2.17438848553368,2.0608107803668,2.05903342696515,2.17057549583041
26,2.08911776771084,2.17198823292354,2.0608107803668,2.05903342696515,2.17057549583041
27,2.09129262321087,2.16967904940986,2.0608107803668,2.05903342696515,2.17057549583041
28,2.09365426242775,2.16797843203013,2.0608107803668,2.05903342696515,2.17057549583041
29,2.09639118477975,2.16670247280306,2.0608107803668,2.05903342696515,2.17057549583041
30,2.09875955711629,2.16528454539528,2.0608107803668,2.05903342696515,2.17057549583041
31,2.1016047265507,2.16445683459343,2.0608107803668,2.05903342696515,2.17057549583041
32,2.10427545187834,2.16355643907063,2.0608107803668,2.05903342696515,2.17057549583041
33,2.10722259742205,2.16309540914525,2.0608107803668,2.05903342696515,2.17057549583041
34,2.11033268863457,2.16283090438878,2.0608107803668,2.05903342696515,2.17057549583041
35,2.11326552393672,2.1624082428344,2.0608107803668,2.05903342696515,2.17057549583041
36,2.11621254009712,2.16212804419626,2.0608107803668,2.05903342696515,2.17057549583041
37,2.11951549081973,2.16215763586189,2.0608107803668,2.05903342696515,2.17057549583041
38,2.12302674342302,2.16242143539469,2.0608107803668,2.05903342696515,2.17057549583041
39,2.12622754921416,2.16246431035316,2.0608107803668,2.05903342696515,2.17057549583041
40,2.12986792286109,2.16289375343007,2.0608107803668,2.05903342696515,2.17057549583041
41,2.13376057654941,2.16360071573656,2.0608107803668,2.05903342696515,2.17057549583041
42,2.13728887724461,2.1639666232972,2.0608107803668,2.05903342696515,2.17057549583041
43,2.14111118370891,2.16454954645074,2.0608107803668,2.05903342696515,2.17057549583041
44,2.1448286720358,2.16504413466001,2.0608107803668,2.05903342696515,2.17057549583041
45,2.14898052547327,2.16592298397652,2.0608107803668,2.05903342696515,2.17057549583041
46,2.15312164387055,2.16675925092444,2.0608107803668,2.05903342696515,2.17057549583041
47,2.15728533657112,2.1675691794409,2.0608107803668,2.05903342696515,2.17057549583041
48,2.16156588810722,2.16849716959284,2.0608107803668,2.05903342696515,2.17057549583041
49,2.16605582303668,2.16954373501179,2.0608107803668,2.05903342696515,2.17057549583041
50,2.1705754958304,2.1705754958304,2.0608107803668,2.05903342696515,2.17057549583041
