"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated"
1,2.37949467402257,20.2468166609202,2.35464614518564,2.04814988075652,2.21404059200229
2,2.09546605588549,5.90069469696073,2.35464614518564,2.04814988075652,2.21404059200229
3,2.06568618772798,3.7935637701611,2.35464614518564,2.04814988075652,2.21404059200229
4,2.0575285861458,3.13075369396564,2.35464614518564,2.04814988075652,2.21404059200229
5,2.05470805907147,2.82203648762896,2.35464614518564,2.04814988075652,2.21404059200229
6,2.05355919004609,2.65105767378472,2.35464614518564,2.04814988075652,2.21404059200229
7,2.05351606064492,2.54097571997253,2.35464614518564,2.04814988075652,2.21404059200229
8,2.05281276249048,2.46279087467519,2.35464614518564,2.04814988075652,2.21404059200229
9,2.05313185532805,2.40639362090532,2.35464614518564,2.04814988075652,2.21404059200229
10,2.05350626059006,2.36425890719844,2.35464614518564,2.04814988075652,2.21404059200229
11,2.05489391245885,2.33141891969834,2.35464614518564,2.04814988075652,2.21404059200229
12,2.05524362604021,2.30456926843823,2.35464614518564,2.04814988075652,2.21404059200229
13,2.05665644669436,2.28359160394118,2.35464614518564,2.04814988075652,2.21404059200229
14,2.05843022537346,2.26662602434582,2.35464614518564,2.04814988075652,2.21404059200229
15,2.05951488374099,2.25190927171612,2.35464614518564,2.04814988075652,2.21404059200229
16,2.06168004608563,2.24046616298708,2.35464614518564,2.04814988075652,2.21404059200229
17,2.06338938740195,2.23030782723367,2.35464614518564,2.04814988075652,2.21404059200229
18,2.06523580639809,2.22192933457949,2.35464614518564,2.04814988075652,2.21404059200229
19,2.0673886411873,2.21486985245583,2.35464614518564,2.04814988075652,2.21404059200229
20,2.07000177197061,2.20928504147671,2.35464614518564,2.04814988075652,2.21404059200229
21,2.07243041537484,2.20435933623387,2.35464614518564,2.04814988075652,2.21404059200229
22,2.07505573706521,2.20015609712642,2.35464614518564,2.04814988075652,2.21404059200229
23,2.07784386156312,2.196861443565,2.35464614518564,2.04814988075652,2.21404059200229
24,2.08068979294328,2.19385751319766,2.35464614518564,2.04814988075652,2.21404059200229
25,2.08342040981479,2.19122320932986,2.35464614518564,2.04814988075652,2.21404059200229
26,2.08708774314051,2.18988923474342,2.35464614518564,2.04814988075652,2.21404059200229
27,2.09032405559461,2.18849378370563,2.35464614518564,2.04814988075652,2.21404059200229
28,2.09393073936859,2.18741867769572,2.35464614518564,2.04814988075652,2.21404059200229
29,2.09761323454117,2.18678099588835,2.35464614518564,2.04814988075652,2.21404059200229
30,2.10151756401266,2.18642794486031,2.35464614518564,2.04814988075652,2.21404059200229
31,2.10527061613981,2.18607881397931,2.35464614518564,2.04814988075652,2.21404059200229
32,2.10962437009396,2.18641463009541,2.35464614518564,2.04814988075652,2.21404059200229
33,2.11387486338059,2.18665210296364,2.35464614518564,2.04814988075652,2.21404059200229
34,2.11844613078926,2.18729135260053,2.35464614518564,2.04814988075652,2.21404059200229
35,2.12307272498175,2.18794802436179,2.35464614518564,2.04814988075652,2.21404059200229
36,2.12761378863915,2.18862896729529,2.35464614518564,2.04814988075652,2.21404059200229
37,2.13267796496912,2.18978481947796,2.35464614518564,2.04814988075652,2.21404059200229
38,2.13793668630038,2.19101396679365,2.35464614518564,2.04814988075652,2.21404059200229
39,2.14328700660946,2.19246288120574,2.35464614518564,2.04814988075652,2.21404059200229
40,2.14877138587531,2.19386294596765,2.35464614518564,2.04814988075652,2.21404059200229
41,2.15450848898036,2.19551492670704,2.35464614518564,2.04814988075652,2.21404059200229
42,2.16021541219932,2.19709405806696,2.35464614518564,2.04814988075652,2.21404059200229
43,2.1661960893316,2.19882984019092,2.35464614518564,2.04814988075652,2.21404059200229
44,2.17268329313444,2.20095831732775,2.35464614518564,2.04814988075652,2.21404059200229
45,2.17891783021953,2.20278716874332,2.35464614518564,2.04814988075652,2.21404059200229
46,2.18551106280229,2.20485451965357,2.35464614518564,2.04814988075652,2.21404059200229
47,2.19248326306967,2.20714764784041,2.35464614518564,2.04814988075652,2.21404059200229
48,2.1995480124548,2.20945166936511,2.35464614518564,2.04814988075652,2.21404059200229
49,2.20662760315486,2.21167402410396,2.35464614518564,2.04814988075652,2.21404059200229
50,2.21404059200225,2.21404059200225,2.35464614518564,2.04814988075652,2.21404059200229
