"sigma_type","m","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"factor",50,200,2,1.11620528786084,1.0990526174859,0.984633050424076,1.15842244001921,1.16520159453914
"factor",50,200,4,1.11620528786084,1.07099599676,0.959497332979418,1.07251972757534,1.09156966113272
"factor",50,200,6,1.11620528786084,1.05662139535295,0.946619234691066,1.01666339522201,1.04711741877338
"factor",50,200,8,1.11620528786084,1.04836449657958,0.939221940606215,0.97528172829491,1.01667542135451
"factor",50,200,10,1.11620528786084,1.04382835916317,0.93515804889585,0.942420821789895,0.994477672995152
"factor",50,200,12,1.11620528786084,1.04150006827931,0.933072150442234,0.915295836657702,0.977856420195479
"factor",50,200,14,1.11620528786084,1.0412034870699,0.932806445546703,0.892233418489271,0.965211869716562
"factor",50,200,16,1.11620528786084,1.04217332355199,0.933675314824273,0.872103190726942,0.955457435854511
"factor",50,200,18,1.11620528786084,1.04396784439066,0.93528301267178,0.854205236473607,0.947928618986238
"factor",50,200,20,1.11620528786084,1.04712968159177,0.938115679059851,0.838041356385809,0.942152268787975
"factor",50,200,22,1.11620528786084,1.05096041947773,0.941547608587171,0.823292221345833,0.937834192016676
"factor",50,200,24,1.11620528786084,1.05576112571337,0.945848525531256,0.809737315317789,0.93477903832705
"factor",50,200,26,1.11620528786084,1.06145810689809,0.95095240852364,0.797162903380076,0.932788534668507
"factor",50,200,28,1.11620528786084,1.06786011271063,0.956687917826599,0.78547390950604,0.931793421529209
"factor",50,200,30,1.11620528786084,1.07509561821277,0.96317015329066,0.774653741600841,0.931816415692967
"factor",50,200,32,1.11620528786084,1.08346541191702,0.970668589102851,0.764623528052166,0.93280491348248
"factor",50,200,34,1.11620528786084,1.09264508913461,0.9788925935198,0.755390416133797,0.934809612979066
"factor",50,200,36,1.11620528786084,1.10323369647433,0.988378847934532,0.746948755075175,0.937868896909717
"factor",50,200,38,1.11620528786084,1.1149122488372,0.998841575973789,0.739337123875537,0.94207932687468
"factor",50,200,40,1.11620528786084,1.12788969685785,1.01046797495414,0.732598741165406,0.947549666159918
"factor",50,200,42,1.11620528786084,1.14239827045605,1.02346609793025,0.726799836738815,0.954425841594648
"factor",50,200,44,1.11620528786084,1.15863090754424,1.0380087965402,0.722037520107758,0.962904992239147
"factor",50,200,46,1.11620528786084,1.17683976891998,1.05432197976355,0.718415500167032,0.973204878895327
"factor",50,200,48,1.11620528786084,1.19735965269433,1.07270559073324,0.716093213706283,0.985635666894356
"factor",50,200,50,1.11620528786084,1.22038577869653,1.09333452543963,0.715252467950591,1.00055945497163
