"sigma_type","m","T_len","kz_factor","best_z_rmsfe","best_z_L_bag","rel_rmsfe_best","min_rmsfe_rs","rmsfe_base"
"toeplitz",20,200,1.1124,8,12,0.940865193376184,1.01490761298287,1.07869609815301
"toeplitz",30,200,1.1786,8,16,0.916884374076883,1.02398039531372,1.11680428226805
"toeplitz",50,200,1.3378,12,26,0.897129361854088,1.02497563697048,1.14250595349167
"toeplitz",80,200,1.678,17,44,0.895807659710022,1.03234178490962,1.15241455430711
"toeplitz",120,200,2.5385,22,82,0.890235353337976,1.04039024501562,1.16866875833973
"factor",20,200,1.1124,8,14,0.961672361315703,1.04781987942883,1.08958094417444
"factor",30,200,1.1786,10,20,0.960422588014894,1.04818006828641,1.09137381957343
"factor",50,200,1.3378,14,28,0.932806445546703,1.0412034870699,1.11620528786084
"factor",80,200,1.678,20,47,0.941108625421086,1.0460008838431,1.11145605893803
"factor",120,200,2.5385,18,82,0.934800996970784,1.03428609250065,1.10642382266626
