"sigma_type","m","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"toeplitz",20,200,2,1.07869609815301,1.05104600597011,0.974367115788916,1.08171594907963,1.08804728929846
"toeplitz",20,200,4,1.07869609815301,1.0225145171634,0.947917137101165,1.00256850448766,1.02038055992224
"toeplitz",20,200,6,1.07869609815301,1.01508386899187,0.941028590656752,0.966596639578893,0.99556073059286
"toeplitz",20,200,8,1.07869609815301,1.01490761298287,0.940865193376184,0.944574288850886,0.984680767224982
"toeplitz",20,200,10,1.07869609815301,1.01764189551672,0.943399996773113,0.928264313210184,0.979562212591029
"toeplitz",20,200,12,1.07869609815301,1.02228604842787,0.947705336265025,0.91535976905403,0.977955780796711
"toeplitz",20,200,14,1.07869609815301,1.0285590206727,0.953520664841415,0.905150943761475,0.979226712203901
"toeplitz",20,200,16,1.07869609815301,1.03650936923164,0.960890997016112,0.897468062469347,0.983299579992626
"toeplitz",20,200,18,1.07869609815301,1.04654373505611,0.970193307316159,0.892480226813578,0.990471740448496
"toeplitz",20,200,20,1.07869609815301,1.05914231742085,0.98187276215642,0.890641318014701,1.00137657354573
