T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
500,0.000000,0.300000,0.3,0.7,0.0,2,1.084283,1.080873,0.996855,1.098731,1.095255,0.000021,1.207189,0.000021,1.199563,0.918730,1.210547,1.271047,1.010801,1.213023,1.273646
500,0.000000,0.300000,0.3,0.7,0.0,3,1.084283,1.076779,0.993079,1.098731,1.091066,0.000021,1.207189,0.000020,1.190405,0.918730,1.193827,1.245316,1.010801,1.198710,1.250410
500,0.000000,0.300000,0.3,0.7,0.0,4,1.084283,1.072536,0.989167,1.098731,1.086719,0.000021,1.207189,0.000020,1.180939,0.918730,1.176991,1.227687,1.010801,1.184213,1.235219
500,0.000000,0.300000,0.3,0.7,0.0,5,1.084283,1.068423,0.985373,1.098731,1.082546,0.000021,1.207189,0.000019,1.171887,0.918730,1.160732,1.213365,1.010801,1.170228,1.223292
500,0.000000,0.300000,0.3,0.7,0.0,6,1.084283,1.064820,0.982050,1.098731,1.078867,0.000021,1.207189,0.000017,1.163937,0.918730,1.145271,1.200819,1.010801,1.156983,1.213099
500,0.000000,0.300000,0.3,0.7,0.0,7,1.084283,1.061193,0.978705,1.098731,1.075172,0.000021,1.207189,0.000017,1.155979,0.918730,1.130649,1.189381,1.010801,1.144524,1.203977
500,0.000000,0.300000,0.3,0.7,0.0,8,1.084283,1.058078,0.975833,1.098731,1.072036,0.000021,1.207189,0.000018,1.149243,0.918730,1.116831,1.178704,1.010801,1.132820,1.195579
500,0.000000,0.300000,0.3,0.7,0.0,9,1.084283,1.055019,0.973011,1.098731,1.068892,0.000021,1.207189,0.000016,1.142514,0.918730,1.103824,1.168608,1.010801,1.121885,1.187729
500,0.000000,0.300000,0.3,0.7,0.0,10,1.084283,1.052432,0.970626,1.098731,1.066273,0.000021,1.207189,0.000016,1.136922,0.918730,1.091540,1.158959,1.010801,1.111632,1.180292
500,0.000000,0.300000,0.3,0.7,0.0,11,1.084283,1.049895,0.968285,1.098731,1.063643,0.000021,1.207189,0.000015,1.131321,0.918730,1.080051,1.149750,1.010801,1.102141,1.173265
500,0.000000,0.300000,0.3,0.7,0.0,12,1.084283,1.047832,0.966383,1.098731,1.061589,0.000021,1.207189,0.000014,1.126957,0.918730,1.069187,1.140846,1.010801,1.093241,1.166512
500,0.000000,0.300000,0.3,0.7,0.0,13,1.084283,1.045878,0.964581,1.098731,1.059576,0.000021,1.207189,0.000014,1.122688,0.918730,1.058952,1.132235,1.010801,1.084942,1.160024
500,0.000000,0.300000,0.3,0.7,0.0,14,1.084283,1.044253,0.963082,1.098731,1.057938,0.000021,1.207189,0.000015,1.119217,0.918730,1.049306,1.123891,1.010801,1.077205,1.153773
500,0.000000,0.300000,0.3,0.7,0.0,15,1.084283,1.042706,0.961655,1.098731,1.056335,0.000021,1.207189,0.000013,1.115830,0.918730,1.040191,1.115771,1.010801,1.069975,1.147719
500,0.000000,0.300000,0.3,0.7,0.0,16,1.084283,1.041255,0.960317,1.098731,1.054877,0.000021,1.207189,0.000014,1.112751,0.918730,1.031641,1.107910,1.010801,1.063291,1.141899
500,0.000000,0.300000,0.3,0.7,0.0,17,1.084283,1.040157,0.959305,1.098731,1.053727,0.000021,1.207189,0.000012,1.110329,0.918730,1.023570,1.100240,1.010801,1.057065,1.136244
500,0.000000,0.300000,0.3,0.7,0.0,18,1.084283,1.039175,0.958399,1.098731,1.052725,0.000021,1.207189,0.000012,1.108219,0.918730,1.015952,1.092774,1.010801,1.051276,1.130768
500,0.000000,0.300000,0.3,0.7,0.0,19,1.084283,1.038336,0.957625,1.098731,1.051891,0.000021,1.207189,0.000011,1.106463,0.918730,1.008763,1.085475,1.010801,1.045900,1.125436
500,0.000000,0.300000,0.3,0.7,0.0,20,1.084283,1.037686,0.957025,1.098731,1.051214,0.000021,1.207189,0.000012,1.105039,0.918730,1.001972,1.078346,1.010801,1.040908,1.120250
500,0.000000,0.300000,0.3,0.7,0.0,21,1.084283,1.037254,0.956627,1.098731,1.050746,0.000021,1.207189,0.000010,1.104057,0.918730,0.995613,1.071426,1.010801,1.036338,1.115252
500,0.000000,0.300000,0.3,0.7,0.0,22,1.084283,1.036771,0.956182,1.098731,1.050245,0.000021,1.207189,0.000011,1.103004,0.918730,0.989570,1.064617,1.010801,1.032072,1.110342
500,0.000000,0.300000,0.3,0.7,0.0,23,1.084283,1.036674,0.956092,1.098731,1.050165,0.000021,1.207189,0.000011,1.102836,0.918730,0.983895,1.057974,1.010801,1.028166,1.105578
500,0.000000,0.300000,0.3,0.7,0.0,24,1.084283,1.036551,0.955979,1.098731,1.050010,0.000021,1.207189,0.000008,1.102513,0.918730,0.978537,1.051475,1.010801,1.024567,1.100937
500,0.000000,0.300000,0.3,0.7,0.0,25,1.084283,1.036673,0.956091,1.098731,1.050137,0.000021,1.207189,0.000009,1.102780,0.918730,0.973498,1.045122,1.010801,1.021283,1.096423
500,0.000000,0.300000,0.3,0.7,0.0,26,1.084283,1.036848,0.956252,1.098731,1.050282,0.000021,1.207189,0.000008,1.103084,0.918730,0.968738,1.038881,1.010801,1.018270,1.092000
500,0.000000,0.300000,0.3,0.7,0.0,27,1.084283,1.037255,0.956628,1.098731,1.050660,0.000021,1.207189,0.000009,1.103877,0.918730,0.964270,1.032781,1.010801,1.015545,1.087700
500,0.000000,0.300000,0.3,0.7,0.0,28,1.084283,1.037596,0.956942,1.098731,1.051045,0.000021,1.207189,0.000008,1.104688,0.918730,0.960067,1.026801,1.010801,1.013083,1.083502
500,0.000000,0.300000,0.3,0.7,0.0,29,1.084283,1.038405,0.957689,1.098731,1.051796,0.000021,1.207189,0.000007,1.106268,0.918730,0.956107,1.020926,1.010801,1.010860,1.079390
500,0.000000,0.300000,0.3,0.7,0.0,30,1.084283,1.038990,0.958228,1.098731,1.052384,0.000021,1.207189,0.000007,1.107504,0.918730,0.952398,1.015172,1.010801,1.008886,1.075383
500,0.000000,0.300000,0.3,0.7,0.0,31,1.084283,1.039848,0.959020,1.098731,1.053273,0.000021,1.207189,0.000007,1.109377,0.918730,0.948929,1.009536,1.010801,1.007152,1.071478
500,0.000000,0.300000,0.3,0.7,0.0,32,1.084283,1.040527,0.959646,1.098731,1.053940,0.000021,1.207189,0.000007,1.110782,0.918730,0.945669,1.003987,1.010801,1.005626,1.067641
500,0.000000,0.300000,0.3,0.7,0.0,33,1.084283,1.041536,0.960576,1.098731,1.054970,0.000021,1.207189,0.000006,1.112956,0.918730,0.942638,0.998559,1.010801,1.004330,1.063912
500,0.000000,0.300000,0.3,0.7,0.0,34,1.084283,1.042774,0.961717,1.098731,1.056216,0.000021,1.207189,0.000005,1.115587,0.918730,0.939816,0.993233,1.010801,1.003246,1.060268
500,0.000000,0.300000,0.3,0.7,0.0,35,1.084283,1.044207,0.963039,1.098731,1.057640,0.000021,1.207189,0.000006,1.118597,0.918730,0.937166,0.987952,1.010801,1.002334,1.056652
500,0.000000,0.300000,0.3,0.7,0.0,36,1.084283,1.045151,0.963910,1.098731,1.058589,0.000021,1.207189,0.000005,1.120606,0.918730,0.934734,0.982802,1.010801,1.001645,1.053154
500,0.000000,0.300000,0.3,0.7,0.0,37,1.084283,1.046680,0.965320,1.098731,1.060137,0.000021,1.207189,0.000005,1.123885,0.918730,0.932489,0.977743,1.010801,1.001146,1.049732
500,0.000000,0.300000,0.3,0.7,0.0,38,1.084283,1.048339,0.966850,1.098731,1.061809,0.000021,1.207189,0.000004,1.127435,0.918730,0.930420,0.972756,1.010801,1.000828,1.046367
500,0.000000,0.300000,0.3,0.7,0.0,39,1.084283,1.050092,0.968467,1.098731,1.063564,0.000021,1.207189,0.000004,1.131164,0.918730,0.928535,0.967865,1.010801,1.000699,1.043086
500,0.000000,0.300000,0.3,0.7,0.0,40,1.084283,1.051847,0.970086,1.098731,1.065333,0.000021,1.207189,0.000003,1.134932,0.918730,0.926820,0.963040,1.010801,1.000746,1.039855
500,0.000000,0.300000,0.3,0.7,0.0,41,1.084283,1.053491,0.971602,1.098731,1.067009,0.000021,1.207189,0.000004,1.138505,0.918730,0.925279,0.958307,1.010801,1.000975,1.036705
500,0.000000,0.300000,0.3,0.7,0.0,42,1.084283,1.055330,0.973297,1.098731,1.068851,0.000021,1.207189,0.000003,1.142440,0.918730,0.923901,0.953637,1.010801,1.001374,1.033603
500,0.000000,0.300000,0.3,0.7,0.0,43,1.084283,1.057494,0.975294,1.098731,1.071035,0.000021,1.207189,0.000002,1.147113,0.918730,0.922691,0.949042,1.010801,1.001949,1.030564
500,0.000000,0.300000,0.3,0.7,0.0,44,1.084283,1.059572,0.977210,1.098731,1.073142,0.000021,1.207189,0.000002,1.151632,0.918730,0.921641,0.944505,1.010801,1.002694,1.027568
500,0.000000,0.300000,0.3,0.7,0.0,45,1.084283,1.061769,0.979236,1.098731,1.075368,0.000021,1.207189,0.000002,1.156415,0.918730,0.920758,0.940058,1.010801,1.003616,1.024653
500,0.000000,0.300000,0.3,0.7,0.0,46,1.084283,1.064118,0.981403,1.098731,1.077739,0.000021,1.207189,0.000002,1.161519,0.918730,0.920032,0.935670,1.010801,1.004707,1.021784
