"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","theory_L_subset_leading","theory_L_bagged_interp","theory_L_bagged_mc_infinite","theory_L_bagged_mc_finiteB"
2,1.30598954471009,3.48720762354453,1.42889280222867,1.48941957427921,1.24206761263242,2.20526315789474,1.31663633649095,1.26214211433329,1.31449904593983
5,1.25309020728073,1.73464034400636,1.42889280222867,1.48941957427921,1.24206761263242,1.61542168674699,1.27591972373788,1.24756126485616,1.25729396795546
8,1.25454858013031,1.52770594653838,1.42889280222867,1.48941957427921,1.24206761263242,1.4746359223301,1.27256033865466,1.25506721113541,1.26023752678133
11,1.25617729239015,1.44544664390144,1.42889280222867,1.48941957427921,1.24206761263242,1.41560346743721,1.27610231732728,1.26383173989507,1.26719879644094
14,1.25617539620671,1.40738741339902,1.42889280222867,1.48941957427921,1.24206761263242,1.38585503166784,1.28219735663355,1.27303026419655,1.27548589984549
17,1.26257834179554,1.39118279743048,1.42889280222867,1.48941957427921,1.24206761263242,1.36996058969494,1.28956870888261,1.28243108384711,1.28431696185145
20,1.26805670207906,1.38494177047809,1.42889280222867,1.48941957427921,1.24206761263242,1.36175,1.29770758425055,1.29204966593492,1.29354657614927
23,1.27457257274454,1.37886060572389,1.42889280222867,1.48941957427921,1.24206761263242,1.3582740116088,1.30637237142198,1.30176995514713,1.30296507270717
26,1.28443639393651,1.38063443085039,1.42889280222867,1.48941957427921,1.24206761263242,1.35794611479891,1.31543455416866,1.31163315068332,1.31260213960354
29,1.29492740329249,1.38485123234876,1.42889280222867,1.48941957427921,1.24206761263242,1.35983772819473,1.3248202683088,1.32168615028745,1.32247900787605
32,1.3056111702725,1.38925098145576,1.42889280222867,1.48941957427921,1.24206761263242,1.36336984536082,1.33448473516455,1.33189366510495,1.33254850487532
35,1.31943905345723,1.39799164415797,1.42889280222867,1.48941957427921,1.24206761263242,1.36816326530612,1.34439984573304,1.34227869106501,1.34281337711315
38,1.32947603891946,1.40029599204083,1.42889280222867,1.48941957427921,1.24206761263242,1.37395976853128,1.35454762818286,1.3528088114483,1.35324022100612
41,1.3492847743428,1.41460991364256,1.42889280222867,1.48941957427921,1.24206761263242,1.38057790076581,1.36491658537564,1.36351436812165,1.3638651032965
44,1.36228856850863,1.42163846150504,1.42889280222867,1.48941957427921,1.24206761263242,1.38788684719536,1.37549953273705,1.3743882048915,1.37466731001796
47,1.38275816593404,1.43361377393672,1.42889280222867,1.48941957427921,1.24206761263242,1.39579031430038,1.38629226621707,1.38544061627029,1.38565491011598
50,1.40319032292893,1.44456297155801,1.42889280222867,1.48941957427921,1.24206761263242,1.40421621621622,1.39729271181087,1.39667115892995,1.39682263319375
53,1.42458078430028,1.45651312595046,1.42889280222867,1.48941957427921,1.24206761263242,1.41310986581667,1.40850036594266,1.40808577145611,1.40818803768346
56,1.45242319023145,1.47072083963583,1.42889280222867,1.48941957427921,1.24206761263242,1.42242935635793,1.41991591774924,1.41968977201161,1.41974565641305
59,1.47966778429439,1.48476704382151,1.42889280222867,1.48941957427921,1.24206761263242,1.43214235410113,1.43154098863093,1.43148717174178,1.43150038205654
