"k","Q_subset_mc","Q_subset_delta","Q_subset_leading","Q_bagged_infinite_mc","Q_bagged_finiteB_mc","Q_bagged_interp","Q_ave","Q_opt","D_bag"
2,2.87072857844371,1.76300272938343,1.2,0.259129841984046,0.311361816713239,0.313494006332262,0.396418840469084,0.233333333333333,0.165849668273645
5,0.717640845407523,0.685421103768521,0.6,0.2356513721129,0.245291161578792,0.263739105850168,0.396418840469084,0.233333333333333,0.165849668273645
8,0.488296404042215,0.481547566732692,0.45,0.234099501164174,0.239183439221735,0.251300380729645,0.396418840469084,0.233333333333333,0.165849668273645
11,0.398003551265123,0.397541826012988,0.381818181818182,0.233668691210225,0.236955388411323,0.245646414765771,0.396418840469084,0.233333333333333,0.165849668273645
14,0.35250522896722,0.351969783797198,0.342857142857143,0.233532905164198,0.235912351640258,0.242415577072128,0.396418840469084,0.233333333333333,0.165849668273645
17,0.324153146963628,0.323424201733322,0.317647058823529,0.233459968473475,0.235273832043278,0.240325035035065,0.396418840469084,0.233333333333333,0.165849668273645
20,0.304911863152645,0.303882777444024,0.3,0.233460301608511,0.234889332839394,0.238861655609121,0.396418840469084,0.233333333333333,0.165849668273645
23,0.290037603246351,0.289672263996765,0.28695652173913,0.23341926537807,0.234551632135435,0.237780027337772,0.396418840469084,0.233333333333333,0.165849668273645
26,0.278932083764751,0.27887595315232,0.276923076923077,0.233373416155679,0.234284589507861,0.236948005590579,0.396418840469084,0.233333333333333,0.165849668273645
29,0.270357161382793,0.270396743171994,0.268965517241379,0.233363448120272,0.234103322385522,0.236288126273841,0.396418840469084,0.233333333333333,0.165849668273645
32,0.26367215657715,0.26356169695735,0.2625,0.233352606350168,0.233958997354707,0.235751974328991,0.396418840469084,0.233333333333333,0.165849668273645
35,0.257923633619974,0.257935260702862,0.257142857142857,0.233358701813907,0.233850000450029,0.235307734146115,0.396418840469084,0.233333333333333,0.165849668273645
38,0.253014053765131,0.253223137837732,0.252631578947368,0.233348367477926,0.23374168120367,0.234933637150009,0.396418840469084,0.233333333333333,0.165849668273645
41,0.249208537187153,0.249219350216755,0.248780487804878,0.23334593202412,0.23366318412738,0.234614286055772,0.396418840469084,0.233333333333333,0.165849668273645
44,0.245864299323669,0.245775436152399,0.245454545454545,0.233341205344164,0.233591667223754,0.234338482838022,0.396418840469084,0.233333333333333,0.165849668273645
47,0.242878114775637,0.24278169355714,0.242553191489362,0.233339737157085,0.233530504709456,0.234097888541687,0.396418840469084,0.233333333333333,0.165849668273645
50,0.240025304735733,0.240155311097761,0.24,0.233337300248408,0.233471060338155,0.233886165560912,0.396418840469084,0.233333333333333,0.165849668273645
53,0.237813993786157,0.237832607483475,0.237735849056604,0.233335269986613,0.233424844462604,0.23369841121947,0.396418840469084,0.233333333333333,0.165849668273645
56,0.235761749685857,0.235763810936786,0.235714285714286,0.233334312678346,0.233382861418496,0.233530773414611,0.396418840469084,0.233333333333333,0.165849668273645
59,0.23390290019154,0.233909459285964,0.233898305084746,0.233333816226211,0.233345197905517,0.233380183522111,0.396418840469084,0.233333333333333,0.165849668273645
