"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","factor_pca","scenario","theory_L_subset_BF","theory_L_bagged_interp","theory_L_bagged_mc_infinite","theory_L_bagged_mc_finiteB"
2,1.23253138710665,5.34895136682267,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",2.67462308210265,1.16375613749661,1.15276292142519,1.23424480825656
5,1.14592724683517,2.37160134244111,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.71862790848039,1.13044070109847,1.11972780149718,1.14454111626589
8,1.12769298616266,1.81632124152722,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.50135161537525,1.14437539934603,1.1358136068524,1.14851267217497
11,1.12252286261066,1.5805994219709,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.4196922830494,1.16823795871265,1.1622211604132,1.17047572603567
14,1.12754545542162,1.50293747436405,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.38760852249072,1.19681554392108,1.19128231578171,1.19711145728357
17,1.14425747357269,1.4614702152352,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.37990351078025,1.22868716268493,1.22325299004856,1.22762644893375
20,1.15219126514015,1.441834579051,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.38660552368811,1.26339408827187,1.25822083998424,1.26162376981529
23,1.16447121514661,1.43631031488806,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.40305291231565,1.30082704223494,1.29605616405539,1.29878944084478
26,1.18968048731842,1.45532812976767,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.42684576406556,1.34104013335048,1.33682873921571,1.33906263863003
29,1.2185953494504,1.47813005162579,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.45669232564465,1.38418303925388,1.38053845831946,1.38238446362955
32,1.24255529096002,1.49769927422368,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.49190733216485,1.43047443013971,1.42717214364514,1.42871021424623
35,1.28281673674882,1.54012856499425,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.53217178063066,1.48019258822045,1.47736363344648,1.47865209880972
38,1.33126666647329,1.58437203162551,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.57741047733512,1.53367455219456,1.53118239724824,1.53224534596708
41,1.38240051493718,1.62738057574071,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.6277280170967,1.5913204258477,1.58919822423712,1.59007770042165
44,1.43701644512934,1.67446239421413,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.68337650938284,1.65360161902007,1.65180351183553,1.65250838510497
47,1.51878756548469,1.74101353729554,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.74474236297762,1.72107279763495,1.71964346421468,1.72020427813412
50,1.60566073476699,1.80285567781107,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.81234601353606,1.79438792096227,1.79329261444424,1.79371383600901
53,1.71642670027571,1.87459998946753,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.88685188605357,1.87432122727411,1.87354912307635,1.87383820325029
56,1.82722917353633,1.93498161138149,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",1.96908790384381,1.96179454038303,1.96134946343737,1.96151033884257
59,1.98513634984639,2.01686098640402,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,"easy",2.0600753118578,2.05791291675888,2.05780133774603,2.057841544031
