"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","factor_pca","scenario","theory_L_subset_BF","theory_L_bagged_interp","theory_L_bagged_mc_infinite","theory_L_bagged_mc_finiteB"
2,2.12811573644577,4.66122167019633,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",77.3005626832014,1.98291325622048,2.10436224657624,2.15373976403442
5,2.04128275901822,2.80974753684823,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",32.347709205627,1.91557121448801,2.10921073641,2.1239553804354
8,2.03453321122796,2.54932221791003,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",21.157291063879,1.93631625914418,2.1322363778051,2.14093259754361
11,2.02026659471683,2.47213397935412,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",16.108367634058,1.97533385158946,2.15733483811714,2.16383330222781
14,2.01471145977237,2.45198770090601,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",13.2553455480024,2.02285121827381,2.18469358641813,2.19006991649755
17,2.01710543752087,2.44918974734222,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",11.4379970264052,2.07618339679092,2.22038117947873,2.22507924412534
20,2.01768164000661,2.45735417993028,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",10.1924663966178,2.13444152382174,2.25849671473281,2.26279245882816
23,2.03455201835527,2.48717984769901,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",9.29714603013695,2.19738635925865,2.305542110046,2.30948163228802
26,2.08261203344517,2.55058547518691,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",8.63295122472813,2.26507974114919,2.35594882823482,2.35965511548839
29,2.11865911376419,2.59449890591515,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",8.13032693946023,2.33775703191785,2.41222247862188,2.41568972246455
32,2.14929272977526,2.64230439946004,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",7.74606988396148,2.41577653661001,2.47579453582621,2.4790428374513
35,2.21361192781394,2.70823229576713,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",7.45207824982707,2.49960088973323,2.5479341884211,2.55096835803044
38,2.29016457453286,2.78174347714533,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",7.22943927895877,2.58979414852982,2.6280884446948,2.63091449611683
41,2.38355675695542,2.86636608068237,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",7.06512281359541,2.68702824534779,2.71489308028286,2.71743165705951
44,2.50811349551692,2.97520992695902,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",6.9500397108958,2.79209641344021,2.8118580394007,2.81409623684506
47,2.59535731314502,3.0484968663177,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",6.87785858153178,2.90593305928495,2.9188615300832,2.92079743447284
50,2.78258380587078,3.17699168630157,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",6.84426651235301,3.02964064179121,3.03629868222674,3.03784504278154
53,2.97467741766115,3.29356026308192,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",6.84650318029725,3.16452496934154,3.16754303459972,3.16869907461712
56,3.25882430833508,3.47306434485135,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",6.88307276596974,3.31214120702968,3.31298047015004,3.3137035953021
59,3.55993389538154,3.62506288384313,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,"hard",6.95357954799543,3.47435398884605,3.47425091722849,3.47443987595291
