"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","factor_pca","scenario","theory_L_subset_BF","theory_L_bagged_interp","theory_L_bagged_mc_infinite","theory_L_bagged_mc_finiteB"
2,1.30295967265604,4.13249385320336,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",3.91930905869132,1.22965778871765,1.28982019953764,1.34761300736925
5,1.19221772996211,2.09214497245972,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",2.22949032669765,1.17716747817569,1.25665067994689,1.27483238733044
8,1.17275878079255,1.72394629777525,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.82919301099459,1.18699035911237,1.25494996939815,1.26571009216047
11,1.12785943382165,1.56288173633417,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.66468468544716,1.20952078697109,1.2569895263608,1.26447698984816
14,1.12873348726401,1.49687090786241,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.58555049720428,1.23779480147709,1.27684993007598,1.2827040535246
17,1.13627497545009,1.46353831071246,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.54766244309032,1.26987980994041,1.29880768359003,1.30354724935467
20,1.14299100068145,1.45772877293642,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.53347846892558,1.30511580450966,1.32640118040766,1.33036499840215
23,1.157191862139,1.45547859897127,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.53471848402113,1.34330061444777,1.35685257739004,1.36018538857964
26,1.16854883757736,1.45903351573802,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.54703639028279,1.38444178913529,1.39586782595261,1.39876724529733
29,1.19752067644118,1.48792318672127,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.56800187110692,1.42866532567651,1.43580406001229,1.43828899024709
32,1.2216479281033,1.49858464076681,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.59622050349828,1.47617892623365,1.47979719463419,1.48187038879848
35,1.25609546178743,1.52365442649116,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.63090989507602,1.52725778759248,1.53004082227615,1.53185724509161
38,1.29381476946158,1.556410774883,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.67168066041436,1.58224132859476,1.58385716592763,1.58540734536029
41,1.33746959488326,1.59003631604599,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.71841831980585,1.64153628950754,1.64198344191475,1.64328192169764
44,1.39371861622785,1.6327423966511,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.77121917997941,1.70562443287338,1.70548487836471,1.70656508149656
47,1.45741644035481,1.67260235347015,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.83035760357072,1.77507437054569,1.77450869675229,1.77537158316523
50,1.53659416496221,1.72876401624602,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.89627341081461,1.8505577791874,1.84983656578894,1.85048807885932
53,1.63077179082152,1.78500476903949,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",1.96957390533685,1.9328708220134,1.93224475839381,1.93269588825496
56,1.7122915094718,1.81956592990068,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",2.05104825274865,2.02296215144621,2.02257387468463,2.02284495361831
59,1.85355142627146,1.88301766052437,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,"mixed",2.14169406442099,2.12196955059652,2.12182546909582,2.12188125796895
