"require_positive_weights","m","sigma_f2","avg_corr","min_eigen","rejection_tries","design_label"
FALSE,4,0.75,0.430593961219225,0.151196098703988,1.5,"unrestricted"
TRUE,4,0.75,0.406323692310252,0.164667777679452,2.875,"positive"
FALSE,5,0.75,0.377275926034781,0.106173163176874,8.625,"unrestricted"
TRUE,5,0.75,0.396213252714369,0.162184881319853,68,"positive"
FALSE,6,0.75,0.406546855845954,0.0888612252064748,62.75,"unrestricted"
TRUE,6,0.75,0.330559040606022,0.116188343478832,380.75,"positive"
FALSE,4,1,0.462017444083661,0.103788374010448,2.25,"unrestricted"
TRUE,4,1,0.343687677062311,0.266840638633495,5.875,"positive"
FALSE,5,1,0.41872851633525,0.106351642476265,5.375,"unrestricted"
TRUE,5,1,0.402905508611002,0.202007317814148,43,"positive"
FALSE,6,1,0.379302289404829,0.0474308340820872,49.375,"unrestricted"
TRUE,6,1,0.298587013658835,0.147306810335811,851.875,"positive"
FALSE,4,1.25,0.452736823877785,0.182460371708432,2.375,"unrestricted"
TRUE,4,1.25,0.339775530330371,0.327401293523405,7.375,"positive"
FALSE,5,1.25,0.437327253472176,0.124199471681138,6.625,"unrestricted"
TRUE,5,1.25,0.355152362264926,0.205566691276011,32.125,"positive"
FALSE,6,1.25,0.391599253169261,0.0983920971436807,25.125,"unrestricted"
TRUE,6,1.25,0.334461412041371,0.144521157654023,647,"positive"
