"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","design","rho","Q_ave_population","Q_opt_population","avg_corr"
2,2.08456579757006,2.57137839468985,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
5,2.08376676730704,2.31466930331261,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
8,2.0885503873691,2.27845724194431,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
11,2.09690768517478,2.28267483944086,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
14,2.11841264742738,2.30824022956783,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
17,2.13885833982413,2.34409972454836,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
20,2.17196207269288,2.38472503554834,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
23,2.20802817407361,2.43141785449657,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
26,2.24169213809214,2.468993973864,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
29,2.2967299782844,2.52641132081938,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
32,2.35646852326294,2.57943413220971,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
35,2.41341821664307,2.62218127924739,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
38,2.49233012458685,2.68361919284228,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
41,2.58466643609584,2.75258599615276,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
44,2.69180540247735,2.81663055801462,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
47,2.79634299767966,2.87316233245795,2.07413569319697,2.94437753746978,2.07413569319697,"sekkel_toeplitz",0,1.02,1.02,0.5
