"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","design","rho","Q_ave_population","Q_opt_population","avg_corr"
2,2.333430216391,2.68639613239547,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
5,2.3380269843084,2.48823224902253,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
8,2.35171300366965,2.47991924557951,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
11,2.37823734166241,2.51833649476977,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
14,2.39334584796261,2.53966276935252,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
17,2.4290587010232,2.59081258923136,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
20,2.4567086815074,2.63444203968997,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
23,2.50415375048792,2.69768858764638,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
26,2.54700524150681,2.74497760862114,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
29,2.6009857272174,2.80719555359482,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
32,2.66228914071669,2.87061777997684,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
35,2.73167875290325,2.93272039062146,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
38,2.82731962466451,3.01658558309231,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
41,2.92439484102282,3.08396153871983,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
44,3.04016776996871,3.16267955025251,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
47,3.17235885812413,3.24596548219822,2.32904959620912,3.32337732593096,2.29884594458702,"sekkel_toeplitz",0.9,1.30837107181493,1.27941176470588,0.647128097864759
