"design","rho","k","Q_exact_mc","Q_ave","Q_opt","avg_corr","min_eigen"
"sekkel_toeplitz",0,2,1.5,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,5,1.2,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,8,1.125,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,11,1.09090909090909,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,14,1.07142857142857,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,17,1.05882352941176,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,20,1.05,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,23,1.04347826086957,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,26,1.03846153846154,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,29,1.03448275862069,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,32,1.03125,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,35,1.02857142857143,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,38,1.02631578947368,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,41,1.02439024390244,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,44,1.02272727272727,1.02,1.02,0.5,0.999999999999974
"sekkel_toeplitz",0,47,1.02127659574468,1.02,1.02,0.5,0.999999999999974
