"T_len","rho","phi_f","phi_eta","R2_target","best_k","min_rel_pooled_rmse"
100,0,0.3,0.7,"0.1",6,0.987873345762519
100,0,0.3,0.7,"0.3",11,0.950959801202919
100,0,0.3,0.7,"0.5",14,0.907196885519807
100,0,0.7,0.3,"0.1",4,0.995632692303864
100,0,0.7,0.3,"0.3",8,0.982387208057722
100,0,0.7,0.3,"0.5",11,0.969067210529158
100,0.8,0.3,0.7,"0.1",5,0.986153090784111
100,0.8,0.3,0.7,"0.3",8,0.932720889732509
100,0.8,0.3,0.7,"0.5",11,0.854028077859998
100,0.8,0.7,0.3,"0.1",4,0.994296853793954
100,0.8,0.7,0.3,"0.3",8,0.962499741766095
100,0.8,0.7,0.3,"0.5",10,0.925033304750288
500,0,0.3,0.7,"0.1",15,0.985034642951291
500,0,0.3,0.7,"0.3",25,0.958642636696608
500,0,0.3,0.7,"0.5",32,0.909720101189844
500,0,0.7,0.3,"0.1",10,0.995040170479355
500,0,0.7,0.3,"0.3",15,0.98991305469405
500,0,0.7,0.3,"0.5",21,0.97905258200754
500,0.8,0.3,0.7,"0.1",12,0.972796474592613
500,0.8,0.3,0.7,"0.3",16,0.918347127387164
500,0.8,0.3,0.7,"0.5",19,0.833151939527789
500,0.8,0.7,0.3,"0.1",8,0.992171712950353
500,0.8,0.7,0.3,"0.3",13,0.960146249134769
500,0.8,0.7,0.3,"0.5",17,0.912274822407576
