T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
500,0.000000,0.300000,0.3,0.7,0.0,2,1.079460,1.076399,0.997164,1.092913,1.089794,0.000004,1.194454,0.000005,1.187646,0.910284,1.178646,1.230642,1.011787,1.181064,1.233167
500,0.000000,0.300000,0.3,0.7,0.0,3,1.079460,1.072468,0.993523,1.092913,1.085764,0.000004,1.194454,0.000005,1.178878,0.910284,1.163042,1.208199,1.011787,1.167824,1.213166
500,0.000000,0.300000,0.3,0.7,0.0,4,1.079460,1.068635,0.989971,1.092913,1.081847,0.000004,1.194454,0.000006,1.170386,0.910284,1.147319,1.192505,1.011787,1.154410,1.199875
500,0.000000,0.300000,0.3,0.7,0.0,5,1.079460,1.064901,0.986513,1.092913,1.078030,0.000004,1.194454,0.000005,1.162144,0.910284,1.132167,1.179604,1.011787,1.141515,1.189344
500,0.000000,0.300000,0.3,0.7,0.0,6,1.079460,1.061373,0.983245,1.092913,1.074426,0.000004,1.194454,0.000006,1.154385,0.910284,1.117818,1.168246,1.011787,1.129379,1.180329
500,0.000000,0.300000,0.3,0.7,0.0,7,1.079460,1.058128,0.980238,1.092913,1.071101,0.000004,1.194454,0.000006,1.147250,0.910284,1.104211,1.157790,1.011787,1.117944,1.172189
500,0.000000,0.300000,0.3,0.7,0.0,8,1.079460,1.055273,0.977593,1.092913,1.068200,0.000004,1.194454,0.000007,1.141045,0.910284,1.091397,1.148004,1.011787,1.107266,1.164696
500,0.000000,0.300000,0.3,0.7,0.0,9,1.079460,1.052610,0.975126,1.092913,1.065470,0.000004,1.194454,0.000009,1.135218,0.910284,1.079336,1.138732,1.011787,1.097309,1.157693
500,0.000000,0.300000,0.3,0.7,0.0,10,1.079460,1.050217,0.972909,1.092913,1.063011,0.000004,1.194454,0.000009,1.129984,0.910284,1.068040,1.129904,1.011787,1.088089,1.151115
500,0.000000,0.300000,0.3,0.7,0.0,11,1.079460,1.047892,0.970756,1.092913,1.060668,0.000004,1.194454,0.000010,1.125007,0.910284,1.057383,1.121401,1.011787,1.079483,1.144840
500,0.000000,0.300000,0.3,0.7,0.0,12,1.079460,1.045851,0.968865,1.092913,1.058582,0.000004,1.194454,0.000010,1.120586,0.910284,1.047391,1.113223,1.011787,1.071523,1.138871
500,0.000000,0.300000,0.3,0.7,0.0,13,1.079460,1.043976,0.967128,1.092913,1.056669,0.000004,1.194454,0.000010,1.116539,0.910284,1.037977,1.105308,1.011787,1.064120,1.133148
500,0.000000,0.300000,0.3,0.7,0.0,14,1.079460,1.042385,0.965654,1.092913,1.055071,0.000004,1.194454,0.000011,1.113165,0.910284,1.029120,1.097635,1.011787,1.057259,1.127648
500,0.000000,0.300000,0.3,0.7,0.0,15,1.079460,1.041247,0.964600,1.092913,1.053881,0.000004,1.194454,0.000013,1.110652,0.910284,1.020770,1.090179,1.011787,1.050892,1.122348
500,0.000000,0.300000,0.3,0.7,0.0,16,1.079460,1.039856,0.963311,1.092913,1.052453,0.000004,1.194454,0.000013,1.107643,0.910284,1.012931,1.082947,1.011787,1.045023,1.117258
500,0.000000,0.300000,0.3,0.7,0.0,17,1.079460,1.038752,0.962289,1.092913,1.051352,0.000004,1.194454,0.000014,1.105326,0.910284,1.005546,1.075906,1.011787,1.039601,1.112344
500,0.000000,0.300000,0.3,0.7,0.0,18,1.079460,1.037839,0.961443,1.092913,1.050405,0.000004,1.194454,0.000016,1.103334,0.910284,0.998588,1.069050,1.011787,1.034597,1.107600
500,0.000000,0.300000,0.3,0.7,0.0,19,1.079460,1.036991,0.960657,1.092913,1.049536,0.000004,1.194454,0.000015,1.101511,0.910284,0.992032,1.062367,1.011787,1.029990,1.103015
500,0.000000,0.300000,0.3,0.7,0.0,20,1.079460,1.036502,0.960204,1.092913,1.049068,0.000004,1.194454,0.000016,1.100526,0.910284,0.985855,1.055840,1.011787,1.025757,1.098574
500,0.000000,0.300000,0.3,0.7,0.0,21,1.079460,1.035940,0.959683,1.092913,1.048476,0.000004,1.194454,0.000017,1.099286,0.910284,0.980033,1.049470,1.011787,1.021875,1.094278
500,0.000000,0.300000,0.3,0.7,0.0,22,1.079460,1.035709,0.959470,1.092913,1.048253,0.000004,1.194454,0.000018,1.098817,0.910284,0.974538,1.043237,1.011787,1.018320,1.090105
500,0.000000,0.300000,0.3,0.7,0.0,23,1.079460,1.035369,0.959154,1.092913,1.047891,0.000004,1.194454,0.000017,1.098059,0.910284,0.969390,1.037175,1.011787,1.015112,1.086095
500,0.000000,0.300000,0.3,0.7,0.0,24,1.079460,1.035301,0.959092,1.092913,1.047859,0.000004,1.194454,0.000019,1.097989,0.910284,0.964502,1.031207,1.011787,1.012163,1.082166
500,0.000000,0.300000,0.3,0.7,0.0,25,1.079460,1.035178,0.958977,1.092913,1.047713,0.000004,1.194454,0.000019,1.097682,0.910284,0.959931,1.025398,1.011787,1.009535,1.078386
500,0.000000,0.300000,0.3,0.7,0.0,26,1.079460,1.035519,0.959293,1.092913,1.048078,0.000004,1.194454,0.000021,1.098447,0.910284,0.955617,1.019702,1.011787,1.007167,1.074710
500,0.000000,0.300000,0.3,0.7,0.0,27,1.079460,1.035632,0.959398,1.092913,1.048173,0.000004,1.194454,0.000023,1.098644,0.910284,0.951564,1.014133,1.011787,1.005065,1.071152
500,0.000000,0.300000,0.3,0.7,0.0,28,1.079460,1.035981,0.959721,1.092913,1.048536,0.000004,1.194454,0.000025,1.099402,0.910284,0.947747,1.008665,1.011787,1.003202,1.067686
500,0.000000,0.300000,0.3,0.7,0.0,29,1.079460,1.036544,0.960243,1.092913,1.049121,0.000004,1.194454,0.000024,1.100631,0.910284,0.944155,1.003300,1.011787,1.001571,1.064313
500,0.000000,0.300000,0.3,0.7,0.0,30,1.079460,1.037090,0.960749,1.092913,1.049689,0.000004,1.194454,0.000024,1.101824,0.910284,0.940808,0.998070,1.011787,1.000193,1.061069
500,0.000000,0.300000,0.3,0.7,0.0,31,1.079460,1.037736,0.961347,1.092913,1.050345,0.000004,1.194454,0.000026,1.103200,0.910284,0.937656,0.992914,1.011787,0.999016,1.057890
500,0.000000,0.300000,0.3,0.7,0.0,32,1.079460,1.038345,0.961911,1.092913,1.050968,0.000004,1.194454,0.000026,1.104507,0.910284,0.934707,0.987862,1.011787,0.998051,1.054809
500,0.000000,0.300000,0.3,0.7,0.0,33,1.079460,1.039351,0.962843,1.092913,1.052013,0.000004,1.194454,0.000028,1.106704,0.910284,0.931953,0.982901,1.011787,0.997291,1.051810
500,0.000000,0.300000,0.3,0.7,0.0,34,1.079460,1.040292,0.963715,1.092913,1.052928,0.000004,1.194454,0.000029,1.108628,0.910284,0.929388,0.978029,1.011787,0.996729,1.048895
500,0.000000,0.300000,0.3,0.7,0.0,35,1.079460,1.041329,0.964676,1.092913,1.054026,0.000004,1.194454,0.000029,1.110941,0.910284,0.927006,0.973258,1.011787,0.996363,1.046075
500,0.000000,0.300000,0.3,0.7,0.0,36,1.079460,1.042382,0.965651,1.092913,1.055085,0.000004,1.194454,0.000030,1.113175,0.910284,0.924806,0.968573,1.011787,0.996190,1.043335
