T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
75,0.800000,0.300000,0.3,0.7,0.0,2,1.089625,1.066376,0.978663,1.105096,1.081040,0.000233,1.221005,0.000185,1.168461,0.245063,1.098332,1.185744,1.120787,1.116051,1.204875
75,0.800000,0.300000,0.3,0.7,0.0,3,1.089625,1.046819,0.960715,1.105096,1.060947,0.000233,1.221005,0.000146,1.125463,0.245063,1.033268,1.130755,1.120787,1.067152,1.167841
75,0.800000,0.300000,0.3,0.7,0.0,4,1.089625,1.033874,0.948835,1.105096,1.047672,0.000233,1.221005,0.000122,1.097494,0.245063,0.982350,1.085229,1.120787,1.031475,1.139511
75,0.800000,0.300000,0.3,0.7,0.0,5,1.089625,1.025817,0.941441,1.105096,1.039429,0.000233,1.221005,0.000096,1.080317,0.245063,0.941942,1.046463,1.120787,1.005813,1.117439
75,0.800000,0.300000,0.3,0.7,0.0,6,1.089625,1.021630,0.937598,1.105096,1.035088,0.000233,1.221005,0.000083,1.071325,0.245063,0.908625,1.012841,1.120787,0.986967,1.100195
75,0.800000,0.300000,0.3,0.7,0.0,7,1.089625,1.019363,0.935518,1.105096,1.032798,0.000233,1.221005,0.000070,1.066602,0.245063,0.879965,0.983040,1.120787,0.972605,1.086570
75,0.800000,0.300000,0.3,0.7,0.0,8,1.089625,1.018992,0.935177,1.105096,1.032459,0.000233,1.221005,0.000058,1.065913,0.245063,0.854508,0.956233,1.120787,0.961335,1.075830
75,0.800000,0.300000,0.3,0.7,0.0,9,1.089625,1.020375,0.936447,1.105096,1.033810,0.000233,1.221005,0.000052,1.068710,0.245063,0.831167,0.931708,1.120787,0.952076,1.067312
75,0.800000,0.300000,0.3,0.7,0.0,10,1.089625,1.022954,0.938813,1.105096,1.036411,0.000233,1.221005,0.000043,1.074106,0.245063,0.809376,0.908982,1.120787,0.944280,1.060580
75,0.800000,0.300000,0.3,0.7,0.0,11,1.089625,1.026158,0.941754,1.105096,1.039716,0.000233,1.221005,0.000035,1.080975,0.245063,0.788682,0.887733,1.120787,0.937492,1.055350
75,0.800000,0.300000,0.3,0.7,0.0,12,1.089625,1.030319,0.945572,1.105096,1.043958,0.000233,1.221005,0.000029,1.089819,0.245063,0.768745,0.867556,1.120787,0.931360,1.051221
75,0.800000,0.300000,0.3,0.7,0.0,13,1.089625,1.035163,0.950018,1.105096,1.048867,0.000233,1.221005,0.000024,1.100097,0.245063,0.749419,0.848277,1.120787,0.925738,1.048040
75,0.800000,0.300000,0.3,0.7,0.0,14,1.089625,1.040974,0.955351,1.105096,1.054741,0.000233,1.221005,0.000021,1.112457,0.245063,0.730529,0.829739,1.120787,0.920436,1.045665
75,0.800000,0.300000,0.3,0.7,0.0,15,1.089625,1.046997,0.960879,1.105096,1.060956,0.000233,1.221005,0.000015,1.125612,0.245063,0.712015,0.811795,1.120787,0.915398,1.043958
75,0.800000,0.300000,0.3,0.7,0.0,16,1.089625,1.054081,0.967380,1.105096,1.068187,0.000233,1.221005,0.000015,1.141008,0.245063,0.693747,0.794281,1.120787,0.910470,1.042747
75,0.800000,0.300000,0.3,0.7,0.0,17,1.089625,1.061798,0.974463,1.105096,1.075959,0.000233,1.221005,0.000010,1.157677,0.245063,0.675779,0.777195,1.120787,0.905733,1.042062
75,0.800000,0.300000,0.3,0.7,0.0,18,1.089625,1.069868,0.981868,1.105096,1.084162,0.000233,1.221005,0.000009,1.175399,0.245063,0.657971,0.760327,1.120787,0.900999,1.041641
75,0.800000,0.300000,0.3,0.7,0.0,19,1.089625,1.078824,0.990088,1.105096,1.093295,0.000233,1.221005,0.000008,1.195286,0.245063,0.640422,0.743756,1.120787,0.896416,1.041621
75,0.800000,0.300000,0.3,0.7,0.0,20,1.089625,1.088067,0.998571,1.105096,1.102715,0.000233,1.221005,0.000008,1.215974,0.245063,0.623024,0.727369,1.120787,0.891838,1.041865
75,0.800000,0.300000,0.3,0.7,0.0,21,1.089625,1.098138,1.007813,1.105096,1.112968,0.000233,1.221005,0.000010,1.238687,0.245063,0.605794,0.711085,1.120787,0.887284,1.042272
75,0.800000,0.300000,0.3,0.7,0.0,22,1.089625,1.109587,1.018321,1.105096,1.124607,0.000233,1.221005,0.000007,1.264733,0.245063,0.588752,0.694925,1.120787,0.882790,1.042884
75,0.800000,0.300000,0.3,0.7,0.0,23,1.089625,1.121225,1.029001,1.105096,1.136491,0.000233,1.221005,0.000011,1.291601,0.245063,0.571866,0.678819,1.120787,0.878309,1.043612
75,0.800000,0.300000,0.3,0.7,0.0,24,1.089625,1.133798,1.040540,1.105096,1.149220,0.000233,1.221005,0.000012,1.320695,0.245063,0.555257,0.662864,1.120787,0.874041,1.044618
75,0.800000,0.300000,0.3,0.7,0.0,25,1.089625,1.147053,1.052705,1.105096,1.162732,0.000233,1.221005,0.000015,1.351930,0.245063,0.538775,0.646868,1.120787,0.869754,1.045611
75,0.800000,0.300000,0.3,0.7,0.0,26,1.089625,1.161694,1.066142,1.105096,1.177610,0.000233,1.221005,0.000020,1.386745,0.245063,0.522519,0.630933,1.120787,0.865602,1.046756
75,0.800000,0.300000,0.3,0.7,0.0,27,1.089625,1.177541,1.080685,1.105096,1.193696,0.000233,1.221005,0.000021,1.424888,0.245063,0.506490,0.615010,1.120787,0.861609,1.047986
75,0.800000,0.300000,0.3,0.7,0.0,28,1.089625,1.193637,1.095457,1.105096,1.210098,0.000233,1.221005,0.000022,1.464315,0.245063,0.490744,0.599148,1.120787,0.857890,1.049402
75,0.800000,0.300000,0.3,0.7,0.0,29,1.089625,1.211676,1.112012,1.105096,1.228377,0.000233,1.221005,0.000029,1.508882,0.245063,0.475171,0.583220,1.120787,0.854257,1.050775
75,0.800000,0.300000,0.3,0.7,0.0,30,1.089625,1.231105,1.129844,1.105096,1.248145,0.000233,1.221005,0.000038,1.557829,0.245063,0.459906,0.567327,1.120787,0.850986,1.052310
75,0.800000,0.300000,0.3,0.7,0.0,31,1.089625,1.251659,1.148706,1.105096,1.268962,0.000233,1.221005,0.000044,1.610221,0.245063,0.444903,0.551417,1.120787,0.848002,1.053904
75,0.800000,0.300000,0.3,0.7,0.0,32,1.089625,1.273538,1.168786,1.105096,1.291196,0.000233,1.221005,0.000054,1.667134,0.245063,0.430191,0.535509,1.120787,0.845401,1.055608
75,0.800000,0.300000,0.3,0.7,0.0,33,1.089625,1.297204,1.190506,1.105096,1.315244,0.000233,1.221005,0.000057,1.729809,0.245063,0.415735,0.519526,1.120787,0.843148,1.057278
75,0.800000,0.300000,0.3,0.7,0.0,34,1.089625,1.323326,1.214478,1.105096,1.341776,0.000233,1.221005,0.000069,1.800295,0.245063,0.401605,0.503573,1.120787,0.841424,1.059129
75,0.800000,0.300000,0.3,0.7,0.0,35,1.089625,1.351561,1.240392,1.105096,1.370350,0.000233,1.221005,0.000081,1.877776,0.245063,0.387811,0.487613,1.120787,0.840313,1.061114
75,0.800000,0.300000,0.3,0.7,0.0,36,1.089625,1.381957,1.268288,1.105096,1.401100,0.000233,1.221005,0.000099,1.962984,0.245063,0.374363,0.471613,1.120787,0.839889,1.063147
75,0.800000,0.300000,0.3,0.7,0.0,37,1.089625,1.414871,1.298494,1.105096,1.434360,0.000233,1.221005,0.000110,2.057278,0.245063,0.361262,0.455591,1.120787,0.840252,1.065307
75,0.800000,0.300000,0.3,0.7,0.0,38,1.089625,1.451702,1.332296,1.105096,1.471762,0.000233,1.221005,0.000139,2.165944,0.245063,0.348526,0.439525,1.120787,0.841533,1.067556
75,0.800000,0.300000,0.3,0.7,0.0,39,1.089625,1.490880,1.368251,1.105096,1.511335,0.000233,1.221005,0.000172,2.283962,0.245063,0.336263,0.423543,1.120787,0.844128,1.070226
75,0.800000,0.300000,0.3,0.7,0.0,40,1.089625,1.534759,1.408521,1.105096,1.555880,0.000233,1.221005,0.000169,2.420595,0.245063,0.324338,0.407432,1.120787,0.847837,1.072808
75,0.800000,0.300000,0.3,0.7,0.0,41,1.089625,1.584236,1.453928,1.105096,1.605950,0.000233,1.221005,0.000182,2.578894,0.245063,0.312893,0.391319,1.120787,0.853196,1.075633
75,0.800000,0.300000,0.3,0.7,0.0,42,1.089625,1.639019,1.504206,1.105096,1.661441,0.000233,1.221005,0.000204,2.760182,0.245063,0.301940,0.375182,1.120787,0.860495,1.078690
75,0.800000,0.300000,0.3,0.7,0.0,43,1.089625,1.701059,1.561142,1.105096,1.724450,0.000233,1.221005,0.000205,2.973524,0.245063,0.291572,0.359095,1.120787,0.870361,1.082307
75,0.800000,0.300000,0.3,0.7,0.0,44,1.089625,1.771799,1.626063,1.105096,1.796204,0.000233,1.221005,0.000241,3.226107,0.245063,0.281761,0.342913,1.120787,0.883055,1.086001
75,0.800000,0.300000,0.3,0.7,0.0,45,1.089625,1.852654,1.700268,1.105096,1.878495,0.000233,1.221005,0.000257,3.528485,0.245063,0.272665,0.326723,1.120787,0.899701,1.090200
75,0.800000,0.300000,0.3,0.7,0.0,46,1.089625,1.947861,1.787644,1.105096,1.975310,0.000233,1.221005,0.000284,3.901563,0.245063,0.264372,0.310491,1.120787,0.921342,1.094796
75,0.800000,0.300000,0.3,0.7,0.0,47,1.089625,2.062321,1.892689,1.105096,2.092087,0.000233,1.221005,0.000321,4.376508,0.245063,0.257068,0.294201,1.120787,0.949922,1.099946
75,0.800000,0.300000,0.3,0.7,0.0,48,1.089625,2.201817,2.020712,1.105096,2.234889,0.000233,1.221005,0.000347,4.994383,0.245063,0.251062,0.277892,1.120787,0.988453,1.105881
75,0.800000,0.300000,0.3,0.7,0.0,49,1.089625,2.380941,2.185102,1.105096,2.419780,0.000233,1.221005,0.000400,5.854936,0.245063,0.246786,0.261510,1.120787,1.042060,1.112703
75,0.800000,0.300000,0.3,0.7,0.0,50,1.089625,2.618844,2.403437,1.105096,2.668874,0.000233,1.221005,0.000526,7.122364,0.245063,0.245063,0.245063,1.120787,1.120787,1.120787
100,0.800000,0.300000,0.3,0.7,0.0,2,1.085266,1.062943,0.979430,1.098473,1.075574,0.000203,1.206439,0.000178,1.156681,0.471957,1.119424,1.201477,1.063682,1.132271,1.215268
100,0.800000,0.300000,0.3,0.7,0.0,3,1.085266,1.044561,0.962493,1.098473,1.056744,0.000203,1.206439,0.000141,1.116566,0.471957,1.059193,1.151010,1.063682,1.083788,1.177739
100,0.800000,0.300000,0.3,0.7,0.0,4,1.085266,1.031871,0.950800,1.098473,1.043850,0.000203,1.206439,0.000106,1.089517,0.471957,1.012707,1.109537,1.063682,1.048394,1.148640
100,0.800000,0.300000,0.3,0.7,0.0,5,1.085266,1.024219,0.943749,1.098473,1.036046,0.000203,1.206439,0.000081,1.073310,0.471957,0.976590,1.074632,1.063682,1.023020,1.125730
100,0.800000,0.300000,0.3,0.7,0.0,6,1.085266,1.019906,0.939775,1.098473,1.031648,0.000203,1.206439,0.000064,1.064234,0.471957,0.947399,1.044568,1.063682,1.004378,1.107401
100,0.800000,0.300000,0.3,0.7,0.0,7,1.085266,1.017645,0.937691,1.098473,1.029356,0.000203,1.206439,0.000050,1.059523,0.471957,0.922969,1.018325,1.063682,0.990391,1.092725
100,0.800000,0.300000,0.3,0.7,0.0,8,1.085266,1.016834,0.936945,1.098473,1.028567,0.000203,1.206439,0.000036,1.057913,0.471957,0.901740,0.994948,1.063682,0.979536,1.080801
100,0.800000,0.300000,0.3,0.7,0.0,9,1.085266,1.017229,0.937308,1.098473,1.028978,0.000203,1.206439,0.000027,1.058769,0.471957,0.882793,0.973912,1.063682,0.970920,1.071155
100,0.800000,0.300000,0.3,0.7,0.0,10,1.085266,1.018695,0.938659,1.098473,1.030483,0.000203,1.206439,0.000019,1.061876,0.471957,0.865476,0.954699,1.063682,0.963899,1.063295
100,0.800000,0.300000,0.3,0.7,0.0,11,1.085266,1.020780,0.940580,1.098473,1.032602,0.000203,1.206439,0.000016,1.066251,0.471957,0.849307,0.936897,1.063682,0.957995,1.056826
100,0.800000,0.300000,0.3,0.7,0.0,12,1.085266,1.023578,0.943158,1.098473,1.035503,0.000203,1.206439,0.000011,1.072255,0.471957,0.834106,0.920391,1.063682,0.953044,1.051671
100,0.800000,0.300000,0.3,0.7,0.0,13,1.085266,1.026711,0.946045,1.098473,1.038659,0.000203,1.206439,0.000008,1.078804,0.471957,0.819544,0.904812,1.063682,0.948701,1.047453
100,0.800000,0.300000,0.3,0.7,0.0,14,1.085266,1.030265,0.949320,1.098473,1.042300,0.000203,1.206439,0.000005,1.086383,0.471957,0.805497,0.890009,1.063682,0.944846,1.044033
100,0.800000,0.300000,0.3,0.7,0.0,15,1.085266,1.034279,0.953019,1.098473,1.046390,0.000203,1.206439,0.000004,1.094929,0.471957,0.791820,0.875809,1.063682,0.941327,1.041238
100,0.800000,0.300000,0.3,0.7,0.0,16,1.085266,1.038757,0.957145,1.098473,1.050961,0.000203,1.206439,0.000003,1.104517,0.471957,0.778580,0.862274,1.063682,0.938236,1.039168
100,0.800000,0.300000,0.3,0.7,0.0,17,1.085266,1.043562,0.961573,1.098473,1.055888,0.000203,1.206439,0.000002,1.114898,0.471957,0.765543,0.849085,1.063682,0.935309,1.037463
100,0.800000,0.300000,0.3,0.7,0.0,18,1.085266,1.048613,0.966226,1.098473,1.061063,0.000203,1.206439,0.000001,1.125853,0.471957,0.752830,0.836348,1.063682,0.932699,1.036272
100,0.800000,0.300000,0.3,0.7,0.0,19,1.085266,1.054078,0.971262,1.098473,1.066648,0.000203,1.206439,0.000000,1.137737,0.471957,0.740240,0.823832,1.063682,0.930169,1.035324
100,0.800000,0.300000,0.3,0.7,0.0,20,1.085266,1.060067,0.976781,1.098473,1.072761,0.000203,1.206439,0.000000,1.150815,0.471957,0.727848,0.811593,1.063682,0.927818,1.034701
100,0.800000,0.300000,0.3,0.7,0.0,21,1.085266,1.066154,0.982389,1.098473,1.079009,0.000203,1.206439,0.000000,1.164261,0.471957,0.715682,0.799605,1.063682,0.925690,1.034386
100,0.800000,0.300000,0.3,0.7,0.0,22,1.085266,1.072627,0.988354,1.098473,1.085644,0.000203,1.206439,0.000000,1.178623,0.471957,0.703689,0.787798,1.063682,0.923725,1.034300
100,0.800000,0.300000,0.3,0.7,0.0,23,1.085266,1.079603,0.994782,1.098473,1.092769,0.000203,1.206439,0.000000,1.194145,0.471957,0.691802,0.776107,1.063682,0.921840,1.034365
100,0.800000,0.300000,0.3,0.7,0.0,24,1.085266,1.086851,1.001460,1.098473,1.100192,0.000203,1.206439,0.000000,1.210423,0.471957,0.680104,0.764538,1.063682,0.920153,1.034597
100,0.800000,0.300000,0.3,0.7,0.0,25,1.085266,1.094706,1.008698,1.098473,1.108229,0.000203,1.206439,0.000000,1.228171,0.471957,0.668538,0.753080,1.063682,0.918594,1.034988
100,0.800000,0.300000,0.3,0.7,0.0,26,1.085266,1.103127,1.016458,1.098473,1.116870,0.000203,1.206439,0.000000,1.247398,0.471957,0.657175,0.741711,1.063682,0.917269,1.035518
100,0.800000,0.300000,0.3,0.7,0.0,27,1.085266,1.111237,1.023930,1.098473,1.125156,0.000203,1.206439,0.000000,1.265976,0.471957,0.645956,0.730388,1.063682,0.916104,1.036128
100,0.800000,0.300000,0.3,0.7,0.0,28,1.085266,1.120750,1.032696,1.098473,1.134923,0.000203,1.206439,0.000000,1.288050,0.471957,0.634877,0.719104,1.063682,0.915104,1.036818
100,0.800000,0.300000,0.3,0.7,0.0,29,1.085266,1.130348,1.041540,1.098473,1.144768,0.000203,1.206439,0.000001,1.310494,0.471957,0.624007,0.707881,1.063682,0.914379,1.037620
100,0.800000,0.300000,0.3,0.7,0.0,30,1.085266,1.140535,1.050927,1.098473,1.155159,0.000203,1.206439,0.000001,1.334391,0.471957,0.613334,0.696698,1.063682,0.913919,1.038507
100,0.800000,0.300000,0.3,0.7,0.0,31,1.085266,1.151672,1.061188,1.098473,1.166560,0.000203,1.206439,0.000001,1.360861,0.471957,0.602806,0.685509,1.063682,0.913664,1.039417
100,0.800000,0.300000,0.3,0.7,0.0,32,1.085266,1.163429,1.072022,1.098473,1.178635,0.000203,1.206439,0.000002,1.389179,0.471957,0.592523,0.674340,1.063682,0.913782,1.040392
100,0.800000,0.300000,0.3,0.7,0.0,33,1.085266,1.175234,1.082899,1.098473,1.190672,0.000203,1.206439,0.000002,1.417697,0.471957,0.582475,0.663221,1.063682,0.914268,1.041477
