"design","m","m1","T","sigma2_eps","sigma2_f","k","df_eff_avg","pop_opt","pop_opt_Eest_paper","pop_opt_Eest_df","pop_avg","Average","RestrOLS","Shrink","RSM","MSE","Rank","sd_Average","sd_RestrOLS","sd_Shrink","sd_RSM","sd_MSE","sd_Rank"
"Prop2",20,16,100,1,0.75,10,18.9999999601716,1.046875,1.24578125000001,1.24578124958305,1.07477500000002,1.07273801176316,1.29402099646714,1.29398809033261,1.09774241705921,1.07319160009708,1.08736532111447,0.0478199013374354,0.109466685632298,0.109455510736406,0.0533651074252876,0.0477647005387268,0.0533914176520128
"Prop2",20,16,100,1,1,10,18.9999999700209,1.0625,1.26437499999998,1.26437499968147,1.09969999999999,1.09783179392349,1.30882282369055,1.30878976906541,1.11380017181745,1.09821252326148,1.11596660592832,0.0493974120416261,0.104187845713557,0.104177191975597,0.0533835906363177,0.0497637063422407,0.0597562058692544
"Prop2",20,16,100,1,1.2,10,18.9999999750884,1.07500000000002,1.27925000000003,1.2792499997322,1.11963999999999,1.11885427928025,1.32778777223179,1.32775435549218,1.130707912571,1.12006349610118,1.14404185262698,0.0497314737743166,0.108457106572858,0.108446132976256,0.0554260554814191,0.0508854025504447,0.0651921284599684
"Prop2",20,16,300,1,0.75,17,18.9999999885714,1.046875,1.11317708333332,1.11317708329345,1.07477500000002,1.0776285466954,1.12128617758146,1.12127664794426,1.09969588364578,1.07772181745397,1.09211833098479,0.0476900045521114,0.0553577960479239,0.0553560647149805,0.0513897206765764,0.0479539189065712,0.0558256570589586
"Prop2",20,16,300,1,1,17,18.9999999914041,1.0625,1.12979166666665,1.12979166663623,1.09969999999999,1.09905767730956,1.13289316092557,1.13288381901907,1.11158322217929,1.09934232116409,1.11952989320953,0.0492263744973584,0.0571459457607315,0.0571441064190562,0.0531173436923317,0.0492374032155947,0.0596830833551338
"Prop2",20,16,300,1,1.2,17,18.999999992835,1.07500000000002,1.14308333333336,1.14308333330766,1.11963999999999,1.12157437874937,1.14970175067257,1.14969217801857,1.12801954689187,1.1220126361242,1.14664328462944,0.0496517457707515,0.0572969935219723,0.0572950967438324,0.0532260354504023,0.049998905790197,0.0652190636819465
"Prop2",50,40,100,1,0.75,10,48.9999997741328,1.01874999999998,1.51793750000001,1.51793749769898,1.04773,1.04467513242767,2.02997853531827,2.02984476643339,1.0453923760913,1.04533123410705,1.05643665813629,0.0456513912846569,0.308150958994701,0.308111928119204,0.0486848100438974,0.0459915912653896,0.0530700154582193
"Prop2",50,40,100,1,1,10,48.9999998303839,1.02499999999998,1.52725000000002,1.52724999826144,1.06363999999999,1.06312730349455,2.04673806922028,2.04660314932314,1.05553456155194,1.06365692265926,1.07644200770115,0.04743604899572,0.300443794027388,0.300405721857749,0.05084885470654,0.0482568060984851,0.0602742605455636
"Prop2",50,40,100,1,1.2,10,48.9999998587978,1.02999999999998,1.53469999999999,1.53469999854562,1.076368,1.07941459213678,2.05244085146937,2.05230617914434,1.06498559467212,1.07968128598592,1.09366189857538,0.0471948843432536,0.318132932290087,0.318092592902741,0.0507033783245833,0.0485709788126197,0.0655631242114466
"Prop2",50,40,300,1,0.75,17,48.9999999547521,1.01874999999998,1.18514583333331,1.18514583317968,1.04773,1.04829015031372,1.21964200020818,1.2196155044261,1.04106370946039,1.04840193160015,1.05829110716424,0.0487389358112474,0.070063069737024,0.0700586069148695,0.0484729210951432,0.0487905822983181,0.0557684222802679
"Prop2",50,40,300,1,1,17,48.9999999660426,1.02499999999998,1.19241666666667,1.19241666655065,1.06363999999999,1.06227735541663,1.22364484013443,1.22361835332068,1.04551396307381,1.06236418487273,1.07482900514669,0.047462287940582,0.0715905185970224,0.071585793026475,0.0477430416577915,0.0476445525587494,0.0598429089391584
"Prop2",50,40,300,1,1.2,17,48.9999999716965,1.02999999999998,1.19823333333331,1.19823333323616,1.076368,1.07733692437396,1.23135830354509,1.23133183553551,1.05373377671209,1.07777349536102,1.09498407861288,0.0473472981304345,0.0682857964628588,0.068281322465389,0.0468906970014232,0.0479139606628925,0.0672838607193032
"Prop2_smallm1",20,4,100,1,0.75,10,18.9999997653319,1.1875,1.41312500000002,1.41312499721331,1.54299999999997,1.54293426649923,1.46885378744701,1.46881645160412,1.29298785308112,1.54132417070541,1.54851999753976,0.0686603244135439,0.122517801543199,0.122506332363643,0.0720287294141425,0.0699216468468313,0.109819146746316
"Prop2_smallm1",20,4,100,1,1,10,18.9999998236166,1.25,1.48749999999997,1.48749999779521,1.72399999999998,1.72320307051057,1.54069096217513,1.54065244788002,1.37514956798227,1.72193156574091,1.73101974462746,0.0772917580892018,0.130119563178055,0.13010671953818,0.078809685406372,0.0803044060133894,0.140487564545062
"Prop2_smallm1",20,4,100,1,1.2,10,18.9999998535611,1.29999999999998,1.54700000000002,1.5469999980963,1.86879999999998,1.86663564688161,1.61349776553888,1.61345657546784,1.44376497674345,1.86459699391606,1.88042189046056,0.0811495178742278,0.132032219874928,0.132019350568366,0.0828398887294339,0.0849673542695603,0.161954708222884
"Prop2_smallm1",20,4,300,1,0.75,17,18.9999999328375,1.1875,1.26270833333333,1.26270833306748,1.54299999999997,1.54332820697521,1.26874286892807,1.26873223384698,1.24687401559857,1.54313575549053,1.55172163090703,0.0674347916562082,0.0627463726414912,0.0627441929964672,0.0587177909828379,0.0686255748668165,0.114489186457861
"Prop2_smallm1",20,4,300,1,1,17,18.9999999495896,1.25,1.32916666666666,1.32916666645662,1.72399999999998,1.72446373368481,1.33798250179426,1.33797089806029,1.3146523640739,1.72408231724479,1.73629273503822,0.0793951032765556,0.0682555777975402,0.068253786835948,0.0645547790405333,0.0807530603155681,0.145045005059635
"Prop2_smallm1",20,4,300,1,1.2,17,18.9999999580529,1.29999999999998,1.38233333333332,1.38233333315156,1.86879999999998,1.86911901156865,1.38932921107124,1.38931733373851,1.3662909510425,1.86866288791995,1.88764857499814,0.084148102108099,0.0691833518037885,0.0691806523781116,0.0641943643231916,0.0844272787786233,0.159253128144777
"Prop2_smallm1",50,10,100,1,0.75,10,48.9999989839209,1.07500000000002,1.60175000000002,1.60174998907715,1.50232000000003,1.501125016317,2.11303881858745,2.11290121967568,1.19169791592178,1.4991096061519,1.50552172391978,0.0680141948185655,0.327065694185992,0.327024740496396,0.0689499650840448,0.0707057990445142,0.121064665900579
"Prop2_smallm1",50,10,100,1,1,10,48.999999239092,1.10000000000001,1.63899999999997,1.63899999163001,1.66976,1.66972978039281,2.17187230290044,2.17173041431287,1.25119246106359,1.6674257788012,1.6754617872079,0.0749065076158577,0.326470332347362,0.32642860871913,0.0779509097897248,0.0807585479804257,0.153838086884237
"Prop2_smallm1",50,10,100,1,1.2,10,48.9999993654065,1.11999999999999,1.66879999999998,1.66879999289255,1.80371199999997,1.80575194982837,2.22298216637281,2.22283706710496,1.30288537184363,1.80321179991387,1.82072249762752,0.0813568694581574,0.347228284615769,0.347184145998525,0.0871403545221146,0.0900290073695587,0.192393299422077
"Prop2_smallm1",50,10,300,1,0.75,17,48.9999997969122,1.07500000000002,1.25058333333332,1.2505833326056,1.50232000000003,1.50453480689842,1.28242229539863,1.28239533610608,1.12701668415206,1.50419301977124,1.51139980641376,0.0700937347491474,0.0765212380525619,0.0765163517380966,0.0550188030169377,0.0709018635561995,0.121658443942835
"Prop2_smallm1",50,10,300,1,1,17,48.9999998475371,1.10000000000001,1.27966666666666,1.27966666610764,1.66976,1.66750374473029,1.31641032365267,1.31638180748741,1.16097473805927,1.66741854670581,1.68209901370421,0.0745668889432586,0.075123125779809,0.0751179390121792,0.0549226541991905,0.076358423020466,0.157358047483873
"Prop2_smallm1",50,10,300,1,1.2,17,48.9999998729027,1.11999999999999,1.30293333333336,1.30293333285884,1.80371199999997,1.80604494646297,1.34081020867705,1.34078122583946,1.1921329690749,1.80536793671115,1.81901502382088,0.0833964321496415,0.0765463531774614,0.0765417886397511,0.060748099845774,0.0863691230758385,0.186581267593846
"Toeplitz_tridiag",20,NA,100,1,0.75,10,18.999999993178,1.06860672333218,1.27164200076527,1.27164200069239,1.06956249999999,1.06860466627871,1.32099458223992,1.32096102357258,1.12372813471621,1.06915509833049,1.08227735291767,0.0479639115031196,0.107893892702472,0.107882879526962,0.0537437063143482,0.0479561923134409,0.0485445125360239
