T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rs_mode,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg,USE_HET_X,ETA_SD_STRONG,ETA_SD_WEAK,ETA_SD_PI,ETA_SD_NULL,U_HET_ALPHA
250,0.300000,0.500000,0.3,0.7,0.0,16,uniform,1.326304,1.101388,0.830420,1.347313,1.117678,0.000030,1.815222,0.000006,1.249199,0.796285,1.018408,1.234607,0.959600,1.082351,1.312126,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.3,0.7,0.0,16,tsoft,1.326304,1.051489,0.792797,1.347313,1.065667,0.000030,1.815222,0.000026,1.135620,0.796285,0.960507,1.009728,0.959600,1.020816,1.073130,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.7,0.3,0.0,16,uniform,1.191877,1.076070,0.902836,1.209494,1.091551,0.000156,1.462720,0.000185,1.191300,0.796320,0.992250,1.147480,0.959642,1.054552,1.219531,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.7,0.3,0.0,16,tsoft,1.191877,1.045800,0.877440,1.209494,1.060969,0.000156,1.462720,0.000593,1.125063,0.796320,0.951290,0.989708,0.959642,1.011022,1.051853,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.3,0.7,0.0,16,uniform,1.149330,1.044471,0.908765,1.165723,1.058837,0.000232,1.358679,0.000089,1.121047,0.807987,0.943828,1.054068,0.973709,1.003091,1.120253,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.3,0.7,0.0,16,tsoft,1.149330,1.031249,0.897261,1.165723,1.045398,0.000232,1.358679,0.000050,1.092807,0.807987,0.927987,0.965261,0.973709,0.986256,1.025871,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.7,0.3,0.0,16,uniform,1.070483,1.026332,0.958756,1.085600,1.040674,0.000154,1.178374,0.000107,1.082896,0.801980,0.928250,1.019450,0.966469,0.986534,1.083462,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.7,0.3,0.0,16,tsoft,1.070483,1.020925,0.953705,1.085600,1.034901,0.000154,1.178374,0.000131,1.070888,0.801980,0.919158,0.955501,0.966469,0.976872,1.015499,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.3,0.7,0.0,16,uniform,1.021120,0.998939,0.978278,1.034027,1.011738,0.000176,1.069037,0.000049,1.023565,0.832039,0.924050,0.969824,1.002697,0.982073,1.030722,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.3,0.7,0.0,16,tsoft,1.021120,1.003621,0.982863,1.034027,1.016770,0.000176,1.069037,0.000005,1.033816,0.832039,0.916448,0.940438,1.002697,0.973994,0.999490,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.7,0.3,0.0,16,uniform,1.022934,1.009842,0.987202,1.036101,1.023555,0.000000,1.073506,0.000000,1.047665,0.852836,0.908924,0.950761,1.027766,0.965997,1.010462,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.7,0.3,0.0,16,tsoft,1.022934,1.015206,0.992445,1.036101,1.029067,0.000000,1.073506,0.000006,1.058973,0.852836,0.905127,0.932375,1.027766,0.961961,0.990921,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.3,0.7,0.0,16,uniform,1.285270,1.079011,0.839521,1.304005,1.093895,0.000017,1.700413,0.000001,1.196606,0.802825,1.022487,1.236940,0.967483,1.086689,1.314608,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.3,0.7,0.0,16,tsoft,1.285270,1.038559,0.808048,1.304005,1.053423,0.000017,1.700413,0.000001,1.109698,0.802825,0.968686,1.017760,0.967483,1.029510,1.081667,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.7,0.3,0.0,16,uniform,1.179344,1.069951,0.907243,1.195687,1.083807,0.000193,1.429475,0.000072,1.174567,0.795942,0.992218,1.147465,0.959187,1.054518,1.219515,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.7,0.3,0.0,16,tsoft,1.179344,1.039477,0.881403,1.195687,1.053204,0.000193,1.429475,0.000015,1.109224,0.795942,0.953663,0.992410,0.959187,1.013544,1.054725,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.3,0.7,0.0,16,uniform,1.136893,1.032404,0.908093,1.151412,1.046984,0.000037,1.325714,0.000012,1.096165,0.805702,0.942554,1.052854,0.970953,1.001737,1.118964,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.3,0.7,0.0,16,tsoft,1.136893,1.021487,0.898490,1.151412,1.034997,0.000037,1.325714,0.000001,1.071218,0.805702,0.923869,0.960147,0.970953,0.981880,1.020436,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.7,0.3,0.0,16,uniform,1.069062,1.016468,0.950804,1.083574,1.030751,0.000140,1.173993,0.000089,1.062358,0.797442,0.922386,1.012892,0.961001,0.980302,1.076493,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.7,0.3,0.0,16,tsoft,1.069062,1.013411,0.947944,1.083574,1.027687,0.000140,1.173993,0.000116,1.056025,0.797442,0.914131,0.950127,0.961001,0.971530,1.009787,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.3,0.7,0.0,16,uniform,1.030805,1.004766,0.974739,1.045128,1.018600,0.000017,1.092277,0.000109,1.037437,0.836094,0.926688,0.972422,1.007578,0.984876,1.033483,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.3,0.7,0.0,16,tsoft,1.030805,1.009299,0.979136,1.045128,1.022894,0.000017,1.092277,0.000083,1.046229,0.836094,0.917837,0.941592,1.007578,0.975469,1.000717,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.7,0.3,0.0,16,uniform,1.015571,1.007761,0.992309,1.028876,1.021190,0.000066,1.058520,0.000054,1.042776,0.864172,0.921107,0.963362,1.041427,0.978945,1.023854,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.7,0.3,0.0,16,tsoft,1.015571,1.012165,0.996646,1.028876,1.025980,0.000066,1.058520,0.000056,1.052579,0.864172,0.916245,0.943650,1.041427,0.973778,1.002905,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.3,0.7,0.0,16,uniform,1.305541,1.092456,0.836785,1.325157,1.107374,0.000914,1.755128,0.000178,1.226098,0.799224,1.017811,1.231210,0.963144,1.081718,1.308517,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.3,0.7,0.0,16,tsoft,1.305541,1.048513,0.803125,1.325157,1.063060,0.000914,1.755128,0.000012,1.130084,0.799224,0.966837,1.015696,0.963144,1.027545,1.079473,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.7,0.3,0.0,16,uniform,1.156332,1.055519,0.912816,1.172747,1.069978,0.000001,1.375334,0.000005,1.144848,0.800132,0.996376,1.149545,0.964237,1.058938,1.221727,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.7,0.3,0.0,16,tsoft,1.156332,1.026047,0.887329,1.172747,1.040442,0.000001,1.375334,0.000045,1.082474,0.800132,0.956737,0.994847,0.964237,1.016811,1.057315,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.3,0.7,0.0,16,uniform,1.135761,1.034286,0.910655,1.150139,1.047181,0.000055,1.322765,0.000085,1.096503,0.807225,0.943696,1.054223,0.972790,1.002951,1.120419,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.3,0.7,0.0,16,tsoft,1.135761,1.020709,0.898700,1.150139,1.034919,0.000055,1.322765,0.000029,1.071029,0.807225,0.926754,0.963754,0.972790,0.984945,1.024269,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.7,0.3,0.0,16,uniform,1.070777,1.024331,0.956624,1.084061,1.036956,0.000211,1.174977,0.000018,1.075260,0.801665,0.926577,1.016346,0.966090,0.984757,1.080164,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.7,0.3,0.0,16,tsoft,1.070777,1.018128,0.950831,1.084061,1.030727,0.000211,1.174977,0.000009,1.062388,0.801665,0.916704,0.952795,0.966090,0.974265,1.012623,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.3,0.7,0.0,16,uniform,1.040408,1.019606,0.980006,1.054032,1.033568,0.000009,1.110974,0.000008,1.068256,0.835663,0.925781,0.970837,1.007058,0.983911,1.031798,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.3,0.7,0.0,16,tsoft,1.040408,1.026953,0.987068,1.054032,1.041041,0.000009,1.110974,0.000051,1.083714,0.835663,0.917355,0.941369,1.007058,0.974956,1.000479,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.7,0.3,0.0,16,uniform,1.023121,1.010145,0.987318,1.035795,1.022201,0.000044,1.072828,0.000016,1.044878,0.856221,0.913176,0.955121,1.031845,0.970516,1.015095,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.7,0.3,0.0,16,tsoft,1.023121,1.014504,0.991578,1.035795,1.026431,0.000044,1.072828,0.000012,1.053549,0.856221,0.908248,0.935392,1.031845,0.965278,0.994127,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.3,0.7,0.0,16,uniform,1.297665,1.086208,0.837048,1.318762,1.102272,0.001206,1.737927,0.000531,1.214471,0.787497,1.009304,1.226796,0.949013,1.072677,1.303826,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.3,0.7,0.0,16,tsoft,1.297665,1.037319,0.799374,1.318762,1.052240,0.001206,1.737927,0.000257,1.106951,0.787497,0.953132,1.002031,0.949013,1.012980,1.064950,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.7,0.3,0.0,16,uniform,1.187931,1.072567,0.902887,1.203783,1.086414,0.000053,1.449039,0.000002,1.180294,0.799138,0.993881,1.148994,0.963039,1.056286,1.221140,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.500000,0.7,0.3,0.0,16,tsoft,1.187931,1.038419,0.874140,1.203783,1.052121,0.000053,1.449039,0.000038,1.106921,0.799138,0.953663,0.992134,0.963039,1.013544,1.054432,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.3,0.7,0.0,16,uniform,1.126353,1.035571,0.919402,1.143070,1.050360,0.000034,1.306576,0.000077,1.103180,0.805797,0.941353,1.050691,0.971067,1.000460,1.116664,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.3,0.7,0.0,16,tsoft,1.126353,1.028946,0.913520,1.143070,1.043453,0.000034,1.306576,0.000085,1.088710,0.805797,0.924029,0.960578,0.971067,0.982049,1.020894,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.7,0.3,0.0,16,uniform,1.081881,1.031248,0.953199,1.096568,1.045671,0.000088,1.202373,0.000000,1.093427,0.803724,0.930602,1.021624,0.968571,0.989034,1.085774,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.300000,0.7,0.3,0.0,16,tsoft,1.081881,1.026915,0.949194,1.096568,1.041484,0.000088,1.202373,0.000002,1.084688,0.803724,0.922449,0.958952,0.968571,0.980370,1.019166,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.3,0.7,0.0,16,uniform,1.033739,1.012109,0.979076,1.047645,1.025437,0.000098,1.097462,0.000055,1.051466,0.836208,0.928974,0.974620,1.007717,0.987306,1.035818,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.3,0.7,0.0,16,tsoft,1.033739,1.018379,0.985142,1.047645,1.031717,0.000098,1.097462,0.000074,1.064365,0.836208,0.921353,0.945288,1.007717,0.979205,1.004644,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.7,0.3,0.0,16,uniform,1.012435,1.002266,0.989956,1.026565,1.015952,0.000187,1.053648,0.000296,1.031863,0.861021,0.916429,0.957760,1.037631,0.973973,1.017900,0,0.300,1.000,2.000,3.000,0.000
250,0.300000,0.100000,0.7,0.3,0.0,16,tsoft,1.012435,1.007513,0.995138,1.026565,1.021192,0.000187,1.053648,0.000376,1.042457,0.861021,0.911997,0.938908,1.037631,0.969263,0.997864,0,0.300,1.000,2.000,3.000,0.000
