"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Contribution"
"RPI",0.095,0.0648754604555347,0.0061631687432758,0.971106172502956,0.799011075874801,0.00106065112040967
"W875RX1",0.081,0.0147001027891803,0.0011907083259236,0.87158276616297,0.765215263787278,0.000126652670686436
"CMRMTSPLx",0.089,0.564637933536606,0.0502527760847579,0.430669635043857,0.904066546472529,-0.0237895089892411
"RETAILx",0.079,-0.115259680910578,-0.00910551479193564,0.512999298022976,0.814351048560874,0.00274396282209853
"IPFPNSS",0.086,1.65532833687162,0.14235823697096,0.203540159387194,0.819351755909331,-0.0876658531871634
"IPFINAL",0.124,1.02763895037796,0.127427229846868,0.252890040102871,0.789147754533065,-0.0683338350338522
"IPCONGD",0.091,0.688102606851045,0.0626173372234451,0.369854911587231,0.818017224543269,-0.0280627306812074
"IPDCONGD",0.097,0.506228109980738,0.0491041266681316,0.522060053222728,0.889263023874066,-0.0180311811837775
"IPNCONGD",0.097,0.361237275793609,0.0350400157519801,0.576299273361602,0.804061482506928,-0.00798079139615799
"IPBUSEQ",0.095,0.812589475409301,0.0771960001638836,0.389888518517356,0.812438398712976,-0.0326191606208301
"IPMAT",0.092,2.61451168498995,0.240535075019075,0.617689212431394,0.87974439926699,-0.0630334640246379
"IPDMAT",0.091,2.1209064269155,0.193002484849311,0.703885073199784,0.9426923796674,-0.0460904035484208
"IPNMAT",0.101,1.08577218514757,0.109662990699905,0.3872158674187,0.707103754124918,-0.0350798623448763
"IPMANSICS",0.091,2.16742458639913,0.197235637362321,0.368848684222756,0.861918207041438,-0.0972508815970781
"IPB51222S",0.092,-0.732548029100557,-0.0673944186772512,0.851044935756762,0.858994292028909,0.000535742244819707
"IPFUELS",0.081,-0.289738525992099,-0.02346882060536,0.793129701625683,0.851845489200741,0.00137799028530146
"CUMFNS",0.108,1.30628923787384,0.141079237690375,0.595067123704807,0.808234185918427,-0.0300734466377942
"CLF16OV",0.094,-4.60425634915112,-0.432800096820205,0.841133947985395,0.856361677415147,0.00659056277154857
"CE16OV",0.115,0.206434909004171,0.0237400145354797,0.643434367889717,0.777681425651277,-0.00318702710260481
"UNRATE",0.085,0.619201042120976,0.052632088580283,0.111516960717095,0.932114768433743,-0.0431897765045287
"UEMPMEAN",0.113,-0.607449118394369,-0.0686417503785637,0.581699240371547,0.854158299203223,0.0187020667047023
"UEMPLT5",0.107,0.315953292938219,0.0338070023443894,0.188585600608415,0.904923786614444,-0.0242172467336815
"UEMP5TO14",0.092,0.337874152503185,0.031084422030293,0.451953772387226,0.898284298456653,-0.0138739264373448
"UEMP15OV",0.094,0.587877012589769,0.0552604391834383,0.554515525016086,0.894872645508077,-0.0188082839575978
"UEMP15T26",0.099,0.593973118549905,0.0588033387364406,0.837961420638944,0.893191273759578,-0.00324769976141647
"UEMP27OV",0.093,0.222761690377558,0.0207168372051129,0.575626420741693,0.874469590732376,-0.00619108530255685
"CLAIMSx",0.096,0.442330435646862,0.0424637218220988,0.714233857312396,0.864588222429565,-0.00638460593507373
"PAYEMS",0.108,0.758017657160953,0.081865906973383,0.270110671700885,0.719220535283855,-0.0367667863129121
"USGOOD",0.123,1.01926440854948,0.125369522251586,0.491333077449085,0.788046026492729,-0.0371987606674608
"CES1021000001",0.101,0.101694363047209,0.0102711306677681,0.815132988769762,0.84038038337686,-0.000259319289030202
"USCONS",0.106,-0.0327444387214794,-0.00347091050447681,1.0632961436591,0.967024213310872,-0.00033415125433192
"MANEMP",0.089,1.17051428992841,0.104175771803629,0.117599789273992,0.671374242597754,-0.0576898810801355
"DMANEMP",0.117,1.33599993678477,0.156311992603818,0.2025464984454,0.746679490795637,-0.0850545122757439
"NDMANEMP",0.091,0.239649322066452,0.0218080883080471,0.153216905444187,0.536858464512029,-0.00836648899878837
"SRVPRD",0.11,0.110978866414001,0.0122076753055401,0.104514057312155,0.604647615695006,-0.00610546809014224
"USTPU",0.097,0.265237422311071,0.0257280299641739,0.230141321404931,0.648550495511052,-0.0107648437686875
"USWTRADE",0.082,0.448408418066621,0.0367694902814629,0.402729979018224,0.663164453630071,-0.00957604288319822
"USTRADE",0.104,-0.140286969252242,-0.0145898448022332,0.39330232384136,0.640848499215295,0.00361166028009209
"USFIRE",0.107,0.185245351691527,0.0198212526309934,0.834280468703485,0.715916910754731,0.00234611398440548
"USGOVT",0.121,-1.01167375211111,-0.122412524005444,0.630739424125037,0.778953153624853,0.0181432167203325
"CES0600000007",0.104,-0.147748420212203,-0.0153658357020691,0.560547865943306,1.21634375646498,0.0100768519078481
"AWOTMAN",0.099,0.265393247124939,0.026273931465369,0.822355344541315,0.830916289629574,-0.000224929684527707
"AWHMAN",0.114,0.766588071916262,0.0873910401984539,0.643537817314788,1.23425956644634,-0.0516237881244564
