"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Shapley"
"RPI",0.062,0.190220034761921,0.0117936421552391,0.556350944748241,0.777390089987101,-0.00260685658124703
"W875RX1",0.06,0.165252358927749,0.00991514153566497,0.360125516931387,0.777223422341535,-0.00413558476637102
"DPCERA3M086SBEA",0.061,0.292006657708392,0.0172283928047951,0.784200545232894,0.820647195316589,-0.000627917204060827
"CMRMTSPLx",0.073,0.476593522204762,0.0347913271209476,0.165712514556149,0.836857779710647,-0.0233500344656653
"RETAILx",0.06,0.147979981817879,0.00784293903634761,0.646968098245426,0.795263139393062,-0.00116306896711356
"INDPRO",0.064,0.597487046773037,0.0370441968999283,1.03274606979711,0.80373886477131,0.00848338799447791
"IPFPNSS",0.07,0.638365054616785,0.044685553823175,1.05034188313535,0.744504350967515,0.0136665195048329
"IPFINAL",0.055,0.564254011134461,0.0299054625901265,1.09382215343661,0.755615909225685,0.0101142141839969
"IPCONGD",0.059,0.489909741429942,0.0259652162957869,0.805292511171585,0.785981026651567,0.000501426872555005
"IPDCONGD",0.067,0.303720369569263,0.0203492647611406,0.746911632850966,0.827456224991204,-0.00163902323053979
"IPNCONGD",0.063,0.140768685802757,0.0068976656043351,0.822039061367863,0.801853970237532,0.000139230008810056
"IPBUSEQ",0.062,0.280800268134369,0.0154440147473903,1.15763700764699,0.800141991665591,0.00552115829893533
"IPMAT",0.059,0.443655605608127,0.0230700914916226,0.961479202139137,0.850562627005906,0.00255885553626109
"IPDMAT",0.062,0.488282218252196,0.0292969330951317,1.02441217390867,0.891807409267744,0.00388491291778099
"IPNMAT",0.063,0.0909705862266639,0.00409367638019988,0.672163662584846,0.74417190507669,-0.000294778441468566
"IPMANSICS",0.059,0.575770468551736,0.0328189167074489,0.898735017607821,0.812338207566663,0.00283544971253006
"IPB51222S",0.056,1.18436747224257e-16,3.55310241672772e-18,0.787519982065898,0.854035706696737,-2.36337181936229e-19
"IPFUELS",0.063,4.78715548016994e-17,1.43614664405098e-18,0.76294134723105,0.848378191606918,-1.22699837328709e-19
"CUMFNS",0.058,0.331910683893127,0.0165955341946563,1.15688543700478,0.842604485183577,0.00521566028267798
"CLF16OV",0.069,3.13292624984689e-16,1.00253639995101e-17,0.792503473637596,0.845615898969932,-5.32471396853464e-19
"CE16OV",0.072,0.236698377128269,0.0139652042505678,1.19367360787237,0.713055972201047,0.00671192344857503
"UNRATE",0.063,0.424197206118485,0.0267244239854645,1.56695523933452,0.850600706763534,0.0191441622523364
"UEMPMEAN",0.063,0.0643713389980778,0.00238173954292888,0.639072262754481,0.825036269548768,-0.000442917828543448
"UEMPLT5",0.062,0.0765884965866382,0.00367624783615863,1.25786257498337,0.895385995556866,0.00133255374077487
"UEMP5TO14",0.062,0.410269827212466,0.0254367292871729,0.999577336307866,0.88466016719592,0.00292311692114886
"UEMP15OV",0.057,0.247710648291067,0.0133763750077176,0.941117603916797,0.851061701539709,0.00120462152185433
"UEMP15T26",0.052,0.238738130559999,0.01241438278912,1.14776515236019,0.865226224375952,0.00350754640482395
