"","Var","Selected","Mean_OLS","Prediction","Hist_mean","Shapley"
"1","AAA",0.009,0.647399940058067,0.762691091405499,0.813676371494863,-0.000297070805463285
"2","AAAFFM",0.002,-0.0683840853267653,0.809825387056717,0.937030055326969,1.73975497779116e-05
"3","ACOGNO",0.005,0.195485630715677,0.511375934399649,0.810138488599186,-0.000292018931709616
"4","AMBSL",0.024,0.0306950993809998,0.830385587532967,0.848778654329894,-1.35498483180734e-05
"5","AMDMNOx",0.031,0.0963059248859765,0.963371954871417,0.805556352517776,0.000471155903929251
"6","AMDMUOx",0.018,0.0324530789529647,0.703984468548691,0.787190468930259,-4.86052361953818e-05
"7","ANDENOx",0.003,-0.124157464895316,0.803473817045486,0.74557988744827,-2.15638905948545e-05
"8","AWHMAN",0.074,-0.0610199384906936,1.11693679208005,1.12325029836919,2.85084826413696e-05
"9","AWOTMAN",0.014,0.00941035007717951,0.753660204739259,0.844451230729008,-1.19612547380177e-05
"10","BAA",0.018,1.30048846284601,0.784679132579691,0.821770810563156,-0.000868271387131712
"11","BAAFFM",0.001,0.098030582570985,0.743526787127569,0.872595778030274,-1.26527083700413e-05
"12","BUSINVx",0.061,0.0069916619255366,0.594481134975511,0.790111006948114,-8.34344535694754e-05
"13","BUSLOANS",0.006,-0.874010949566637,0.806169637209719,0.829926685792876,0.000124583523546395
"14","CE16OV",0.042,-0.241624176178429,0.90929137591802,0.72047235243896,-0.00191617612178762
"15","CES0600000007",0.048,0.0885447620186412,1.16063597158085,1.09331306145682,0.000286132370656032
"16","CES0600000008",0.001,-0.319562520158059,0.68365012261038,0.829669388209046,4.66622845063387e-05
"17","CES1021000001",0.006,0.00157910683234499,0.620619137428613,0.843212017741536,-2.10898762880092e-06
"18","CES2000000008",0.006,0.844863155282679,0.795083917245876,0.829176909900361,-0.000172823480082584
"19","CES3000000008",0.003,-0.224159263939997,0.944184590692276,0.826955755358573,-7.88337883228385e-05
"20","CLAIMSx",0.027,0.156713310122822,0.778131775695723,0.881027679485746,-0.000435379257387375
"21","CLF16OV",0.007,-0.362082805124987,0.783504454641948,0.820793526586866,9.45121223922636e-05
"22","CMRMTSPLx",0.217,0.253502882999764,0.466026271574194,0.837618929646156,-0.020441358796645
"23","COMPAPFFx",0.033,0.114771065253864,0.783995744089094,0.834018724199569,-0.000189459293576916
"24","CONSPI",0.006,0.141515623782293,0.796726223977062,0.880755215959753,-7.13484912973666e-05
"25","CP3Mx",0.446,1.78768075490924,0.78015848760904,0.824729540253263,-0.0355367506150033
"26","CPIAPPSL",0.005,1.87762171684087,0.763706015014942,0.829101419439539,-0.000613939157646076
"27","CPIAUCSL",0.002,0.762928587606863,0.847346311576702,0.834135654735849,2.01575755299023e-05
"28","CPIMEDSL",0.007,-0.0656288435411873,0.832817665100438,0.828115609143589,-2.16013346299772e-06
"29","CPITRNSL",0.001,0.62125832991512,0.93301044998837,0.838294324614115,5.88431818660408e-05
"30","CPIULFSL",0.001,0.625420447632469,0.886154137444861,0.834204206689655,3.2490548947397e-05
"31","CUMFNS",0.061,-0.380596566115995,0.822396408482096,0.86207103450666,0.000921101612040026
"32","CUSR0000SA0L5",0.002,0.93108541795135,0.821593164650491,0.833436737173468,-2.20547553451863e-05
"33","CUSR0000SAC",0.001,0.665672557659437,0.847977143753131,0.836065572579429,7.92920604894108e-06
"34","CUSR0000SAS",0.002,0.346101360646484,0.780546463891585,0.830115528216375,-3.43118412175659e-05
"35","CUUR0000SA0L2",0.008,-0.363080771165133,0.763992999974294,0.834561534747354,0.000204976624203169
"36","CUUR0000SAD",0.004,-0.0739584438728871,0.813946173418723,0.829192484412212,4.51037374352223e-06
"37","DDURRG3M086SBEA",0.008,0.317706904187686,0.886902553750035,0.82885939554221,0.000147525696827874
"38","DMANEMP",0.181,-0.0580213113429517,0.712489570311714,0.744208633206224,0.000333109073891333
"39","DNDGRG3M086SBEA",0.002,0.553755895401005,0.880121908002285,0.836228552911617,4.86124083007739e-05
"40","DPCERA3M086SBEA",0.146,0.337065096318304,0.556382142250667,0.768908789309375,-0.0104587559551133
"41","DSERRG3M086SBEA",0.004,0.108627677038961,0.786280445436582,0.832818818459551,-2.02214214186308e-05
"42","DTCOLNVHFNM",0.001,0.15069699488419,0.662721052643844,0.832631278231138,-2.56049603961e-05
"43","DTCTHFNM",0.005,0.185291382429337,0.701941880546064,0.837111768393459,-0.000125229076910311
"44","EXCAUSx",0.005,-0.145903110545918,0.767022720860111,0.828831304151512,4.50903228032593e-05
"45","EXJPUSx",0.005,0.238198909057597,0.748075801774051,0.825187192339576,-9.18392455431122e-05
"46","EXSZUSx",0.012,0.0817906716894003,0.847577625067109,0.831975919434013,1.53128877987738e-05
"47","EXUSUKx",0.001,-0.760678259850232,0.761363082977939,0.827693665648931,5.0456232201022e-05
"48","FEDFUNDS",0.041,-0.546913798847566,0.763823855859247,0.826763717561107,0.0014113298333545
"49","GS1",0.119,0.498031454956241,0.816027872393188,0.822283211516825,-0.000370727321753797
"50","GS10",0.008,0.697623629930964,0.816613085298812,0.813884702201161,1.52270761634028e-05
"51","GS5",0.023,0.664804719294017,0.854552483624182,0.816249627983952,0.000585670141417446
"52","HOUST",0.047,0.231434833295637,0.551200563205656,0.656148085568081,-0.00114156008010868
"53","HOUSTMW",0.102,0.32537334051267,0.431790671205956,0.603566071725259,-0.00570089586025646
"54","HOUSTNE",0.028,0.027833736632786,0.628326162683202,0.476756008607126,0.00011812538499844
"55","HOUSTS",0.034,-0.0574000410058015,0.697045922248063,0.807070883598732,0.000214724867968465
"56","HOUSTW",0.034,0.0300848390704082,0.561250837483795,0.709838333393123,-0.00015198785067844
"57","INDPRO",0.528,0.452310970466437,0.130766793103887,0.803334809976236,-0.160622823195764
"58","INVEST",0.011,0.207915615465569,0.518374358451323,0.833174837560635,-0.000719971288991555
"59","IPB51222S",0.004,-0.556783811037454,0.786176627136093,0.83416695043139,0.0001068809403891
"60","IPBUSEQ",0.252,0.0256366154742052,0.488389524968191,0.808289460113607,-0.00206669021014165
"61","IPCONGD",0.104,-0.0209135163347835,0.255077475067944,0.753990828407075,0.00108513938672875
"62","IPDCONGD",0.044,0.103330571653412,0.798936962044428,0.827823738791814,-0.000131335034799407
"63","IPDMAT",0.478,0.338439261213563,0.706145271529235,0.881822179002819,-0.0284199502077135
"64","IPFINAL",0.448,-0.601634684111182,0.139658823587774,0.73834112330042,0.161364240249217
"65","IPFPNSS",0.657,0.711986430668418,0.22949814868598,0.735856842533735,-0.236861981029374
"66","IPMANSICS",0.576,-0.117343470595505,0.713947632517553,0.802485280856178,0.00598424540222509
"67","IPMAT",0.221,-0.362825812034018,0.225033858034474,0.849885075604355,0.0501033852417673
"68","IPNCONGD",0.011,-0.251482471058848,0.308593731163276,0.766035183763643,0.00126542357551158
"69","IPNMAT",0.005,-0.247471003854489,0.826078110953277,0.736466410809294,-0.000110881486958694
"70","ISRATIOx",0.001,0.0983251612009481,0.451801206222413,0.864416295354087,-4.05704451528155e-05
"71","M1SL",0.011,0.224353930071244,0.585783910129289,0.841484735044313,-0.000631042334913591
"72","M2REAL",0.004,0.103164225470645,0.773371225031672,0.83151653419173,-2.39940631369945e-05
"73","M2SL",0.003,0.97276895791772,0.698937981638692,0.835299916803805,-0.000397945972710631
"74","MANEMP",0.128,-0.431500394415932,0.812037317022707,0.690816817381246,-0.00669525675604313
"75","MZMSL",0.012,1.27586669282353,0.643564819707931,0.832523721253031,-0.00289303642552696
"76","NAPM",0.136,-0.0192691099155853,0.473721176043673,0.785331757353661,0.000816606361728533
"77","NAPMEI",0.031,-0.0229261884877252,0.75976350153053,0.864387071368169,7.43572101530481e-05
"78","NAPMII",0.01,-0.0252744582203662,0.65115193295302,0.77170202293793,3.04683821278499e-05
"79","NAPMNOI",0.155,0.158257210212733,0.4172872915851,0.836817737506674,-0.0102910262854821
"80","NAPMPI",0.113,0.0494314214953234,0.394049658458551,0.835640165672983,-0.00246661445342088
"81","NAPMPRI",0.003,-0.813280346960297,0.578953305819696,0.791827968972415,0.000519380339723698
"82","NAPMSDI",0.017,-0.671089417745543,0.698997980671501,0.822150569536493,0.00140498878563949
"83","NDMANEMP",0.022,-0.610683286716117,1.07612946864541,0.598834167505187,-0.00641247779115841
"84","NONBORRES",0.002,-0.0203243384542448,0.760625871417542,0.855403883892978,3.85260080714279e-06
"85","NONREVSL",0.004,0.127339032436681,0.674845286448611,0.846323338015036,-8.73433966823833e-05
"86","OILPRICEx",0.012,-0.199007805472999,0.732641691323588,0.833143765498141,0.000240008366723549
"87","PAYEMS",0.41,0.124096407487982,0.868210061679386,0.641471072056261,0.0115363725603707
"88","PCEPI",0.001,0.605086714833998,0.824742867920003,0.835261166948117,-6.36448300456325e-06
"89","PERMIT",0.039,0.284195169030864,0.706218613929277,0.802474640384046,-0.00106686441063354
"90","PERMITMW",0.067,0.101016631548229,0.530611102684442,0.725216769990535,-0.00131711340242761
"91","PERMITNE",0.025,0.214017694701956,0.561795181218483,0.512643568491384,0.000262982871168424
"92","PERMITS",0.022,0.337852993366149,0.838908383983972,0.908285765666333,-0.000515665833612412
"93","PERMITW",0.032,-0.0442074490248363,0.67638148909066,0.732235100720792,7.90126620477456e-05
"94","PPICMM",0.003,0.00812672097908039,0.642375052182875,0.836537506271126,-4.73371226696616e-06
"95","PPICRM",0.003,0.53300452050351,0.706872991877683,0.830928499092215,-0.000198366438416104
"96","PPIFCG",0.003,0.171696634554273,1.23016494051336,0.836638761724669,0.000202701361521062
"97","PPIFGS",0.001,0.451642962568316,1.15584613891997,0.835531240756231,0.000144667969561439
"98","PPIITM",0.005,0.139749777890371,0.965688934418396,0.844102211406188,8.49585876768706e-05
"99","REALLN",0.003,0.357214629552695,0.86140244373254,0.833640207523613,2.97512307687784e-05
"100","RETAILx",0.004,0.122680353242073,0.583839689144461,0.771835751751151,-9.22536934748301e-05
"101","RPI",0.011,-0.0221567098464849,0.810348421542662,0.766931206844643,-1.0581808912472e-05
"102","S&P 500",0.015,1.0243914661414,0.906775922994973,0.833870773661909,0.00112025119221833
"103","SRVPRD",0.369,0.473590330383068,0.735234878161783,0.516389196975896,0.0382443402301651
"104","T10YFFM",0.003,-0.0227360779538505,0.848508008052784,0.931856666706372,5.68506480149057e-06
"105","T1YFFM",0.017,-0.285471342853031,0.843458451882628,0.864378504879185,0.000101525285565223
"106","T5YFFM",0.004,0.0451345977937881,0.860273596554628,0.906017887745784,-8.25860073709904e-06
"107","TB3MS",0.062,-1.24606820877111,0.804579414241258,0.82368556816519,0.001476069401783
"108","TB3SMFFM",0.005,-0.799210453010183,0.930226215160834,0.993006311552059,0.000250872546384267
"109","TB6MS",0.089,-0.21538256186065,0.827494828178565,0.823079649041723,-8.46347808274465e-05
"110","TB6SMFFM",0.007,-0.869987023451066,0.919109539932417,0.951189247999162,0.000195362508139168
"111","TOTRESNS",0.004,-0.510226583339466,0.74589359482311,0.83996044324259,0.00019198162669833
"112","TWEXMMTH",0.002,0.46494543349968,0.644897580816095,0.733713935082302,-8.25895166723257e-05
"113","UEMP15OV",0.188,0.265833327869308,0.780891487838531,0.889727495519944,-0.00543926076542441
"114","UEMP15T26",0.164,0.197241777806797,0.513424318751032,0.885497162900217,-0.0120356827175931
"115","UEMP27OV",0.045,0.0423777319430479,0.876339724224562,0.861570267412079,2.81653236784711e-05
"116","UEMP5TO14",0.217,0.29676263127319,0.627439553525977,0.888865204557897,-0.016835156005911
"117","UEMPLT5",0.007,0.0530985193842856,0.662137950127861,0.877171828270254,-7.99258638277536e-05
"118","UEMPMEAN",0.009,0.309995074968116,0.429305220205034,0.81869029601072,-0.00108636710189264
"119","UNRATE",0.413,0.250320910489844,0.992147840215973,0.920203420992467,0.00743779651269742
"120","USCONS",0.177,0.140637391661126,1.12829831511576,0.846933841279891,0.00700395473002963
"121","USFIRE",0.059,0.297853768254184,0.714277301644661,0.628617732850521,0.00150532749578943
"122","USGOOD",0.208,-0.249792993977798,0.995865484687042,0.754793364733809,-0.0125253703344001
"123","USGOVT",0.004,-0.0212690769709386,0.651127193786571,0.722140600547468,6.04155845746429e-06
"124","USTPU",0.117,-0.190728711083601,0.860650030408538,0.629809963093315,-0.00515125593514166
"125","USTRADE",0.059,-0.0417709452990493,0.920018863756678,0.60251141325357,-0.000782492594473349
"126","USWTRADE",0.087,-0.11125748806856,0.825123324232302,0.669285794931688,-0.00150841400894133
"127","VXOCLSx",0.012,-0.180803842312799,0.883982831379915,0.799279468198226,-0.00018377632224079
"128","W875RX1",0.017,0.0194914919228747,0.837855364663986,0.77609488747972,2.04646653172302e-05
