k,q,n_subsets,pi_q,p_required,survival_pass,Delta_q,delta_threshold,dispersion_pass,eta_threshold,selected_rank
4,1,5000,0.3298,0.75,FALSE,0.5239977918301152,0.7621688726261628,TRUE,2.5069346387591027,0
4,2,5000,0,0.55,FALSE,0.40361613957549747,0.6831833465094305,TRUE,1.4333344228607146,0
4,3,5000,0,0.55,FALSE,0.4048404502585487,0.6732211660156983,TRUE,0.9255484579834103,0
4,4,5000,0,0.55,FALSE,0.4116951619734429,0.6749310934194267,TRUE,0.5344115923206177,0
5,1,5000,0.357,0.75,FALSE,0.4827101561993087,0.7212736768977486,TRUE,2.9088329192353406,0
5,2,5000,0.002,0.55,FALSE,0.3375461462080457,0.654080530368544,TRUE,1.67850375991994,0
5,3,5000,0,0.55,FALSE,0.36756099973682305,0.639899655698514,TRUE,1.070282665329724,0
5,4,5000,0,0.55,FALSE,0.3525470965275076,0.6410086871785972,TRUE,0.7000995744756214,0
5,5,5000,0,0.55,FALSE,0.3827654920546132,0.6457219971683007,TRUE,0.38182144665895473,0
6,1,5000,0.479,0.75,FALSE,0.43828533292753313,0.6888167754182849,TRUE,3.204106675231472,0
6,2,5000,0.0184,0.55,FALSE,0.2816731513015105,0.6129089427119111,TRUE,1.9392677890409553,0
6,3,5000,0,0.55,FALSE,0.33950184920047705,0.5952926802926852,TRUE,1.2380995543556008,0
6,4,5000,0,0.55,FALSE,0.3123686150794276,0.5965869797465149,TRUE,0.8203589601552849,0
6,5,5000,0,0.55,FALSE,0.33241504917774833,0.6012514874869438,TRUE,0.5017650918086969,0
7,1,5000,0.523,0.75,FALSE,0.40036497525506076,0.6851903840739528,TRUE,3.5803782185271156,0
7,2,5000,0.0346,0.55,FALSE,0.24172334839763832,0.5850251591433354,TRUE,2.1789128721738327,0
7,3,5000,0,0.55,FALSE,0.32117878442513986,0.5714202711153968,TRUE,1.4035023115185719,0
7,4,5000,0,0.55,FALSE,0.28559919248294974,0.5702774594365024,TRUE,0.9435317693512218,0
7,5,5000,0,0.55,FALSE,0.28992360450544485,0.5706343576841748,TRUE,0.6064660450272112,0
8,1,5000,0.5542,0.75,FALSE,0.36810339369500167,0.6147305310699296,TRUE,3.951956844140423,0
8,2,5000,0.0616,0.55,FALSE,0.20091766143263556,0.5269135388307642,TRUE,2.410247050399485,0
8,3,5000,0,0.55,FALSE,0.3022528762315327,0.5166664144943186,TRUE,1.5556401795121555,0
8,4,5000,0,0.55,FALSE,0.2591588165654872,0.5296108637718827,TRUE,1.0450718989547019,0
8,5,5000,0,0.55,FALSE,0.2542397763391165,0.5325805480714283,TRUE,0.6955505829736888,0
9,1,5000,0.6762,0.75,FALSE,0.3396302094053537,0.6008722330260189,TRUE,4.21834572729067,0
9,2,5000,0.114,0.55,FALSE,0.16929376562145293,0.475277287038619,TRUE,2.6523891393042494,0
9,3,5000,0,0.55,FALSE,0.2864282072018322,0.48359144315305286,TRUE,1.729019749539224,0
9,4,5000,0,0.55,FALSE,0.24110315492299006,0.4944515597111014,TRUE,1.1702150637379425,0
9,5,5000,0,0.55,FALSE,0.220554571907046,0.4974730226498319,TRUE,0.790578880636632,0
10,1,5000,0.7588,0.75,TRUE,0.30627674825107154,0.5608322144842574,TRUE,4.4907424152082625,1
10,2,5000,0.1436,0.55,FALSE,0.14531300541298553,0.4448486049209054,TRUE,2.910548998308347,1
10,3,5000,0,0.55,FALSE,0.27525117866295873,0.4501248874629924,TRUE,1.8807867294367742,1
10,4,5000,0,0.55,FALSE,0.22802591393739302,0.46816959224062304,TRUE,1.2764904124012413,1
10,5,5000,0,0.55,FALSE,0.19332464931578136,0.46833116431587857,TRUE,0.8668518088227183,1
