"label","sigma","T_len","beta","k_star","sqrt_T","C_Q_nls","alpha_Q_nls","R2_Q_nls","alpha_Q_ols","R2_Q_ols_log","R2_Q_ols_lin","n_rmsfe_pts","alpha_rmsfe_nls","R2_rmsfe_nls","alpha_rmsfe_ols","R2_rmsfe_ols_log"
"factor_T200_B2","factor",200,"B2",14,14,0.6537,0.498,0.9425,0.928,0.9157,-1.0569,4,1.02,0.9663,1.494,0.872
"factor_T200_B4","factor",200,"B4",14,14,0.6668,0.506,0.9559,0.914,0.916,-0.8297,4,1.106,0.9713,1.664,0.8764
"toeplitz_T200_B2","toeplitz",200,"B2",11,14,0.6089,0.468,0.9404,0.877,0.9035,-0.9618,3,1.387,0.9789,1.995,0.8953
"toeplitz_T200_B4","toeplitz",200,"B4",11,14,0.699,0.546,0.9844,0.88,0.9238,-0.1183,3,1.35,0.9889,1.668,0.9478
"factor_T100_B4","factor",100,"B4",14,10,0.9988,0.436,0.9427,0.768,0.8966,-0.2521,3,1.301,0.978,2.414,0.8184
"factor_T150_B4","factor",150,"B4",14,12,0.7761,0.482,0.9513,0.844,0.9126,-0.3584,3,1.212,0.9708,2.125,0.8261
"factor_T200_B4","factor",200,"B4",14,14,0.6601,0.493,0.9477,0.878,0.9161,-0.5086,3,0.946,0.969,1.222,0.9082
"factor_T300_B4","factor",300,"B4",18,17,0.5256,0.505,0.9365,0.948,0.9159,-1.027,4,0.835,0.9573,1.221,0.8676
"factor_T500_B4","factor",500,"B4",26,22,0.4288,0.498,0.9263,0.977,0.9096,-1.4874,6,0.647,0.9104,1.109,0.8372
"factor_T800_B4","factor",800,"B4",26,28,0.3352,0.49,0.9238,0.981,0.9038,-1.7101,6,0.607,0.9361,0.907,0.8649
"toeplitz_T100_B4","toeplitz",100,"B4",10,10,1.0083,0.43,0.9548,0.736,0.8905,-0.0843,NA,NA,NA,NA,NA
"toeplitz_T150_B4","toeplitz",150,"B4",10,12,0.7847,0.493,0.9769,0.799,0.9115,0.0508,NA,NA,NA,NA,NA
"toeplitz_T200_B4","toeplitz",200,"B4",14,14,0.6808,0.542,0.9869,0.832,0.9279,0.2364,3,1.493,0.9911,2.426,0.8695
"toeplitz_T300_B4","toeplitz",300,"B4",14,17,0.6023,0.633,0.9936,0.919,0.948,0.362,3,1.363,0.9949,1.672,0.9553
"toeplitz_T500_B4","toeplitz",500,"B4",18,22,0.5707,0.716,0.9957,1.001,0.9613,0.4451,4,1.153,0.9883,1.638,0.9175
"toeplitz_T800_B4","toeplitz",800,"B4",22,28,0.5338,0.791,0.9961,1.076,0.9721,0.5234,5,1.115,0.9867,1.918,0.8538
