"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
1,9.6553293782718,1.17273933479877,1.18334257235311,0.11273933479877,0.11273933479877,-1.38777878078145e-17,0.102160634531235,0.102160634531235,1.16216063453124,0.0105787002675345,0.0938332684543208,1.10354967269022,0.184314551740606,0.184536025869598,0.122533841000894,0.121533841000895,0.0027968235951204,0.008,0.994251230436781,1.16216063453124,1.16570793373807,0.102160634531235,0.105707933738071,4,9.10803172656175,2.16216063453124,2.16570793373807,5,10.1080317265618,2.17708105860817,2.06,2.59126315789474
2,3.90273901002327,1.09312132713495,1.09663334923856,0.0331213271349526,0.0331213271349528,-1.59594559789866e-16,0.0245083404789635,0.0245083404789635,1.08450834047896,0.00861298665598913,0.260043524853203,1.35143083895795,0.142676853796531,0.0903849922626603,0.102762169185167,0.0595267792657443,0.00842485919170863,0.0432353899194223,0.96842107851203,1.08450834047896,1.08627770505336,0.0245083404789634,0.0262777050533649,2.5,3.75094654528043,2.09326677888434,2.09504357776367,3.51470588235294,4.77090850555472,2.17708105860817,2.06,2.59126315789474
3,2.57137510515,1.07679288796296,1.07866111573445,0.0167928879629635,0.0167928879629635,4.16333634234434e-17,0.010443465300546,0.010443465300546,1.07044346530055,0.00634942266241754,0.378101889110503,1.60798044324288,0.126582548802778,0.059001314393681,0.0993538548569722,0.0388577586873608,0.0106877607437296,0.0604960961696114,0.923399436966321,1.07044346530055,1.07160541096892,0.0104434653005461,0.0116054109689203,2,2.54439340396463,2.08791556205414,2.08908731317119,3.0253164556962,3.57430389682509,2.17708105860817,2.06,2.59126315789474
4,2.07670121210426,1.07052272794512,1.07178045105032,0.0105227279451181,0.0105227279451182,-1.30104260698261e-16,0.00562713199365091,0.00562713199365091,1.06562713199365,0.0048955959514672,0.465240190281499,1.86999842139671,0.103518010486761,0.0433094754591914,0.0814197409561297,0.0285232483981691,0.00939922396045197,0.0528964925579606,0.911649793016977,1.06562713199365,1.06648259807866,0.00562713199365095,0.00648259807865892,1.75,2.0497059431401,2.09188510401052,2.0927514446644,2.78495762711864,3.08847339156985,2.17708105860817,2.06,2.59126315789474
5,1.82678289591649,1.06871422303444,1.06966180887554,0.00871422303443747,0.0087142230344376,-1.23165366794353e-16,0.00344648537985424,0.00344648537985424,1.06344648537985,0.00526773765458323,0.604498832972925,2.52843754549918,0.0945504422965936,0.0338943720984976,0.0714865132345557,0.0223225422246541,0.00921907563454107,0.0491639710099016,0.911005091781851,1.06344648537985,1.06411717727313,0.00344648537985415,0.00411717727312944,1.6,1.78764198179206,2.09856897874802,2.09925108667352,2.64425531914894,2.83509120701406,2.17708105860817,2.06,2.59126315789474
6,1.64068654112467,1.06531676176575,1.06603597398995,0.00531676176575302,0.00531676176575301,1.30104260698261e-17,0.00228820154163162,0.00228820154163162,1.06228820154163,0.0030285602241214,0.569624963004611,2.32355483947531,0.0781520444939057,0.0276176365247018,0.0610546422026703,0.0181887381089774,0.0077940906124828,0.0428659040936929,0.887955964765142,1.06228820154163,1.0628353412897,0.00228820154163167,0.00283534128970464,1.5,1.62741122220449,2.10635418875406,2.10691301952239,2.5534188034188,2.68355248763621,2.17708105860817,2.06,2.59126315789474
7,1.52584373936866,1.06354399291563,1.0641218675987,0.00354399291563134,0.00354399291563131,3.20923843055709e-17,0.00160558112052167,0.00160558112052167,1.06160558112052,0.00193841179510968,0.546957017481611,2.20729608135892,0.0639115872952611,0.0231342539719904,0.0508636677964885,0.0152360208834941,0.00631643461289339,0.0356276469129945,0.887701769983329,1.06160558112052,1.06206428842984,0.00160558112052156,0.00206428842983519,1.42857142857143,1.52005221334534,2.11469413685753,2.11516465637223,2.49110974862048,2.58494626175766,2.17708105860817,2.06,2.59126315789474
8,1.45677381785882,1.06344418258001,1.0639358446241,0.00344418258000623,0.0034441825800062,2.68882138776405e-17,0.0011727623862004,0.0011727623862004,1.0611727623862,0.00227142019380583,0.65949471058579,2.93681194121934,0.0642907870845227,0.0197717170574569,0.0492143694385521,0.0130214829643816,0.0067694651208717,0.0361928864741705,0.878323596465958,1.0611727623862,1.06156504643322,0.00117276238620034,0.00156504643321753,1.375,1.44341113919502,2.12336331987199,2.1237674400756,2.44665948275862,2.51713475115349,2.17708105860817,2.06,2.59126315789474
9,1.39048348180707,1.06256009845524,1.06297000268443,0.00256009845524452,0.00256009845524453,-1.38777878078145e-17,0.000883027270771983,0.000883027270771983,1.06088302727077,0.00167707118447254,0.655080737632161,2.8992292084098,0.0570951512351685,0.0171564105683753,0.0459520077520932,0.0112990645828496,0.00610139808133808,0.0346529431692435,0.864095500973789,1.06088302727077,1.06122359015335,0.000883027270772052,0.00122359015335016,1.33333333333333,1.38609959707459,2.13225559964379,2.13260795691191,2.41414141414141,2.46873508095596,2.17708105860817,2.06,2.59126315789474
10,1.3438941900519,1.06203202622583,1.06238435393061,0.00203202622582932,0.00203202622582928,4.03323208164608e-17,0.000680787235526764,0.000680787235526764,1.06068078723553,0.00135123899030256,0.664971235669501,2.98481833939942,0.0529628674351637,0.0150641653771101,0.0456822465751681,0.00992112987762405,0.00583351707898589,0.035761116697544,0.833811293894407,1.06068078723553,1.06097993625148,0.000680787235526781,0.000979936251482405,1.3,1.34169821817601,2.14131612238822,2.14162697723524,2.39,2.4333298875829,2.17708105860817,2.06,2.59126315789474
