"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
1,2.19858918895746,10.3446718251035,2.1884016873918,2.18126722863615,2.71947767951898,1.16659791548558,1.17638966809122,0.00659791548558131,0.0163896680912243,9,9.32989577427906,2.16659791548558,2.17638966809122,10,10.3298957742791,2.16651456182473,2.16,2.71705263157895
2,2.19011498012816,6.12939831700901,2.1884016873918,2.18126722863615,2.71947767951898,1.16158284019979,1.16638086164954,0.00158284019978949,0.00638086164953977,5,5.08079080186426,2.17066512104096,2.17548330224471,6.02521008403361,6.10634034304856,2.16651456182473,2.16,2.71705263157895
3,2.18754219547216,4.76325591976591,2.1884016873918,2.18126722863615,2.71947767951898,1.16067447800952,1.16380696824534,0.000674478009516921,0.00380696824533833,3.66666666666667,3.70182562673722,2.17890801790833,2.18206694266091,4.70604781997187,4.74150348012741,2.16651456182473,2.16,2.71705263157895
4,2.18526259704029,4.0906718375506,2.1884016873918,2.18126722863615,2.71947767951898,1.16036342120907,1.16266296693255,0.000363421209066184,0.00266296693255486,3,3.01935612961331,2.18782566808884,2.19015444532576,4.05084745762712,4.07044963973552,2.16651456182473,2.16,2.71705263157895
5,2.18650754621395,3.69411761474921,2.1884016873918,2.18126722863615,2.71947767951898,1.1602225869031,1.16202230866947,0.000222586903095401,0.00202230866946662,2.6,2.61211862027964,2.19699233306315,2.1988226883915,3.66127659574468,3.67360149041206,2.16651456182473,2.16,2.71705263157895
6,2.18875322846083,3.43414135149835,2.1884016873918,2.18126722863615,2.71947767951898,1.16014778060507,1.16161426254598,0.000147780605072922,0.0016142625459834,2.33333333333333,2.3415620261158,2.20630478446416,2.20780260148927,3.4045584045584,3.41296292410973,2.16651456182473,2.16,2.71705263157895
7,2.19012293714342,3.25093312313516,2.1884016873918,2.18126722863615,2.71947767951898,1.16010369442777,1.16133213623831,0.000103694427771028,0.00133213623830764,2.14285714285714,2.14876531374177,2.21572868226711,2.21698875777234,3.22378908645003,3.22984939907418,2.16651456182473,2.16,2.71705263157895
8,2.1916373940308,3.11507927750115,2.1884016873918,2.18126722863615,2.71947767951898,1.16007574137675,1.16112564670003,7.57413767478177e-05,0.00112564670002691,2,2.00441824697695,2.22525044047001,2.22633202397115,3.09051724137931,3.09506879753229,2.16651456182473,2.16,2.71705263157895
9,2.1943687569081,3.01254315287356,2.1884016873918,2.18126722863615,2.71947767951898,1.16005702920044,1.16096806902505,5.70292004424822e-05,0.000968069025053087,1.88888888888889,1.89229673135436,2.23486419904288,2.23580679003025,2.98893698893699,2.99246285192074,2.16651456182473,2.16,2.71705263157895
10,2.19638328449622,2.93192977079699,2.1884016873918,2.18126722863615,2.71947767951898,1.16004396778333,1.1608439128236,4.39677833274921e-05,0.000843912823598192,1.8,1.80269302672881,2.24456742739224,2.24539867462974,2.9095652173913,2.91236362342689,2.16651456182473,2.16,2.71705263157895
