"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
1,9.36214347834586,1.1704617183442,1.1807013205442,0.0104617183442,0.0104617183441999,5.3776427755281e-17,0.00659791548558127,0.00659791548558127,1.16659791548558,0.00386380285861868,0.369327746312421,1.58560963186971,0.0372032930086244,0.0287182770321908,0.017394350299105,0.011394350299105,0.00263058928759318,0.00966666666666666,0.871770501871028,1.16659791548558,1.17638966809122,0.00659791548558131,0.0163896680912243,9,9.32989577427906,2.16659791548558,2.17638966809122,10,10.3298957742791,2.16651456182473,2.16,2.71705263157895
2,5.08141902187462,1.16255071823061,1.16744930361017,0.0025507182306117,0.00255071823061153,1.72604985859692e-16,0.00158284019978959,0.00158284019978959,1.16158284019979,0.000967878030822111,0.3794531356723,1.61148183559577,0.0185380689304878,0.0140660948729098,0.00776203254109301,0.00558090626894937,0.00152765331340752,0.00424577960397584,0.814602825811185,1.16158284019979,1.16638086164954,0.00158284019978949,0.00638086164953977,5,5.08079080186426,2.17066512104096,2.17548330224471,6.02521008403361,6.10634034304856,2.16651456182473,2.16,2.71705263157895
3,3.70910955794628,1.16181653640493,1.16500065268185,0.00181653640492585,0.00181653640492554,3.13117587413814e-16,0.000674478009516823,0.000674478009516823,1.16067447800952,0.00114205839540903,0.62870107767295,2.6932477846493,0.0153292512435123,0.00918203415314945,0.00460366911329396,0.00364309159223084,0.00145125422942978,0.00299502693623956,0.760153161488588,1.16067447800952,1.16380696824534,0.000674478009516921,0.00380696824533833,3.66666666666667,3.70182562673722,2.17890801790833,2.18206694266091,4.70604781997187,4.74150348012741,2.16651456182473,2.16,2.71705263157895
4,3.02461616954668,1.16105749655519,1.16338694489643,0.0010574965551915,0.00105749655519148,1.69135538907739e-17,0.000363421209066274,0.000363421209066274,1.16036342120907,0.000694075346125221,0.656338162727666,2.90983720490195,0.0118555146030124,0.00674000379326928,0.00484392248921216,0.00267418425387157,0.00113615316239013,0.0031715465461409,0.759882567667543,1.16036342120907,1.16266296693255,0.000363421209066184,0.00266296693255486,3,3.01935612961331,2.18782566808884,2.19015444532576,4.05084745762712,4.07044963973552,2.16651456182473,2.16,2.71705263157895
5,2.60603619014813,1.16062930935136,1.16243606795236,0.000629309351362961,0.000629309351362821,1.40404181336873e-16,0.000222586903095412,0.000222586903095412,1.1602225869031,0.00040672244826755,0.646299705203281,2.82725237923459,0.00931170583246912,0.00527478557734117,0.00516918195071066,0.00209283985085601,0.00129651972360908,0.00381473166459552,0.310309083907906,1.1602225869031,1.16202230866947,0.000222586903095401,0.00202230866946662,2.6,2.61211862027964,2.19699233306315,2.1988226883915,3.66127659574468,3.67360149041206,2.16651456182473,2.16,2.71705263157895
6,2.34082375716188,1.16067947488932,1.16215465524217,0.000679474889325071,0.000679474889324938,1.33682127867463e-16,0.000147780605072948,0.000147780605072948,1.16014778060507,0.000531694284252123,0.782507628472128,4.59786241225407,0.00921927138291125,0.0042979734333891,0.00334329699750765,0.00170527691551231,0.00116489480360068,0.00267665816887587,0.449454628030467,1.16014778060507,1.16161426254598,0.000147780605072922,0.0016142625459834,2.33333333333333,2.3415620261158,2.20630478446416,2.20780260148927,3.4045584045584,3.41296292410973,2.16651456182473,2.16,2.71705263157895
7,2.14727403458985,1.16040615429032,1.16163973914069,0.000406154290316874,0.000406154290316784,8.9229838795557e-17,0.00010369442777108,0.00010369442777108,1.16010369442777,0.000302459862545794,0.744692029006564,3.91683814692065,0.0071875754485137,0.00360025047342334,0.00220578948833505,0.00142844624740966,0.000963954338381187,0.00254265432074794,0.350940903158189,1.16010369442777,1.16133213623831,0.000103694427771028,0.00133213623830764,2.14285714285714,2.14876531374177,2.21572868226711,2.21698875777234,3.22378908645003,3.22984939907418,2.16651456182473,2.16,2.71705263157895
8,2.00337969549854,1.16035721247894,1.16141099058271,0.000357212478938385,0.000357212478938349,3.59413020178945e-17,7.57413767477442e-05,7.57413767477442e-05,1.16007574137675,0.00028147110219064,0.787965479333636,4.71621317537014,0.00684818874389668,0.00307695825344902,0.00314057194156742,0.00122082324633267,0.000923361081322071,0.00264994425176868,0.325926431489088,1.16007574137675,1.16112564670003,7.57413767478177e-05,0.00112564670002691,2,2.00441824697695,2.22525044047001,2.22633202397115,3.09051724137931,3.09506879753229,2.16651456182473,2.16,2.71705263157895
9,1.89223852462936,1.16033243309595,1.16124731571037,0.000332433095950435,0.000332433095950226,2.09142599072454e-16,5.7029200442522e-05,5.7029200442522e-05,1.16005702920044,0.000275403895507913,0.828449089043093,5.82917335980336,0.0065987434025603,0.00266995319346899,0.00322823967484069,0.00105933868993946,0.000842309137628156,0.00247351136392504,0.431307200743266,1.16005702920044,1.16096806902505,5.70292004424822e-05,0.000968069025053087,1.88888888888889,1.89229673135436,2.23486419904288,2.23580679003025,2.98893698893699,2.99246285192074,2.16651456182473,2.16,2.71705263157895
10,1.80166542711999,1.16024889645377,1.1610506671171,0.000248896453769243,0.000248896453769103,1.39374189273012e-16,4.39677833274887e-05,4.39677833274887e-05,1.16004396778333,0.000204928670441754,0.823349096937106,5.660882467405,0.00557252764816585,0.00234434914548497,0.00172241687076024,0.000930151044824895,0.00076822933646636,0.00173693180781965,0.269452248489613,1.16004396778333,1.1608439128236,4.39677833274921e-05,0.000843912823598192,1.8,1.80269302672881,2.24456742739224,2.24539867462974,2.9095652173913,2.91236362342689,2.16651456182473,2.16,2.71705263157895
11,1.72806123437509,1.16015587891872,1.16086576061304,0.000155878918723706,0.000155878918723687,1.9895109865109e-17,3.45428710956148e-05,3.45428710956148e-05,1.1600345428711,0.000121336047628092,0.778399341113973,4.51262196162655,0.00439737963308508,0.00207794583349804,0.00133757698804888,0.000824452062458429,0.000637659049924357,0.00125922768097444,0.181906826593022,1.1600345428711,1.1607435906016,3.45428710957218e-05,0.000743590601597788,1.72727272727273,1.72944272814925,2.25435919539822,2.25509920591171,2.84636760619293,2.84863236693306,2.16651456182473,2.16,2.71705263157895
12,1.66899946914275,1.16019175136171,1.16082776100894,0.000191751361709125,0.000191751361709129,-3.79470760369927e-18,2.75561975368462e-05,2.75561975368462e-05,1.16002755619754,0.000164195164172279,0.856292037296469,6.95855665328021,0.00521927721792795,0.00185594307350893,0.00236025645221607,0.000736369577153042,0.000635567465863761,0.00166021329748576,0.541365961773885,1.16002755619754,1.16066085508562,2.75561975369154e-05,0.00066085508562308,1.66666666666667,1.6684433162447,2.264239411979,2.26490326476081,2.7953216374269,2.79718400255475,2.16651456182473,2.16,2.71705263157895
