"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
1,4.32632312700963,1.06843506216323,1.08146661442262,0.00843506216323364,0.00843506216323378,-1.35308431126191e-16,0.00652621952732746,0.00652621952732746,1.06652621952733,0.00190884263590618,0.226298585471765,1.29248826643254,0.0537081132687735,0.0466412532969383,0.0169064657038786,0.0180137473990918,0.00295350639071596,0.0072,0.922910703479371
3,2.03354164202669,1.06110841677054,1.06499814967157,0.00110841677054418,0.00110841677054427,-8.54351311918577e-17,0.000667148823909777,0.000667148823909777,1.06066714882391,0.000441267946634408,0.398106523070528,1.66142355471511,0.0210196440986939,0.0149125095575245,0.0109050806975403,0.00575949746773683,0.00172047764258398,0.00514558322980352,0.823411899072368
5,1.61331709831322,1.06062390057032,1.06283467336129,0.000623900570316582,0.000623900570316649,-6.70036942596042e-17,0.00022016817230884,0.00022016817230884,1.06022016817231,0.000403732398007742,0.647110160202096,2.83374551268659,0.0158705164301093,0.00856676080964172,0.00770936768359634,0.00330864748146584,0.00159439307865199,0.00511838418696558,0.728742993525839
7,1.43547901490987,1.06034976487094,1.0618502818711,0.000349764870939628,0.000349764870939779,-1.50812522192734e-16,0.000102567636835234,0.000102567636835234,1.06010256763684,0.000247197234104394,0.706752606230321,3.41008998288119,0.0124494028961244,0.00584715420340625,0.00670700864762944,0.00225828320163541,0.0013319595992491,0.00444872544599403,0.690109128807122
9,1.33674475567807,1.06018466614715,1.06129090650528,0.000184666147154289,0.000184666147154263,2.56955914879065e-17,5.64094951457338e-05,5.64094951457338e-05,1.06005640949515,0.000128256652008555,0.694532560434027,3.27367133276418,0.00875001739760242,0.00433626164438655,0.00453593387808497,0.00167474749061851,0.000967983539025363,0.00291009320215137,0.639342897239717
11,1.27512452918365,1.0601264609261,1.06098645319913,0.000126460926102467,0.000126460926102556,-8.85251073834414e-17,3.41675125070651e-05,3.41675125070651e-05,1.06003416751251,9.22934135954023e-05,0.729817631737251,3.70120376999402,0.00709557585513539,0.00337478456137401,0.0035227023732142,0.00130340658360775,0.000775382884976712,0.00274332108029177,0.66139196364799
13,1.23219701885939,1.0600888210185,1.06077725380986,8.88210184952776e-05,8.88210184952848e-05,-7.27770708280895e-18,2.20184255892177e-05,2.20184255892177e-05,1.06002201842559,6.68025929060598e-05,0.752103432698327,4.0339404893133,0.0056692256128776,0.00270914658082687,0.00219615282594916,0.00104632441721569,0.000681319573105789,0.00186777542085974,0.529657760042914
15,1.20085756283928,1.06005718176478,1.06062038328908,5.71817647834205e-05,5.71817647834464e-05,-2.58649980773573e-17,1.47986837354364e-05,1.47986837354364e-05,1.06001479868374,4.23830810479841e-05,0.741199247846103,3.86397640531333,0.00447319423655926,0.00222101206175896,0.00177501356328877,0.000857797495194847,0.000550933849879843,0.00127255361821042,0.491491588708218
17,1.17724022209412,1.06005064020784,1.06051939853539,5.0640207844399e-05,5.06402078445067e-05,-1.07607065619186e-16,1.02423486541213e-05,1.02423486541213e-05,1.06001024234865,4.03978591902777e-05,0.797742760345835,4.94419879214152,0.00428111797283606,0.00184773272364821,0.00148197526712388,0.000713629848943612,0.000502794902936228,0.00120020308142057,0.575318288629142
19,1.15850800484601,1.06004655724312,1.06044040303353,4.65572431229688e-05,4.6557243122934e-05,3.47961134732067e-17,7.23578583457457e-06,7.23578583457457e-06,1.06000723578583,3.93214572883943e-05,0.844583026201463,6.43430363852196,0.00423287346211193,0.00155303850935025,0.00220265885596085,0.00059981328611369,0.000523247976858089,0.00162036161772533,0.505012964060759
21,1.14313467957722,1.06002826927148,1.0603606949127,2.82692714790311e-05,2.82692714790405e-05,-9.33430307874239e-18,5.18354561495295e-06,5.18354561495295e-06,1.06000518354562,2.30857258640782e-05,0.816636745704683,5.45365538936957,0.0031193535834351,0.00131447652634714,0.0012694824970254,0.000507676068584705,0.000411488416139974,0.00128260282528184,0.364859526728032
23,1.1306482963824,1.06002919887214,1.06031167526218,2.919887214059e-05,2.91988721407247e-05,-1.34701955535957e-16,3.74577230771183e-06,3.74577230771183e-06,1.06000374577231,2.54530998328782e-05,0.87171517140538,7.79515404085697,0.00326736547332332,0.00111740358386631,0.0013725406007597,0.000431562714973805,0.000453591212229995,0.00124140974479764,0.224189784888216
25,1.12004688982213,1.06001820974425,1.06025832446456,1.82097442458229e-05,1.82097442459945e-05,-1.71615651377299e-16,2.71812558405975e-06,2.71812558405975e-06,1.06000271812558,1.54916186617631e-05,0.850732358051473,6.6993756111243,0.00245424203206108,0.000951862312182414,0.000709147144427009,0.000367627497940649,0.000361834051047763,0.00074203353833082,0.0820067007345836
