year,umsatz_nominal_annual,umsatz_real_annual,n_months,umsatz_nominal_index_2013,umsatz_betriebe_index_2013
2013,1628018803,1784808268.9010098,12,100,100
2014,1644034441,1799429596.7654004,12,100.98375018583862,100.81921000250597
2015,1681250368,1849292354.3349047,12,103.26971438547936,103.61294188050803
2016,1683842829,1854925761.0800428,12,103.42895462246084,103.92857279971072
2017,1782702928,1926435031.4277883,12,109.50137214109314,107.93512474110089
2018,1824595551,1931337820.7415898,12,112.07459936198292,108.20982031480642
2019,1815207065,1903389522.7431462,12,111.49791769327618,106.64392113754337
2020,1656069395,1740401015.2501569,12,101.72298943650469,97.51193142565411
2021,1861951646,1860864886.0389569,12,114.36917329019326,104.26133262957028
2022,2212494273,1955660307.3418794,12,135.9010269981507,109.57257098243225
2023,2226531731,1903915075.6351802,12,136.76326875937193,106.67336703944734
2024,2149745954,1833903894.609227,12,132.04675216518368,102.75075068642793
